Date,Open,High,Low,Close,Volume
2021-04-15 04:00:00,10.0,10.0,9.75,9.87,29038.03
2021-04-15 08:00:00,9.89,10.97,9.7,10.63,80525.86
2021-04-15 12:00:00,10.62,11.47,10.48,11.17,111504.2
2021-04-15 16:00:00,11.17,11.62,10.32,11.16,80515.04
2021-04-15 20:00:00,11.09,11.13,10.05,10.23,24163.47
2021-04-16 00:00:00,10.23,10.4,9.2,9.71,58878.67
2021-04-16 04:00:00,9.62,9.66,8.59,9.23,103084.28
2021-04-16 08:00:00,9.23,9.44,8.32,8.86,68741.1
2021-04-16 12:00:00,8.86,8.95,8.26,8.95,20099.03
2021-04-16 16:00:00,8.93,9.23,8.75,9.03,35278.18
2021-04-16 20:00:00,8.95,9.22,8.87,8.9,13564.49
2021-04-17 00:00:00,8.88,9.4,8.88,9.16,9244.58
2021-04-17 04:00:00,9.17,9.98,9.13,9.9,55171.49
2021-04-17 08:00:00,9.9,10.06,8.8,9.1,55171.12
2021-04-17 12:00:00,9.07,9.5,8.68,8.88,111287.41
2021-04-17 16:00:00,8.74,9.56,8.6,9.53,74421.61
2021-04-17 20:00:00,9.53,10.99,9.42,10.79,172390.57
2021-04-18 00:00:00,10.82,11.38,1.0,6.58,592460.03
2021-04-18 04:00:00,6.61,7.59,6.0,7.48,200390.36
2021-04-18 08:00:00,7.51,7.53,5.79,5.92,58097.37
2021-04-18 12:00:00,5.89,6.79,5.84,6.78,57435.83
2021-04-18 16:00:00,6.88,7.06,6.56,6.92,39828.14
2021-04-18 20:00:00,6.92,7.27,6.72,7.15,25081.75
2021-04-19 00:00:00,7.12,7.61,6.74,7.49,25242.49
2021-04-19 04:00:00,7.47,7.56,7.1,7.45,12585.48
2021-04-19 08:00:00,7.43,7.46,6.38,6.93,28464.83
2021-04-19 12:00:00,6.9,6.9,5.57,5.62,50216.28
2021-04-19 16:00:00,5.6,6.41,5.51,6.39,24330.37
2021-04-19 20:00:00,6.39,6.54,5.83,5.87,149353.96
2021-04-20 00:00:00,5.87,5.91,4.77,5.04,44632.14
2021-04-20 04:00:00,5.03,7.0,4.42,4.81,146457.97
2021-04-20 08:00:00,4.82,6.09,4.78,5.92,975018.94
2021-04-20 12:00:00,5.92,5.98,5.14,5.51,47088.67
2021-04-20 16:00:00,5.64,6.48,5.35,6.28,53909.84
2021-04-20 20:00:00,6.3,6.44,5.72,5.95,134282.81
2021-04-21 00:00:00,5.98,6.22,5.44,5.78,43601.45
2021-04-21 04:00:00,5.79,6.7,5.6,5.99,608481.55
2021-04-21 08:00:00,6.05,6.29,5.41,5.6,58264.66
2021-04-21 12:00:00,5.5,6.64,5.4,6.6,46612.01
2021-04-21 16:00:00,6.6,6.7,6.06,6.22,13307.6
2021-04-21 20:00:00,6.18,6.71,5.63,5.85,57372.24
2021-04-22 00:00:00,5.92,6.24,5.44,5.58,47011.05
2021-04-22 04:00:00,5.59,6.33,5.59,6.01,24353.61
2021-04-22 08:00:00,6.05,6.27,5.59,6.15,50011.48
2021-04-22 12:00:00,6.15,6.49,6.07,6.36,64772.95
2021-04-22 16:00:00,6.41,6.73,5.35,5.47,805438.5
2021-04-22 20:00:00,5.42,5.46,4.2,4.38,185185.09
2021-04-23 00:00:00,4.38,4.71,2.29,3.28,674092.35
2021-04-23 04:00:00,3.27,3.29,2.5,2.58,607225.13
2021-04-23 08:00:00,2.57,3.12,2.48,3.08,490115.52
2021-04-23 12:00:00,3.08,3.12,2.7,2.98,390312.42
2021-04-23 16:00:00,2.99,3.11,2.85,3.1,242553.78
2021-04-23 20:00:00,3.11,3.16,2.94,3.14,172471.4
2021-04-24 00:00:00,3.14,3.14,2.78,2.99,204174.43
2021-04-24 04:00:00,2.99,3.13,2.91,2.95,112343.98
2021-04-24 08:00:00,2.95,3.05,2.62,2.7,290549.8
2021-04-24 12:00:00,2.68,2.87,2.62,2.84,128488.57
2021-04-24 16:00:00,2.81,2.9,2.68,2.85,51382.12
2021-04-24 20:00:00,2.84,2.9,2.62,2.67,41611.58
2021-04-25 00:00:00,2.67,2.78,2.55,2.55,39818.58
2021-04-25 04:00:00,2.55,2.55,2.55,2.55,125.64
2021-04-25 08:00:00,2.61,2.86,2.6,2.86,93434.67
2021-04-25 12:00:00,2.86,3.15,2.85,3.06,138622.93
2021-04-25 16:00:00,3.06,3.08,2.74,2.74,54659.7
2021-04-25 20:00:00,2.75,2.81,2.4,2.74,142515.72
2021-04-26 00:00:00,2.74,3.17,2.66,3.17,191313.83
2021-04-26 04:00:00,3.18,3.4,3.07,3.32,161926.82
2021-04-26 08:00:00,3.32,3.65,3.23,3.6,138608.75
2021-04-26 12:00:00,3.59,3.65,3.39,3.65,113691.3
2021-04-26 16:00:00,3.65,3.69,3.38,3.56,93052.92
2021-04-26 20:00:00,3.54,3.67,3.34,3.67,79953.58
