Date,Open,High,Low,Close,Volume
2021-08-11 08:00:00,0.9611,1.65,0.9611,1.2286,30698554.7
2021-08-11 12:00:00,1.2303,1.31,1.2,1.3057,6249903.9
2021-08-11 16:00:00,1.3076,1.3079,1.23,1.24,2716626.4
2021-08-11 20:00:00,1.241,1.32,1.2333,1.2508,2706442.2
2021-08-12 00:00:00,1.2508,1.2598,1.1883,1.2027,1936449.6
2021-08-12 04:00:00,1.204,1.25,1.0505,1.1524,5547847.0
2021-08-12 08:00:00,1.1508,1.1918,1.0212,1.0406,3189939.3
2021-08-12 12:00:00,1.0383,1.0906,1.009,1.062,4921000.8
2021-08-12 16:00:00,1.0616,1.137,1.0538,1.1172,1993539.0
2021-08-12 20:00:00,1.1188,1.1295,1.08,1.1274,802372.3
2021-08-13 00:00:00,1.1265,1.1633,1.1019,1.1478,587435.5
2021-08-13 04:00:00,1.1477,1.1665,1.1185,1.12,1621016.0
2021-08-13 08:00:00,1.1241,1.1241,1.0596,1.0832,3357922.9
2021-08-13 12:00:00,1.0835,1.12,1.0751,1.0825,1477459.5
2021-08-13 16:00:00,1.0822,1.1,1.0787,1.095,801715.9
2021-08-13 20:00:00,1.0944,1.1235,1.0857,1.107,994735.6
2021-08-14 00:00:00,1.107,1.115,1.0823,1.0901,953227.1
2021-08-14 04:00:00,1.0902,1.0999,1.07,1.0845,1267885.7
2021-08-14 08:00:00,1.0845,1.0966,1.0385,1.0451,1292377.4
2021-08-14 12:00:00,1.0451,1.1046,1.043,1.0702,1566386.2
2021-08-14 16:00:00,1.0705,1.0904,1.0661,1.0809,685636.4
2021-08-14 20:00:00,1.0814,1.095,1.0692,1.0882,580379.7
2021-08-15 00:00:00,1.0891,1.157,1.0721,1.147,1981874.7
2021-08-15 04:00:00,1.1493,1.1506,1.0741,1.0745,1556670.8
2021-08-15 08:00:00,1.0777,1.14,1.07,1.1144,1164671.8
2021-08-15 12:00:00,1.1148,1.125,1.08,1.092,1231482.0
2021-08-15 16:00:00,1.0946,1.11,1.0809,1.0957,649276.5
2021-08-15 20:00:00,1.0963,1.1218,1.0895,1.1157,725672.1
2021-08-16 00:00:00,1.115,1.15,1.1,1.1303,1191936.0
2021-08-16 04:00:00,1.1294,1.2061,1.1199,1.1725,3196504.7
2021-08-16 08:00:00,1.1725,1.1975,1.152,1.1612,1587802.3
2021-08-16 12:00:00,1.1617,1.1655,1.1041,1.1134,1925092.8
2021-08-16 16:00:00,1.1132,1.1449,1.1001,1.1242,930778.6
2021-08-16 20:00:00,1.1232,1.1675,1.114,1.1328,1086564.7
2021-08-17 00:00:00,1.1328,1.1524,1.0888,1.1341,1405345.6
2021-08-17 04:00:00,1.1341,1.1599,1.1169,1.132,1707276.3
2021-08-17 08:00:00,1.1339,1.19,1.1301,1.1869,1706631.8
2021-08-17 12:00:00,1.1868,1.3979,1.1721,1.3202,10354439.7
2021-08-17 16:00:00,1.3212,1.7885,1.2743,1.635,47063407.0
2021-08-17 20:00:00,1.6323,1.6344,1.3732,1.3948,19271575.1
2021-08-18 00:00:00,1.3976,1.4802,1.271,1.3954,11785830.7
2021-08-18 04:00:00,1.3939,1.59,1.306,1.5002,19536678.2
2021-08-18 08:00:00,1.5002,1.55,1.3651,1.3811,10821408.2
2021-08-18 12:00:00,1.3812,1.4953,1.3664,1.4119,7903810.8
2021-08-18 16:00:00,1.4102,1.5199,1.3968,1.4223,6013516.1
2021-08-18 20:00:00,1.4226,1.4564,1.357,1.3901,3157966.2
2021-08-19 00:00:00,1.399,1.4003,1.302,1.3105,1674516.8
2021-08-19 04:00:00,1.3105,1.3493,1.2989,1.3174,1876912.8
2021-08-19 08:00:00,1.3153,1.3781,1.3061,1.3195,2579159.3
2021-08-19 12:00:00,1.3199,1.396,1.3155,1.3872,2762841.2
2021-08-19 16:00:00,1.3872,1.439,1.3811,1.4178,2368572.2
2021-08-19 20:00:00,1.4178,1.447,1.3833,1.387,1246758.1
2021-08-20 00:00:00,1.3871,1.4181,1.381,1.3924,923170.4
2021-08-20 04:00:00,1.3924,1.47,1.3861,1.4146,2061344.4
2021-08-20 08:00:00,1.4174,1.49,1.3829,1.4582,2645640.2
2021-08-20 12:00:00,1.4583,1.5022,1.4295,1.4708,2996086.9
2021-08-20 16:00:00,1.4697,1.4801,1.425,1.4398,1045620.8
2021-08-20 20:00:00,1.4367,1.4484,1.4213,1.4429,828396.3
2021-08-21 00:00:00,1.4429,1.64,1.43,1.5559,4062150.8
2021-08-21 04:00:00,1.556,1.5956,1.5009,1.5163,2621916.1
2021-08-21 08:00:00,1.5163,1.5449,1.4395,1.4495,3000225.0
2021-08-21 12:00:00,1.4478,1.4995,1.4315,1.4375,1898495.0
2021-08-21 16:00:00,1.4394,1.4603,1.3926,1.4,1549111.9
2021-08-21 20:00:00,1.3999,1.4274,1.39,1.4108,640056.6
2021-08-22 00:00:00,1.4109,1.4412,1.3962,1.4303,862560.7
2021-08-22 04:00:00,1.4358,1.4789,1.4011,1.4243,1587863.7
2021-08-22 08:00:00,1.423,1.4271,1.4,1.4065,839080.0
2021-08-22 12:00:00,1.4087,1.4121,1.3105,1.3557,2964869.4
2021-08-22 16:00:00,1.3589,1.36,1.3002,1.328,821288.3
2021-08-22 20:00:00,1.328,1.3604,1.315,1.3525,638502.4
2021-08-23 00:00:00,1.3522,1.4386,1.3428,1.4369,1393340.3
2021-08-23 04:00:00,1.4364,1.4437,1.3865,1.4098,1127828.4
2021-08-23 08:00:00,1.4044,1.4089,1.37,1.3996,746280.9
2021-08-23 12:00:00,1.3971,1.3995,1.3616,1.3651,722369.9
2021-08-23 16:00:00,1.3649,1.3721,1.3512,1.3593,466865.7
2021-08-23 20:00:00,1.3559,1.4041,1.35,1.3955,540881.8
2021-08-24 00:00:00,1.3955,1.4127,1.36,1.3768,868145.5
2021-08-24 04:00:00,1.378,1.387,1.3596,1.3676,932643.3
2021-08-24 08:00:00,1.3673,1.38,1.3208,1.3519,865862.8
2021-08-24 12:00:00,1.352,1.352,1.2724,1.2825,1521511.8
2021-08-24 16:00:00,1.282,1.2825,1.255,1.272,950572.1
2021-08-24 20:00:00,1.2721,1.2944,1.265,1.2793,547631.9
2021-08-25 00:00:00,1.2793,1.2982,1.2754,1.2894,365572.6
2021-08-25 04:00:00,1.2878,1.3098,1.2874,1.2996,762970.9
2021-08-25 08:00:00,1.298,1.2998,1.2132,1.2477,1425610.7
2021-08-25 12:00:00,1.2413,1.32,1.2247,1.3098,1624420.7
2021-08-25 16:00:00,1.3099,1.3609,1.301,1.3379,1430231.6
2021-08-25 20:00:00,1.3373,1.3927,1.3064,1.372,1357542.5
2021-08-26 00:00:00,1.3719,1.3729,1.25,1.2709,1528094.1
2021-08-26 04:00:00,1.2733,1.3082,1.236,1.2445,1184917.2
2021-08-26 08:00:00,1.2452,1.288,1.225,1.2386,1175230.4
2021-08-26 12:00:00,1.2386,1.3001,1.2206,1.2404,924391.7
2021-08-26 16:00:00,1.241,1.2554,1.2205,1.2444,385199.2
2021-08-26 20:00:00,1.2499,1.2619,1.236,1.236,306949.9
2021-08-27 00:00:00,1.242,1.242,1.2005,1.2047,405061.8
2021-08-27 04:00:00,1.2045,1.2057,1.16,1.1833,1445033.5
2021-08-27 08:00:00,1.1847,1.2172,1.1794,1.211,811298.3
2021-08-27 12:00:00,1.2107,1.2733,1.1982,1.2524,1705036.4
2021-08-27 16:00:00,1.2516,1.2716,1.2313,1.2546,639037.6
2021-08-27 20:00:00,1.2551,1.2998,1.2501,1.295,543729.4
2021-08-28 00:00:00,1.295,1.297,1.232,1.2396,707009.8
2021-08-28 04:00:00,1.2372,1.2452,1.2,1.2044,855406.6
2021-08-28 08:00:00,1.2017,1.2419,1.2,1.2174,1466140.6
2021-08-28 12:00:00,1.2179,1.29,1.2168,1.2358,1940494.1
2021-08-28 16:00:00,1.2395,1.28,1.2209,1.2262,1211639.1
2021-08-28 20:00:00,1.2262,1.26,1.223,1.2364,468112.7
2021-08-29 00:00:00,1.236,1.28,1.214,1.2152,1197385.8
2021-08-29 04:00:00,1.2186,1.24,1.2061,1.24,813501.8
2021-08-29 08:00:00,1.24,1.2668,1.2175,1.2547,965030.7
2021-08-29 12:00:00,1.2582,1.3802,1.2435,1.3278,5811489.2
2021-08-29 16:00:00,1.3262,1.3478,1.2888,1.3027,1386958.5
2021-08-29 20:00:00,1.3044,1.4222,1.2821,1.364,4464486.7
2021-08-30 00:00:00,1.3619,1.3646,1.29,1.3045,1651706.9
2021-08-30 04:00:00,1.3022,1.3083,1.2692,1.2769,1163899.8
2021-08-30 08:00:00,1.2775,1.2961,1.2539,1.255,875672.8
2021-08-30 12:00:00,1.2562,1.2585,1.2192,1.2357,1277610.7
2021-08-30 16:00:00,1.2372,1.2735,1.2354,1.2516,1095965.1
2021-08-30 20:00:00,1.2529,1.2561,1.2011,1.2092,738921.2
