Date,Open,High,Low,Close,Volume
2021-12-04 04:00:00,15.02,30.0,12.7,14.95,1384045.08
2021-12-04 08:00:00,14.91,20.8,14.43,15.55,998606.15
2021-12-04 12:00:00,15.56,23.8,14.8,17.94,1376976.14
2021-12-04 16:00:00,17.95,22.74,16.62,19.47,1318451.25
2021-12-04 20:00:00,19.47,20.9,17.33,19.28,708593.2
2021-12-05 00:00:00,19.25,19.55,17.32,17.4,269855.24
2021-12-05 04:00:00,17.4,17.89,15.24,15.51,257610.4
2021-12-05 08:00:00,15.51,16.46,15.17,15.78,149232.48
2021-12-05 12:00:00,15.78,15.99,13.93,14.0,145625.08
2021-12-05 16:00:00,14.09,15.33,13.94,14.92,83965.09
2021-12-05 20:00:00,14.91,15.0,14.17,14.77,39464.69
2021-12-06 00:00:00,14.74,14.89,13.22,13.78,71673.27
2021-12-06 04:00:00,13.78,13.96,13.0,13.12,64445.58
2021-12-06 08:00:00,13.13,13.48,12.0,12.44,56772.24
2021-12-06 12:00:00,12.44,13.5,12.04,13.3,105263.09
2021-12-06 16:00:00,13.3,14.6,12.01,13.51,138572.33
2021-12-06 20:00:00,13.51,14.22,13.12,13.94,27247.25
2021-12-07 00:00:00,13.89,14.28,13.46,13.71,24163.35
2021-12-07 04:00:00,13.74,14.88,13.6,14.25,47596.66
2021-12-07 08:00:00,14.18,15.23,14.17,14.85,47303.41
2021-12-07 12:00:00,14.86,15.98,14.04,15.34,85748.74
2021-12-07 16:00:00,15.38,16.44,14.8,15.2,145151.52
2021-12-07 20:00:00,15.13,15.62,13.96,14.24,50482.69
2021-12-08 00:00:00,14.24,15.1,13.81,13.96,41229.86
2021-12-08 04:00:00,13.99,15.85,13.8,14.94,43073.32
2021-12-08 08:00:00,14.95,16.66,14.4,16.5,69985.71
2021-12-08 12:00:00,16.49,21.7,16.17,19.61,737331.3
2021-12-08 16:00:00,19.61,20.45,17.77,18.45,259359.77
2021-12-08 20:00:00,18.45,19.46,17.55,17.82,195612.79
2021-12-09 00:00:00,17.8,19.5,17.52,18.43,149524.54
2021-12-09 04:00:00,18.43,19.65,17.8,18.71,161424.29
2021-12-09 08:00:00,18.67,19.71,17.61,17.7,145813.88
2021-12-09 12:00:00,17.7,17.94,15.73,16.92,160931.68
2021-12-09 16:00:00,16.92,17.13,15.98,16.29,41639.73
2021-12-09 20:00:00,16.29,16.53,15.43,16.36,49077.84
2021-12-10 00:00:00,16.3,16.97,16.13,16.4,27512.55
2021-12-10 04:00:00,16.4,17.12,16.2,17.0,28242.72
2021-12-10 08:00:00,17.0,19.26,16.69,17.88,111783.23
2021-12-10 12:00:00,17.89,18.6,16.85,16.95,75811.74
2021-12-10 16:00:00,16.95,17.99,16.74,17.24,36762.45
2021-12-10 20:00:00,17.35,17.69,16.39,16.54,31065.65
2021-12-11 00:00:00,16.5,17.25,16.23,16.75,29657.33
2021-12-11 04:00:00,16.75,16.99,15.0,16.2,40830.58
2021-12-11 08:00:00,16.2,17.0,16.06,16.64,16641.81
2021-12-11 12:00:00,16.66,17.33,16.47,17.1,18205.41
2021-12-11 16:00:00,17.07,17.13,16.18,16.36,19382.54
2021-12-11 20:00:00,16.36,16.78,16.16,16.72,5167.61
2021-12-12 00:00:00,16.72,16.84,16.12,16.34,8548.39
2021-12-12 04:00:00,16.34,16.35,16.0,16.17,7705.57
2021-12-12 08:00:00,16.16,16.21,15.48,16.07,19508.74
2021-12-12 12:00:00,16.08,16.24,15.46,15.75,36234.16
2021-12-12 16:00:00,15.73,15.97,15.24,15.47,31197.56
2021-12-12 20:00:00,15.47,15.83,15.31,15.69,11089.02
2021-12-13 00:00:00,15.66,15.84,14.69,14.97,19276.89
2021-12-13 04:00:00,15.01,15.09,14.55,14.55,5762.56
2021-12-13 08:00:00,14.55,15.57,14.55,15.48,14621.02
2021-12-13 12:00:00,15.51,15.8,14.51,14.57,16160.21
2021-12-13 16:00:00,14.57,14.91,13.9,13.95,50108.18
2021-12-13 20:00:00,13.95,14.59,13.84,14.16,15511.56
2021-12-14 00:00:00,14.16,14.37,14.0,14.27,5162.73
2021-12-14 04:00:00,14.32,16.0,14.05,15.77,55832.72
2021-12-14 08:00:00,15.77,17.86,15.53,16.56,159585.62
2021-12-14 12:00:00,16.56,17.89,15.54,17.09,114942.22
2021-12-14 16:00:00,17.09,19.1,16.7,17.31,153339.99
2021-12-14 20:00:00,17.32,18.75,17.13,18.41,72953.24
2021-12-15 00:00:00,18.46,19.13,17.47,17.81,78080.4
2021-12-15 04:00:00,17.8,19.0,17.24,17.98,58887.61
2021-12-15 08:00:00,17.96,18.88,17.51,18.07,60035.02
2021-12-15 12:00:00,18.09,20.39,17.74,19.14,90078.99
2021-12-15 16:00:00,19.14,20.11,17.93,20.03,84645.19
2021-12-15 20:00:00,20.03,21.1,19.91,20.87,64898.83
2021-12-16 00:00:00,20.93,21.81,20.0,20.6,52365.79
2021-12-16 04:00:00,20.59,23.89,19.85,23.68,50571.03
2021-12-16 08:00:00,23.65,25.0,21.1,22.37,329657.16
2021-12-16 12:00:00,22.37,22.37,20.55,20.9,72674.55
2021-12-16 16:00:00,20.85,20.86,19.31,19.34,59754.5
2021-12-16 20:00:00,19.4,19.43,18.76,18.92,30859.37
2021-12-17 00:00:00,18.93,19.9,18.62,18.78,32062.29
2021-12-17 04:00:00,18.73,20.13,18.55,20.09,31270.12
2021-12-17 08:00:00,20.11,20.79,19.72,20.4,32695.72
2021-12-17 12:00:00,20.39,20.47,18.59,19.54,60941.4
2021-12-17 16:00:00,19.54,19.87,19.13,19.49,13705.26
2021-12-17 20:00:00,19.45,19.97,19.28,19.47,16064.06
2021-12-18 00:00:00,19.49,19.64,18.8,18.86,13393.65
2021-12-18 04:00:00,18.86,19.02,18.73,18.8,11018.17
2021-12-18 08:00:00,18.8,19.5,18.79,19.05,15838.47
2021-12-18 12:00:00,19.05,19.39,18.55,18.89,28356.72
2021-12-18 16:00:00,18.87,18.93,18.6,18.65,7329.3
2021-12-18 20:00:00,18.65,19.06,18.59,19.04,20689.44
2021-12-19 00:00:00,19.04,19.35,18.97,19.31,5288.0
2021-12-19 04:00:00,19.31,19.76,19.28,19.66,11074.79
2021-12-19 08:00:00,19.67,21.93,19.59,20.21,84138.98
2021-12-19 12:00:00,20.21,21.0,20.15,20.32,85919.2
2021-12-19 16:00:00,20.32,20.39,19.57,19.76,32465.56
2021-12-19 20:00:00,19.76,21.8,19.52,21.4,76564.67
2021-12-20 00:00:00,21.4,24.58,20.95,24.06,167843.27
2021-12-20 04:00:00,24.06,25.7,22.0,22.98,323712.81
2021-12-20 08:00:00,22.98,25.32,22.13,23.66,287994.18
2021-12-20 12:00:00,23.66,27.72,22.8,25.22,748470.89
2021-12-20 16:00:00,25.24,26.8,23.23,23.27,240565.0
2021-12-20 20:00:00,23.3,24.44,23.29,23.91,62520.3
2021-12-21 00:00:00,23.88,27.65,23.82,24.6,339728.5
2021-12-21 04:00:00,24.61,25.33,22.11,22.35,329786.5
2021-12-21 08:00:00,22.33,24.6,22.24,22.4,177260.53
2021-12-21 12:00:00,22.4,23.11,21.55,21.86,161410.74
2021-12-21 16:00:00,21.86,22.39,21.65,21.82,58169.61
2021-12-21 20:00:00,21.82,22.19,21.66,21.96,38465.56
2021-12-22 00:00:00,21.96,23.01,20.83,22.19,218502.26
2021-12-22 04:00:00,22.22,22.4,20.67,20.85,95795.38
2021-12-22 08:00:00,20.85,21.33,20.78,21.1,45573.98
2021-12-22 12:00:00,21.09,21.15,19.39,19.62,116646.43
2021-12-22 16:00:00,19.61,20.72,19.35,20.51,86330.35
2021-12-22 20:00:00,20.47,21.17,20.0,20.26,44947.38
2021-12-23 00:00:00,20.26,20.51,19.6,20.27,50144.29
2021-12-23 04:00:00,20.27,20.44,19.8,19.8,38083.19
2021-12-23 08:00:00,19.81,20.41,19.7,20.19,33469.87
2021-12-23 12:00:00,20.2,20.71,19.59,19.97,62295.23
2021-12-23 16:00:00,19.99,20.77,19.38,20.59,81029.32
2021-12-23 20:00:00,20.59,20.82,19.9,20.26,34319.7
2021-12-24 00:00:00,20.26,20.49,19.61,19.8,39759.21
2021-12-24 04:00:00,19.77,20.0,18.98,19.68,59241.93
2021-12-24 08:00:00,19.62,19.86,19.33,19.66,50176.89
2021-12-24 12:00:00,19.66,21.04,19.58,20.12,105569.88
2021-12-24 16:00:00,20.11,20.49,19.59,19.76,47710.07
2021-12-24 20:00:00,19.76,20.13,19.51,19.51,35418.28
2021-12-25 00:00:00,19.51,19.57,18.7,18.77,44659.58
2021-12-25 04:00:00,18.75,20.39,18.71,19.94,92658.35
2021-12-25 08:00:00,19.94,20.14,19.1,19.13,34811.37
2021-12-25 12:00:00,19.12,19.41,19.05,19.27,15259.08
2021-12-25 16:00:00,19.26,19.36,19.0,19.14,19349.66
2021-12-25 20:00:00,19.14,19.52,19.14,19.31,20245.45
2021-12-26 00:00:00,19.27,19.69,18.51,18.51,53653.31
2021-12-26 04:00:00,18.51,18.63,18.18,18.4,36786.85
2021-12-26 08:00:00,18.4,18.52,18.21,18.41,26462.21
2021-12-26 12:00:00,18.39,19.37,18.39,18.9,32181.34
2021-12-26 16:00:00,18.9,18.92,18.43,18.56,15490.27
2021-12-26 20:00:00,18.56,19.0,18.1,18.31,48022.59
2021-12-27 00:00:00,18.31,19.01,18.26,18.9,31602.52
2021-12-27 04:00:00,18.92,19.29,18.87,19.19,24451.79
2021-12-27 08:00:00,19.17,19.19,18.71,18.77,22658.42
2021-12-27 12:00:00,18.77,19.02,18.29,18.61,60379.86
2021-12-27 16:00:00,18.62,18.69,18.47,18.64,17866.49
2021-12-27 20:00:00,18.63,18.64,18.05,18.2,23192.0
2021-12-28 00:00:00,18.2,18.37,17.48,17.56,35030.97
2021-12-28 04:00:00,17.55,17.56,16.96,17.18,40063.7
2021-12-28 08:00:00,17.18,17.82,17.14,17.49,35901.14
2021-12-28 12:00:00,17.48,17.75,16.94,17.37,44802.69
2021-12-28 16:00:00,17.37,17.6,16.73,16.91,40271.17
2021-12-28 20:00:00,16.93,16.96,16.77,16.9,10407.38
2021-12-29 00:00:00,16.9,17.38,16.84,16.97,18385.84
2021-12-29 04:00:00,16.97,19.12,16.96,18.15,141686.97
2021-12-29 08:00:00,18.17,18.89,17.2,17.87,130764.8
2021-12-29 12:00:00,17.86,17.87,16.87,17.44,54564.01
2021-12-29 16:00:00,17.41,18.26,17.25,17.87,37842.32
2021-12-29 20:00:00,17.9,19.15,17.76,18.0,84189.18
2021-12-30 00:00:00,18.0,19.0,17.57,17.6,49115.06
2021-12-30 04:00:00,17.59,18.29,17.57,17.78,33986.59
2021-12-30 08:00:00,17.74,17.76,16.98,17.72,45748.34
2021-12-30 12:00:00,17.72,17.75,17.39,17.46,15576.26
2021-12-30 16:00:00,17.45,17.59,17.27,17.44,14577.84
2021-12-30 20:00:00,17.44,17.45,16.8,16.92,30456.49
2021-12-31 00:00:00,16.91,17.15,16.82,17.04,11212.66
2021-12-31 04:00:00,17.02,17.11,16.93,17.03,15412.7
2021-12-31 08:00:00,17.06,17.38,17.02,17.2,29306.02
2021-12-31 12:00:00,17.2,17.22,16.99,17.12,16072.82
2021-12-31 16:00:00,17.13,17.4,16.84,16.84,22062.45
2021-12-31 20:00:00,16.86,17.01,16.6,16.99,17061.98
2022-01-01 00:00:00,16.95,17.08,16.94,17.02,7494.31
2022-01-01 04:00:00,17.02,17.1,16.94,17.03,8880.38
2022-01-01 08:00:00,17.05,17.05,16.82,16.84,7000.51
2022-01-01 12:00:00,16.83,16.84,16.6,16.76,13925.49
2022-01-01 16:00:00,16.77,17.48,16.68,17.19,40856.81
2022-01-01 20:00:00,17.18,17.28,16.9,17.0,20052.68
2022-01-02 00:00:00,17.0,17.08,16.82,17.03,12065.32
2022-01-02 04:00:00,17.03,17.05,16.65,16.76,17934.55
2022-01-02 08:00:00,16.76,17.06,16.64,17.06,15823.47
2022-01-02 12:00:00,17.03,17.08,16.65,16.82,17698.96
2022-01-02 16:00:00,16.8,17.12,16.77,16.9,19445.28
2022-01-02 20:00:00,16.94,16.97,16.67,16.94,9721.73
2022-01-03 00:00:00,16.94,16.95,16.53,16.62,13447.61
2022-01-03 04:00:00,16.6,16.64,16.42,16.47,19188.61
2022-01-03 08:00:00,16.47,16.64,16.32,16.6,18371.13
2022-01-03 12:00:00,16.61,16.81,16.58,16.69,19860.8
2022-01-03 16:00:00,16.7,16.72,16.45,16.49,17919.59
2022-01-03 20:00:00,16.49,17.12,16.22,17.04,22966.58
2022-01-04 00:00:00,17.05,17.15,16.8,17.14,18351.22
2022-01-04 04:00:00,17.14,17.15,16.82,16.94,7746.23
2022-01-04 08:00:00,16.91,17.05,16.55,17.04,22070.91
2022-01-04 12:00:00,17.04,18.53,16.92,18.19,72307.58
2022-01-04 16:00:00,18.23,19.84,18.17,18.41,198403.23
2022-01-04 20:00:00,18.42,18.95,18.03,18.24,50192.75
