Date,Open,High,Low,Close,Volume
2020-01-17 12:00:00,21.9,83.91,21.9,22.8,6197.20002
2020-01-17 16:00:00,22.85,23.0,22.01,22.52,2490.97247
2020-01-17 20:00:00,22.67,22.67,21.89,22.24,1476.42364
2020-01-18 00:00:00,22.5,22.5,21.68,22.01,940.93593
2020-01-18 04:00:00,22.14,22.98,22.14,22.67,759.37458
2020-01-18 08:00:00,22.75,22.89,22.35,22.69,591.12476
2020-01-18 12:00:00,22.44,22.98,21.97,22.39,599.17968
2020-01-18 16:00:00,22.39,24.52,22.25,22.55,3331.95652
2020-01-18 20:00:00,22.39,22.53,21.95,22.22,2221.54074
2020-01-19 00:00:00,22.25,22.51,20.26,20.53,12089.81044
2020-01-19 04:00:00,20.62,21.3,20.5,21.15,4699.49374
2020-01-19 08:00:00,21.1,29.28,20.8,24.2,4849.52052
2020-01-19 12:00:00,24.41,25.12,23.75,24.49,12583.2619
2020-01-19 16:00:00,24.49,24.62,24.06,24.39,2622.09355
2020-01-19 20:00:00,24.42,25.6,23.52,24.03,4113.32691
2020-01-20 00:00:00,23.83,24.55,23.73,24.27,4164.28136
2020-01-20 04:00:00,24.25,24.53,24.1,24.46,3683.1335
2020-01-20 08:00:00,24.46,24.85,24.27,24.77,4058.68988
2020-01-20 12:00:00,24.77,25.49,24.22,24.24,14916.04211
2020-01-20 16:00:00,24.27,24.53,24.12,24.26,5662.47549
2020-01-20 20:00:00,24.3,24.71,23.64,24.55,5495.97028
2020-01-21 00:00:00,24.58,24.71,24.29,24.38,2482.9129
2020-01-21 04:00:00,24.36,24.78,24.16,24.62,2156.95314
2020-01-21 08:00:00,24.64,24.87,24.27,24.44,2973.32075
2020-01-21 12:00:00,24.49,24.6,24.32,24.48,4190.28673
2020-01-21 16:00:00,24.5,25.73,24.47,25.59,6466.78919
2020-01-21 20:00:00,25.62,25.62,23.16,23.75,13675.12229
2020-01-22 00:00:00,23.73,24.06,23.62,23.94,953.06701
2020-01-22 04:00:00,23.93,24.01,23.17,23.9,3734.4807
2020-01-22 08:00:00,23.9,24.65,23.9,24.51,3938.42712
2020-01-22 12:00:00,24.48,24.71,24.38,24.54,2890.71036
2020-01-22 16:00:00,24.52,25.0,24.22,24.45,4673.25298
2020-01-22 20:00:00,24.51,24.63,24.4,24.44,1506.58757
2020-01-23 00:00:00,24.41,25.3,24.38,25.17,3236.28102
