Date,Open,High,Low,Close,Volume
2020-03-11 04:00:00,558.55,2488.9,527.39,537.28,287.42037
2020-03-11 08:00:00,537.0,554.9,499.81,517.13,345.72784
2020-03-11 12:00:00,517.57,531.31,476.71,489.6,620.62387
2020-03-11 16:00:00,486.48,505.04,418.0,484.49,706.18874
2020-03-11 20:00:00,485.0,530.14,474.6,528.62,537.02017
2020-03-12 00:00:00,529.51,530.0,423.64,426.76,679.54056
2020-03-12 04:00:00,427.07,427.77,326.71,338.59,1232.98747
2020-03-12 08:00:00,338.59,344.14,102.01,154.8,9570.24899
2020-03-12 12:00:00,155.19,239.08,120.0,154.11,10904.27143
2020-03-12 16:00:00,155.0,164.62,138.67,150.84,3345.89941
2020-03-12 20:00:00,150.0,152.16,51.0,61.38,6399.48048
2020-03-13 00:00:00,60.95,70.41,12.01,36.16,43339.76464
2020-03-13 04:00:00,36.16,53.45,27.0,51.4,26314.05805
2020-03-13 08:00:00,51.83,60.0,44.67,48.59,29105.9308
2020-03-13 12:00:00,49.33,63.26,40.8,47.08,29635.68533
2020-03-13 16:00:00,47.16,53.43,40.23,52.26,16064.03655
2020-03-13 20:00:00,52.37,61.47,49.38,57.85,12190.46439
2020-03-14 00:00:00,57.52,64.17,50.5,62.44,13717.12103
2020-03-14 04:00:00,62.44,62.44,54.76,57.89,9408.65327
2020-03-14 08:00:00,57.89,58.99,48.0,57.74,10318.76945
2020-03-14 12:00:00,57.28,57.28,50.67,51.61,7756.57761
2020-03-14 16:00:00,51.61,56.79,50.59,53.15,5011.69938
2020-03-14 20:00:00,53.17,54.0,41.0,44.71,15067.31364
2020-03-15 00:00:00,45.28,46.06,42.1,44.44,3890.08753
2020-03-15 04:00:00,44.38,51.99,44.38,48.8,5345.94508
2020-03-15 08:00:00,48.8,54.0,44.05,52.0,7212.62189
2020-03-15 12:00:00,52.01,55.84,46.97,48.61,5507.17373
2020-03-15 16:00:00,48.7,50.62,47.53,48.35,2930.22191
2020-03-15 20:00:00,48.42,60.56,44.44,47.75,15887.47213
2020-03-16 00:00:00,47.74,47.74,42.64,44.56,5727.71428
2020-03-16 04:00:00,44.25,44.73,30.58,30.75,26369.09509
2020-03-16 08:00:00,30.66,35.0,23.0,25.85,32585.89939
2020-03-16 12:00:00,25.88,37.0,24.54,36.07,43183.1422
2020-03-16 16:00:00,36.03,36.78,31.0,32.2,21010.38808
2020-03-16 20:00:00,32.34,34.16,30.0,33.32,9076.29866
2020-03-17 00:00:00,33.4,42.17,32.11,40.6,21169.50823
2020-03-17 04:00:00,40.6,45.0,37.66,43.75,8210.42579
2020-03-17 08:00:00,43.75,45.38,38.12,40.16,18225.9167
2020-03-17 12:00:00,40.16,42.82,35.68,42.24,17723.73007
2020-03-17 16:00:00,42.24,44.51,41.37,43.42,11605.51026
2020-03-17 20:00:00,43.5,44.87,42.0,42.68,6937.93269
2020-03-18 00:00:00,42.41,44.44,41.08,43.43,5102.57874
2020-03-18 04:00:00,43.48,43.73,36.6,37.96,19656.94311
2020-03-18 08:00:00,37.93,41.22,36.05,38.67,19722.47347
2020-03-18 12:00:00,38.67,43.05,34.72,41.68,28501.14826
2020-03-18 16:00:00,41.51,42.26,38.44,41.64,9197.28984
2020-03-18 20:00:00,41.65,43.44,40.5,43.43,6898.933
2020-03-19 00:00:00,43.43,45.0,41.5,43.05,13359.9395
2020-03-19 04:00:00,42.95,47.14,42.59,46.43,7284.27592
2020-03-19 08:00:00,46.43,52.99,45.14,52.0,18966.32807
2020-03-19 12:00:00,51.75,57.66,50.0,54.0,27330.2985
2020-03-19 16:00:00,54.25,71.17,52.0,64.21,25552.47381
2020-03-19 20:00:00,64.21,72.7,62.5,67.14,12855.72853
2020-03-20 00:00:00,67.14,71.16,62.25,63.63,13169.82079
2020-03-20 04:00:00,64.05,71.5,63.08,70.06,13356.41684
2020-03-20 08:00:00,70.09,89.23,70.09,77.85,33188.12078
2020-03-20 12:00:00,77.85,80.03,68.47,75.71,23127.36528
2020-03-20 16:00:00,76.07,77.46,53.56,56.25,22792.63481
2020-03-20 20:00:00,56.07,59.83,35.67,56.12,38502.54718
2020-03-21 00:00:00,56.12,61.65,51.71,57.29,13713.4384
2020-03-21 04:00:00,57.3,58.81,49.23,53.43,15450.27766
2020-03-21 08:00:00,53.23,53.6,46.58,52.43,19858.67444
2020-03-21 12:00:00,52.38,58.36,51.85,56.89,14923.73167
2020-03-21 16:00:00,57.03,58.36,52.16,56.36,10221.13182
2020-03-21 20:00:00,56.39,62.5,53.8,57.82,14281.86989
2020-03-22 00:00:00,57.66,61.46,55.47,61.0,9334.01778
2020-03-22 04:00:00,61.0,63.03,58.3,58.3,7253.43551
2020-03-22 08:00:00,58.62,60.4,54.0,55.93,9183.29389
2020-03-22 12:00:00,55.6,56.27,49.12,53.59,17487.88924
2020-03-22 16:00:00,53.59,54.97,46.5,47.01,12349.10389
2020-03-22 20:00:00,46.95,53.75,42.56,44.36,19279.79134
2020-03-23 00:00:00,44.42,46.03,40.65,45.06,13939.88718
2020-03-23 04:00:00,45.06,46.73,42.98,43.0,6884.40955
2020-03-23 08:00:00,43.22,45.86,40.15,42.93,19319.7819
2020-03-23 12:00:00,43.1,59.53,43.1,51.29,47611.22358
2020-03-23 16:00:00,51.44,54.66,50.88,52.15,11511.5017
2020-03-23 20:00:00,52.15,55.8,51.72,55.77,9101.26484
2020-03-24 00:00:00,55.73,58.4,53.67,54.52,8713.56164
2020-03-24 04:00:00,54.42,55.81,51.28,54.95,9558.68632
2020-03-24 08:00:00,54.8,60.31,54.54,58.52,18963.30843
2020-03-24 12:00:00,58.52,58.52,52.59,55.17,9448.04766
2020-03-24 16:00:00,54.99,58.2,53.25,57.55,4748.30065
2020-03-24 20:00:00,57.58,59.4,55.5,58.28,5994.21352
2020-03-25 00:00:00,58.37,58.82,54.05,54.75,4946.09021
2020-03-25 04:00:00,54.76,58.5,54.17,58.21,3514.38264
2020-03-25 08:00:00,58.18,62.5,53.63,54.31,17184.56642
2020-03-25 12:00:00,54.52,59.47,53.85,56.47,11342.50176
2020-03-25 16:00:00,56.25,57.54,54.8,55.42,6145.52875
2020-03-25 20:00:00,55.6,57.51,54.69,57.42,1689.72923
2020-03-26 00:00:00,57.54,59.0,56.73,58.92,3005.17492
2020-03-26 04:00:00,58.89,59.62,55.51,56.29,9188.89097
2020-03-26 08:00:00,56.29,58.55,56.05,57.23,8199.75939
2020-03-26 12:00:00,57.15,59.04,55.3,57.45,4546.90998
2020-03-26 16:00:00,57.7,61.63,57.05,61.63,8729.30544
2020-03-26 20:00:00,61.7,71.65,61.02,70.84,19551.71144
2020-03-27 00:00:00,70.84,73.59,67.15,69.59,15880.54178
2020-03-27 04:00:00,70.01,71.24,64.08,70.17,14242.78664
2020-03-27 08:00:00,70.1,70.1,65.65,66.8,14067.34702
2020-03-27 12:00:00,66.8,68.0,61.5,65.58,10928.53522
2020-03-27 16:00:00,65.57,67.31,64.17,64.7,5326.90767
2020-03-27 20:00:00,64.7,66.1,53.24,56.47,12734.49166
2020-03-28 00:00:00,56.33,56.43,49.82,52.3,32702.30692
2020-03-28 04:00:00,52.15,54.52,51.41,53.88,7307.35662
2020-03-28 08:00:00,53.88,56.87,53.45,54.29,10147.05478
2020-03-28 12:00:00,54.2,54.5,51.43,53.29,16297.43177
2020-03-28 16:00:00,53.24,53.95,46.97,52.5,23079.8808
2020-03-28 20:00:00,52.5,55.0,51.72,54.73,20719.11254
2020-03-29 00:00:00,54.73,55.0,51.97,52.83,3861.6689
2020-03-29 04:00:00,52.83,52.83,50.0,51.02,8078.49688
2020-03-29 08:00:00,50.93,51.94,48.88,50.11,10370.88211
2020-03-29 12:00:00,50.12,51.21,48.22,50.28,8472.45038
