Date,Open,High,Low,Close,Volume
2020-08-06 04:00:00,10.0,10.0,9.82,9.82,378.66
2020-08-06 08:00:00,9.81,9.87,9.78,9.86,160.08
2020-08-06 12:00:00,9.82,9.9,9.63,9.79,607.06
2020-08-06 16:00:00,9.79,9.9,9.79,9.9,335.24
2020-08-06 20:00:00,10.25,10.25,10.03,10.08,511.09
2020-08-07 00:00:00,10.02,10.02,10.02,10.02,3.0
2020-08-07 04:00:00,10.3,10.3,10.23,10.23,39.24
2020-08-07 08:00:00,10.17,10.17,9.84,10.13,55.11
2020-08-07 12:00:00,9.96,10.07,9.95,10.07,21.68
2020-08-07 16:00:00,10.5,11.89,10.5,11.06,7799.12
2020-08-07 20:00:00,10.97,10.97,10.44,10.7,269.88
2020-08-08 00:00:00,10.93,11.03,10.84,11.03,133.83
2020-08-08 04:00:00,11.03,11.12,10.8,10.8,36.76
2020-08-08 08:00:00,10.8,10.85,10.32,10.32,167.68
2020-08-08 12:00:00,10.18,10.34,9.93,9.95,1111.65
2020-08-08 16:00:00,10.14,10.38,10.06,10.21,246.29
2020-08-08 20:00:00,10.14,10.14,9.66,9.82,215.74
2020-08-09 00:00:00,9.82,9.82,9.77,9.77,4.61
2020-08-09 04:00:00,9.7,10.17,9.7,9.84,186.87
2020-08-09 08:00:00,10.2,10.51,10.16,10.16,153.5
2020-08-09 12:00:00,10.55,10.85,10.55,10.7,177.67
2020-08-09 16:00:00,10.68,10.69,10.21,10.21,282.88
2020-08-09 20:00:00,10.21,10.25,10.21,10.24,90.97
2020-08-10 00:00:00,10.24,10.24,10.0,10.0,120.62
2020-08-10 04:00:00,10.0,10.0,9.81,9.94,1625.85
2020-08-10 08:00:00,9.86,10.53,9.86,10.12,1761.47
2020-08-10 12:00:00,10.04,10.04,9.8,9.98,296.03
2020-08-10 16:00:00,10.04,10.05,10.04,10.05,605.06
2020-08-10 20:00:00,9.95,10.2,9.93,9.93,571.81
2020-08-11 00:00:00,9.88,10.04,9.88,10.02,20.4
2020-08-11 04:00:00,10.09,10.51,10.06,10.41,889.73
2020-08-11 08:00:00,10.41,10.96,10.3,10.56,3443.82
2020-08-11 12:00:00,10.67,11.61,10.67,11.49,1004.2
2020-08-11 16:00:00,11.66,12.43,11.27,11.74,4241.1
2020-08-11 20:00:00,12.07,12.52,11.78,11.86,3608.39
2020-08-12 00:00:00,11.91,12.44,11.89,12.04,462.64
2020-08-12 04:00:00,12.25,12.6,11.26,11.37,4484.0
2020-08-12 08:00:00,11.3,11.3,10.79,11.0,1486.42
2020-08-12 12:00:00,11.22,11.24,10.76,11.01,310.88
2020-08-12 16:00:00,10.83,11.45,10.79,11.45,993.84
2020-08-12 20:00:00,11.17,11.45,10.99,11.34,442.85
2020-08-13 00:00:00,11.41,11.62,11.13,11.47,844.64
2020-08-13 04:00:00,11.37,11.939,11.37,11.939,342.02
2020-08-13 08:00:00,11.992,12.574,11.622,11.816,1038.42
2020-08-13 12:00:00,11.933,12.191,11.784,12.06,894.17
2020-08-13 16:00:00,11.784,11.784,11.449,11.661,287.86
2020-08-13 20:00:00,11.378,11.378,10.806,10.917,508.31
2020-08-14 00:00:00,11.095,11.445,10.939,11.445,619.78
2020-08-14 04:00:00,11.513,11.6,11.47,11.5,16.2
2020-08-14 08:00:00,11.43,11.643,9.448,9.851,6963.58
2020-08-14 12:00:00,10.0,10.024,8.97,9.3,1857.77
2020-08-14 16:00:00,9.135,9.425,9.135,9.21,919.46
2020-08-14 20:00:00,9.27,9.53,9.129,9.221,1420.02
2020-08-15 00:00:00,9.111,9.205,8.7,9.046,2877.12
2020-08-15 04:00:00,9.18,9.269,8.463,8.965,5942.75
2020-08-15 08:00:00,8.831,9.02,8.678,8.97,822.93
2020-08-15 12:00:00,8.97,9.296,8.97,8.984,1443.88
2020-08-15 16:00:00,8.958,9.194,8.958,9.051,983.4
2020-08-15 20:00:00,9.111,9.5,9.11,9.381,3940.24
2020-08-16 00:00:00,9.538,9.553,9.111,9.364,405.67
2020-08-16 04:00:00,9.364,9.364,8.944,8.944,1041.49
2020-08-16 08:00:00,9.058,9.402,9.058,9.4,414.76
2020-08-16 12:00:00,9.477,9.638,9.044,9.044,6187.38
2020-08-16 16:00:00,9.061,9.061,8.62,8.765,4061.08
2020-08-16 20:00:00,8.74,8.989,8.74,8.989,1220.02
2020-08-17 00:00:00,8.898,9.221,8.696,9.1,679.02
2020-08-17 04:00:00,9.1,9.34,9.1,9.245,214.17
2020-08-17 08:00:00,9.208,9.209,9.032,9.09,777.14
2020-08-17 12:00:00,9.24,9.28,9.09,9.206,9019.89
2020-08-17 16:00:00,9.01,9.01,8.378,8.57,3788.2
2020-08-17 20:00:00,8.6,8.99,8.394,8.743,2295.12
2020-08-18 00:00:00,8.702,8.85,8.657,8.83,572.9
2020-08-18 04:00:00,9.03,9.03,8.881,8.951,2393.13
2020-08-18 08:00:00,8.914,9.28,8.8,9.28,180.09
2020-08-18 12:00:00,9.157,10.0,8.962,9.508,2819.45
2020-08-18 16:00:00,9.556,9.556,9.086,9.3,1899.5
2020-08-18 20:00:00,9.122,9.387,9.073,9.346,199.05
2020-08-19 00:00:00,9.28,10.05,9.138,9.871,843.1
2020-08-19 04:00:00,10.1,10.451,9.928,10.137,367.76
2020-08-19 08:00:00,10.035,10.035,9.791,9.93,153.72
2020-08-19 12:00:00,9.894,10.15,9.64,10.15,433.41
2020-08-19 16:00:00,9.97,10.414,9.97,10.414,191.01
2020-08-19 20:00:00,10.486,10.595,9.942,10.122,1049.95
2020-08-20 00:00:00,10.107,10.263,9.839,10.263,489.76
2020-08-20 04:00:00,10.244,10.328,10.165,10.328,159.53
2020-08-20 08:00:00,10.328,10.328,10.068,10.108,110.72
2020-08-20 12:00:00,10.01,10.01,9.3,9.3,612.23
2020-08-20 16:00:00,9.418,9.583,9.332,9.462,807.71
2020-08-20 20:00:00,9.309,9.583,9.309,9.362,303.62
2020-08-21 00:00:00,9.508,9.777,9.499,9.58,487.92
2020-08-21 04:00:00,9.402,9.701,9.323,9.701,148.31
2020-08-21 08:00:00,9.54,10.155,9.54,10.155,910.53
2020-08-21 12:00:00,10.201,10.307,9.854,10.0,1504.68
2020-08-21 16:00:00,10.003,10.436,10.0,10.17,637.97
2020-08-21 20:00:00,10.032,10.828,10.03,10.614,813.12
2020-08-22 00:00:00,10.741,11.333,10.679,10.753,2658.76
2020-08-22 04:00:00,10.6,10.781,10.574,10.665,1827.52
2020-08-22 08:00:00,10.427,10.722,10.337,10.711,836.35
2020-08-22 12:00:00,10.578,10.606,10.311,10.404,255.82
2020-08-22 16:00:00,10.404,10.404,10.404,10.404,0.0
2020-08-22 20:00:00,10.621,10.621,10.39,10.451,80.92
2020-08-23 00:00:00,10.478,10.581,10.443,10.581,1020.85
2020-08-23 04:00:00,10.598,10.7,10.598,10.656,59.54
2020-08-23 08:00:00,10.723,11.076,10.723,11.024,463.76
2020-08-23 12:00:00,10.804,10.992,10.715,10.901,184.09
2020-08-23 16:00:00,10.824,10.826,10.679,10.685,30.02
2020-08-23 20:00:00,10.762,10.864,10.638,10.864,42.88
2020-08-24 00:00:00,10.7,10.7,10.242,10.42,504.31
2020-08-24 04:00:00,10.45,10.45,10.066,10.232,606.35
2020-08-24 08:00:00,10.065,10.199,9.727,9.91,602.06
2020-08-24 12:00:00,9.875,10.184,9.875,10.184,264.01
2020-08-24 16:00:00,9.97,10.197,9.969,10.082,397.04
2020-08-24 20:00:00,10.082,10.232,10.079,10.079,458.78
2020-08-25 00:00:00,10.08,10.417,10.08,10.417,471.32
2020-08-25 04:00:00,10.369,10.656,10.369,10.591,323.0
2020-08-25 08:00:00,10.63,10.658,10.067,10.277,523.05
2020-08-25 12:00:00,10.31,10.933,10.31,10.881,1321.73
2020-08-25 16:00:00,10.964,11.62,10.964,11.256,2109.05
2020-08-25 20:00:00,11.443,11.444,11.092,11.2,425.61
2020-08-26 00:00:00,11.309,11.31,10.45,10.74,565.21
2020-08-26 04:00:00,10.6,10.679,10.241,10.562,292.02
2020-08-26 08:00:00,10.53,10.658,10.238,10.238,174.42
2020-08-26 12:00:00,10.487,10.912,10.198,10.198,740.09
2020-08-26 16:00:00,10.438,10.438,10.198,10.198,177.76
2020-08-26 20:00:00,10.213,10.487,10.213,10.487,130.16
2020-08-27 00:00:00,10.439,10.439,10.39,10.39,40.98
2020-08-27 04:00:00,10.405,10.419,10.29,10.346,124.36
2020-08-27 08:00:00,10.29,10.29,9.801,10.062,1032.39
2020-08-27 12:00:00,10.199,10.292,9.689,10.081,3086.24
2020-08-27 16:00:00,10.081,10.75,9.94,10.346,1346.29
2020-08-27 20:00:00,10.469,10.47,9.509,9.509,532.64
2020-08-28 00:00:00,9.547,9.75,9.15,9.268,2199.8
2020-08-28 04:00:00,9.284,9.784,9.284,9.648,1952.77
