Date,Open,High,Low,Close,Volume
2020-05-14 08:00:00,10.15,10.92,9.87,10.0,1400.26
2020-05-14 12:00:00,10.2,10.28,9.94,9.98,1884.08
2020-05-14 16:00:00,9.95,10.26,9.93,10.04,766.8
2020-05-14 20:00:00,10.09,10.24,9.41,9.79,3716.8
2020-05-15 00:00:00,9.85,10.8,9.8,10.38,1870.81
2020-05-15 04:00:00,10.5,10.54,10.0,10.11,1624.31
2020-05-15 08:00:00,10.17,10.28,10.0,10.28,327.45
2020-05-15 12:00:00,10.31,10.44,10.17,10.43,535.12
2020-05-15 16:00:00,10.45,10.79,10.24,10.7,1307.16
2020-05-15 20:00:00,10.7,11.11,10.45,10.65,7245.75
2020-05-16 00:00:00,10.65,10.99,10.43,10.51,789.37
2020-05-16 04:00:00,10.49,10.6,10.2,10.6,2940.88
2020-05-16 08:00:00,10.59,10.7,10.45,10.58,6867.51
2020-05-16 12:00:00,10.55,10.7,10.29,10.62,9776.01
2020-05-16 16:00:00,10.62,10.87,10.58,10.75,5453.59
2020-05-16 20:00:00,10.77,10.82,10.51,10.62,5519.97
2020-05-17 00:00:00,10.69,10.7,10.2,10.2,7199.36
2020-05-17 04:00:00,10.26,10.38,10.21,10.28,3023.38
2020-05-17 08:00:00,10.32,10.43,10.28,10.28,5914.16
2020-05-17 12:00:00,10.27,10.27,9.57,9.68,31672.14
2020-05-17 16:00:00,9.66,9.89,9.65,9.75,7937.5
2020-05-17 20:00:00,9.8,10.08,9.73,9.96,12334.18
2020-05-18 00:00:00,9.9,9.9,9.43,9.63,52392.84
2020-05-18 04:00:00,9.6,9.82,9.51,9.76,64360.08
2020-05-18 08:00:00,9.76,10.35,9.73,10.03,55434.12
2020-05-18 12:00:00,10.06,10.15,9.85,9.99,29510.78
2020-05-18 16:00:00,9.91,10.2,9.87,9.9,29022.74
2020-05-18 20:00:00,9.89,9.98,9.74,9.81,26505.29
2020-05-19 00:00:00,9.82,10.32,9.82,10.22,74009.72
2020-05-19 04:00:00,10.24,10.35,10.04,10.17,30295.14
2020-05-19 08:00:00,10.13,10.13,9.42,9.77,104559.25
2020-05-19 12:00:00,9.73,10.16,9.73,9.94,99600.71
2020-05-19 16:00:00,9.88,10.02,9.82,9.96,32636.28
2020-05-19 20:00:00,9.99,10.01,9.68,9.71,26621.5
2020-05-20 00:00:00,9.73,9.83,9.66,9.82,20833.66
2020-05-20 04:00:00,9.83,9.96,9.58,9.73,37565.46
2020-05-20 08:00:00,9.74,9.82,9.65,9.82,27427.65
2020-05-20 12:00:00,9.79,10.69,9.68,10.46,73366.58
2020-05-20 16:00:00,10.49,10.56,10.2,10.22,33125.33
2020-05-20 20:00:00,10.24,10.39,10.1,10.25,26010.03
2020-05-21 00:00:00,10.26,10.39,10.15,10.34,17689.06
2020-05-21 04:00:00,10.32,10.44,10.24,10.39,25433.54
2020-05-21 08:00:00,10.36,10.86,10.31,10.56,70178.37
2020-05-21 12:00:00,10.6,11.51,10.54,11.2,102698.44
2020-05-21 16:00:00,11.29,11.93,11.08,11.22,105729.25
2020-05-21 20:00:00,11.32,11.4,11.02,11.24,21074.14
2020-05-22 00:00:00,11.3,11.47,11.12,11.47,40816.49
2020-05-22 04:00:00,11.4,11.57,11.12,11.2,40155.0
2020-05-22 08:00:00,11.16,11.26,10.93,10.95,33323.73
2020-05-22 12:00:00,10.97,11.16,10.85,10.85,27976.04
2020-05-22 16:00:00,10.85,11.02,10.76,10.93,26581.43
2020-05-22 20:00:00,10.96,11.03,10.84,11.01,26510.23
2020-05-23 00:00:00,10.9,10.91,10.64,10.7,29960.25
2020-05-23 04:00:00,10.7,10.83,10.66,10.77,12456.54
2020-05-23 08:00:00,10.81,11.11,10.81,10.94,26955.41
2020-05-23 12:00:00,10.95,11.13,10.85,10.89,17418.43
2020-05-23 16:00:00,10.87,11.05,10.87,10.9,14692.35
2020-05-23 20:00:00,10.91,10.97,10.77,10.91,9284.92
2020-05-24 00:00:00,10.93,11.06,10.84,10.87,31007.46
2020-05-24 04:00:00,10.87,10.88,10.65,10.75,8577.15
2020-05-24 08:00:00,10.73,11.12,10.66,11.07,39241.59
2020-05-24 12:00:00,11.08,11.31,10.92,11.21,26663.2
2020-05-24 16:00:00,11.22,11.69,11.22,11.31,65478.09
2020-05-24 20:00:00,11.29,12.15,11.16,12.02,57980.39
2020-05-25 00:00:00,12.1,12.27,11.82,11.88,36948.86
2020-05-25 04:00:00,11.91,11.95,11.69,11.69,7433.62
2020-05-25 08:00:00,11.68,12.17,11.68,11.99,30853.38
2020-05-25 12:00:00,11.96,12.03,11.74,11.94,19801.14
2020-05-25 16:00:00,11.94,11.94,11.47,11.61,25569.98
2020-05-25 20:00:00,11.64,11.8,11.63,11.71,17525.59
2020-05-26 00:00:00,11.7,11.88,11.66,11.7,20774.82
2020-05-26 04:00:00,11.74,11.82,11.56,11.58,39410.05
2020-05-26 08:00:00,11.55,11.98,11.44,11.8,56489.95
2020-05-26 12:00:00,11.82,12.22,11.71,12.18,56347.18
2020-05-26 16:00:00,12.19,12.25,11.94,12.0,26217.33
2020-05-26 20:00:00,11.99,11.99,11.76,11.87,11093.71
2020-05-27 00:00:00,11.89,11.9,11.75,11.89,6927.53
2020-05-27 04:00:00,11.87,11.91,11.78,11.87,2718.48
2020-05-27 08:00:00,11.82,11.83,10.94,11.07,116015.05
2020-05-27 12:00:00,11.06,11.14,10.86,11.06,57547.33
2020-05-27 16:00:00,11.04,11.08,10.88,11.06,12377.98
