Date,Open,High,Low,Close,Volume
2019-11-22 12:00:00,0.1598,0.1688,0.125,0.126,5354896.95
2019-11-22 16:00:00,0.126,0.137,0.1158,0.1293,3211896.4
2019-11-22 20:00:00,0.131,0.1489,0.1263,0.1329,1875402.68
2019-11-23 00:00:00,0.1329,0.1375,0.1184,0.1215,1745326.99
2019-11-23 04:00:00,0.124,0.127,0.118,0.1207,952938.39
2019-11-23 08:00:00,0.1219,0.1278,0.1208,0.1241,877726.24
2019-11-23 12:00:00,0.1247,0.137,0.1226,0.1275,1386842.94
2019-11-23 16:00:00,0.1275,0.1278,0.1234,0.1247,438042.81
2019-11-23 20:00:00,0.1247,0.127,0.1208,0.1243,382272.76
2019-11-24 00:00:00,0.1243,0.1271,0.1239,0.1243,136445.86
2019-11-24 04:00:00,0.1243,0.1245,0.1132,0.1142,1062391.34
2019-11-24 08:00:00,0.1149,0.1164,0.1061,0.1076,1059556.72
2019-11-24 12:00:00,0.1072,0.1115,0.095,0.0951,1894314.0
2019-11-24 16:00:00,0.0954,0.1041,0.0952,0.1003,825605.72
2019-11-24 20:00:00,0.1005,0.1018,0.095,0.096,334093.6
2019-11-25 00:00:00,0.096,0.0976,0.088,0.0892,849603.52
2019-11-25 04:00:00,0.0896,0.0915,0.0804,0.0841,1051106.25
2019-11-25 08:00:00,0.0858,0.095,0.0806,0.0898,2064775.59
2019-11-25 12:00:00,0.0895,0.1025,0.087,0.1025,2184356.09
2019-11-25 16:00:00,0.103,0.105,0.0884,0.0887,1502921.24
2019-11-25 20:00:00,0.0893,0.0926,0.0876,0.0889,471204.8
2019-11-26 00:00:00,0.0888,0.0961,0.0875,0.0922,607008.64
2019-11-26 04:00:00,0.0917,0.095,0.0895,0.0913,590835.23
2019-11-26 08:00:00,0.0912,0.0988,0.0886,0.0942,537702.23
2019-11-26 12:00:00,0.0942,0.0971,0.0886,0.0948,626932.57
2019-11-26 16:00:00,0.0947,0.0947,0.091,0.0928,200145.8
2019-11-26 20:00:00,0.0922,0.094,0.0917,0.0934,38888.51
2019-11-27 00:00:00,0.0939,0.1087,0.0939,0.0961,2789787.01
2019-11-27 04:00:00,0.0962,0.1035,0.0934,0.0982,893605.67
2019-11-27 08:00:00,0.098,0.1025,0.0952,0.1025,1015659.57
2019-11-27 12:00:00,0.1024,0.1052,0.0962,0.0998,483916.77
2019-11-27 16:00:00,0.0992,0.0998,0.0928,0.096,808273.41
2019-11-27 20:00:00,0.0957,0.0964,0.0927,0.0952,229933.0
2019-11-28 00:00:00,0.0952,0.0989,0.094,0.0978,254733.93
2019-11-28 04:00:00,0.097,0.0986,0.0952,0.0977,206305.59
2019-11-28 08:00:00,0.0967,0.0977,0.0951,0.0974,618685.75
2019-11-28 12:00:00,0.0974,0.1024,0.0974,0.1009,640764.54
