Date,Open,High,Low,Close,Volume
2021-11-10 04:00:00,43.66,120.0,43.66,57.66,912540.24
2021-11-10 08:00:00,57.69,66.66,54.3,57.2,916790.17
2021-11-10 12:00:00,57.2,82.0,55.0,76.81,1538081.07
2021-11-10 16:00:00,76.86,85.63,67.83,69.9,1841802.18
2021-11-10 20:00:00,69.9,77.0,60.0,73.82,931343.95
2021-11-11 00:00:00,73.87,86.76,70.9,72.74,1157605.06
2021-11-11 04:00:00,72.75,78.69,63.81,69.08,676923.52
2021-11-11 08:00:00,69.1,73.3,65.5,69.15,391011.93
2021-11-11 12:00:00,69.15,72.38,60.91,61.6,544012.75
2021-11-11 16:00:00,61.6,65.3,56.0,58.05,783267.57
2021-11-11 20:00:00,58.05,61.0,55.06,55.31,395997.98
2021-11-12 00:00:00,55.38,57.91,50.0,57.6,528212.3
2021-11-12 04:00:00,57.67,64.94,55.37,56.08,499499.61
2021-11-12 08:00:00,56.08,58.15,53.0,53.32,305373.54
2021-11-12 12:00:00,53.34,59.26,52.45,54.43,444557.84
2021-11-12 16:00:00,54.41,57.5,52.3,55.21,254644.44
2021-11-12 20:00:00,55.21,56.64,53.73,54.65,94178.63
2021-11-13 00:00:00,54.6,56.26,48.56,50.12,346550.67
2021-11-13 04:00:00,50.08,51.0,48.0,48.94,285587.22
2021-11-13 08:00:00,48.97,54.14,48.49,53.52,317418.29
2021-11-13 12:00:00,53.52,63.58,52.8,58.77,807091.76
2021-11-13 16:00:00,58.8,61.9,55.57,57.23,286360.16
2021-11-13 20:00:00,57.22,58.25,54.39,55.57,150460.99
2021-11-14 00:00:00,55.58,62.43,55.5,61.32,381600.88
2021-11-14 04:00:00,61.34,61.7,58.25,61.58,203592.98
2021-11-14 08:00:00,61.55,62.49,56.99,58.07,239628.89
2021-11-14 12:00:00,58.02,58.3,54.5,55.22,186111.05
2021-11-14 16:00:00,55.21,56.88,53.2,54.05,177034.59
2021-11-14 20:00:00,54.09,56.23,53.32,56.21,134183.3
2021-11-15 00:00:00,56.22,60.15,55.55,56.29,275931.66
2021-11-15 04:00:00,56.25,56.83,54.5,54.83,107149.53
2021-11-15 08:00:00,54.84,55.02,52.6,54.32,240024.69
2021-11-15 12:00:00,54.3,56.8,53.2,53.58,222109.42
2021-11-15 16:00:00,53.56,57.29,50.05,53.95,429209.68
2021-11-15 20:00:00,53.93,59.11,53.79,55.77,528746.6
2021-11-16 00:00:00,55.75,55.94,50.79,51.6,439250.42
2021-11-16 04:00:00,51.66,55.08,51.0,53.45,256085.94
