Date,Open,High,Low,Close,Volume
2020-02-12 08:00:00,13.75,14.31,13.3,13.93,5737.54541
2020-02-12 12:00:00,14.09,14.53,13.75,14.31,4719.62713
2020-02-12 16:00:00,14.52,14.56,13.51,13.66,1496.72047
2020-02-12 20:00:00,13.57,14.13,13.0,14.03,438.96958
2020-02-13 00:00:00,13.83,13.83,12.8,13.68,1176.97427
2020-02-13 04:00:00,13.5,13.77,13.14,13.77,79.84961
2020-02-13 08:00:00,13.77,15.56,13.77,15.34,8218.54581
2020-02-13 12:00:00,15.18,15.79,13.64,14.32,10091.92925
2020-02-13 16:00:00,14.49,15.3,14.49,14.92,3555.14106
2020-02-13 20:00:00,14.85,15.32,14.23,14.23,3219.45163
2020-02-14 00:00:00,14.16,14.86,13.59,14.46,3543.50697
2020-02-14 04:00:00,14.29,15.28,13.92,14.97,4275.27163
2020-02-14 08:00:00,14.97,15.08,14.1,14.31,3048.44851
2020-02-14 12:00:00,14.25,14.92,14.25,14.65,5153.72474
2020-02-14 16:00:00,14.74,14.9,14.25,14.5,1404.76963
2020-02-14 20:00:00,14.42,14.6,14.07,14.07,607.84698
2020-02-15 00:00:00,14.09,15.33,14.0,15.04,3319.41416
2020-02-15 04:00:00,15.06,15.83,14.96,15.48,2398.95394
2020-02-15 08:00:00,15.58,15.65,15.04,15.38,7110.37065
2020-02-15 12:00:00,15.4,21.99,15.3,18.0,5129.78909
2020-02-15 16:00:00,18.0,23.5,17.05,19.76,28224.88045
2020-02-15 20:00:00,19.8,19.96,19.09,19.46,6701.68378
2020-02-16 00:00:00,19.6,20.26,17.82,18.26,15395.02487
2020-02-16 04:00:00,18.32,20.03,18.17,19.82,4758.76675
2020-02-16 08:00:00,19.76,21.1,19.51,20.92,11623.92879
2020-02-16 12:00:00,20.85,24.36,20.49,23.39,44763.24455
2020-02-16 16:00:00,23.35,28.0,21.87,25.73,39307.19855
2020-02-16 20:00:00,25.9,25.9,23.42,23.87,16704.69079
2020-02-17 00:00:00,23.86,28.0,23.35,27.52,33246.30479
2020-02-17 04:00:00,27.56,29.4,24.79,27.0,30691.9974
2020-02-17 08:00:00,26.93,28.77,24.99,26.47,39974.9324
2020-02-17 12:00:00,26.75,27.81,24.0,24.49,32448.48601
2020-02-17 16:00:00,24.49,25.14,23.17,24.1,17552.96424
2020-02-17 20:00:00,24.01,25.15,23.8,24.4,11785.85593
2020-02-18 00:00:00,24.38,25.97,21.85,22.55,24056.02785
2020-02-18 04:00:00,22.55,23.24,21.85,22.48,12217.88309
2020-02-18 08:00:00,22.45,24.17,22.32,23.29,12485.79594
2020-02-18 12:00:00,23.54,25.87,22.35,22.78,15228.99097
