Date,Open,High,Low,Close,Volume
2020-09-10 04:00:00,10.0,10.0,9.564,9.649,1016.48
2020-09-10 08:00:00,9.546,9.737,9.419,9.666,16383.98
2020-09-10 12:00:00,9.692,9.987,9.637,9.7,3420.66
2020-09-10 16:00:00,9.744,9.75,9.47,9.57,833.97
2020-09-10 20:00:00,9.734,9.735,9.604,9.683,1155.61
2020-09-11 00:00:00,9.75,9.84,9.23,9.23,825.21
2020-09-11 04:00:00,9.284,9.459,9.284,9.459,192.75
2020-09-11 08:00:00,9.616,10.042,9.616,9.67,838.54
2020-09-11 12:00:00,9.843,9.906,9.696,9.87,878.4
2020-09-11 16:00:00,9.827,9.906,9.671,9.852,6554.58
2020-09-11 20:00:00,9.942,9.942,9.613,9.728,813.09
2020-09-12 00:00:00,9.739,9.869,9.629,9.868,636.26
2020-09-12 04:00:00,9.815,9.921,9.673,9.758,1655.17
2020-09-12 08:00:00,9.718,9.756,9.694,9.756,113.27
2020-09-12 12:00:00,9.671,9.819,9.5,9.795,360.06
2020-09-12 16:00:00,9.78,10.075,9.687,10.072,948.28
2020-09-12 20:00:00,10.084,10.167,9.92,9.997,7394.23
2020-09-13 00:00:00,9.96,10.117,9.75,10.117,18777.19
2020-09-13 04:00:00,10.011,10.119,9.95,10.084,17442.98
2020-09-13 08:00:00,10.066,10.193,9.442,9.5,4037.7
2020-09-13 12:00:00,9.393,9.527,8.991,9.001,3104.12
2020-09-13 16:00:00,8.99,9.079,8.856,9.079,85.6
2020-09-13 20:00:00,9.079,9.215,9.078,9.212,148.97
2020-09-14 00:00:00,9.198,9.198,8.968,9.189,73.41
2020-09-14 04:00:00,9.172,9.352,9.049,9.317,723.46
2020-09-14 08:00:00,9.224,9.24,9.084,9.239,2938.41
2020-09-14 12:00:00,9.299,9.538,9.286,9.538,5450.11
2020-09-14 16:00:00,9.419,9.544,9.293,9.293,1010.6
2020-09-14 20:00:00,9.406,9.526,9.157,9.321,1402.1
2020-09-15 00:00:00,9.3,9.692,9.262,9.64,281.42
2020-09-15 04:00:00,9.554,9.554,9.43,9.496,976.32
2020-09-15 08:00:00,9.538,9.6,9.197,9.48,208.6
2020-09-15 12:00:00,9.526,9.561,9.051,9.199,507.88
2020-09-15 16:00:00,9.195,9.23,9.001,9.062,730.59
2020-09-15 20:00:00,9.07,9.178,9.07,9.178,24.77
2020-09-16 00:00:00,9.0,9.0,7.979,8.408,294.11
2020-09-16 04:00:00,8.43,8.748,8.43,8.748,509.56
2020-09-16 08:00:00,8.754,8.754,8.555,8.612,269.01
2020-09-16 12:00:00,8.827,9.111,8.777,9.103,493.3
2020-09-16 16:00:00,9.103,9.226,9.047,9.109,296.57
2020-09-16 20:00:00,9.055,9.277,9.055,9.136,3559.63
2020-09-17 00:00:00,9.107,9.632,9.101,9.17,396.46
2020-09-17 04:00:00,9.196,9.292,9.126,9.292,53.24
2020-09-17 08:00:00,9.277,9.355,9.014,9.3,1071.1
2020-09-17 12:00:00,9.295,9.295,9.105,9.139,168.65
2020-09-17 16:00:00,9.208,9.388,9.208,9.301,228.54
2020-09-17 20:00:00,9.383,9.442,9.254,9.301,159.04
2020-09-18 00:00:00,9.347,9.347,9.207,9.251,152.9
2020-09-18 04:00:00,9.314,9.314,9.16,9.207,53.61
2020-09-18 08:00:00,9.332,9.401,9.332,9.401,63.11
2020-09-18 12:00:00,9.274,9.331,8.831,8.963,3664.69
2020-09-18 16:00:00,8.953,9.041,8.58,8.845,1541.9
2020-09-18 20:00:00,8.795,8.863,8.795,8.863,16.82
2020-09-19 00:00:00,9.012,9.142,8.994,9.113,1118.8
2020-09-19 04:00:00,9.113,9.113,9.02,9.02,882.48
2020-09-19 08:00:00,8.965,9.168,8.965,9.168,137.44
2020-09-19 12:00:00,9.215,9.215,9.127,9.127,878.51
2020-09-19 16:00:00,9.13,9.188,8.954,8.998,26.09
2020-09-19 20:00:00,8.998,8.998,8.998,8.998,0.0
2020-09-20 00:00:00,8.9,8.951,8.794,8.815,809.89
2020-09-20 04:00:00,8.94,8.941,8.94,8.941,4.0
2020-09-20 08:00:00,8.947,8.947,8.866,8.944,4.9
2020-09-20 12:00:00,8.925,8.925,8.35,8.582,305.77
2020-09-20 16:00:00,8.5,8.68,8.361,8.68,5150.98
2020-09-20 20:00:00,8.677,8.768,8.616,8.634,48.5
2020-09-21 00:00:00,8.64,8.837,8.637,8.774,139.34
2020-09-21 04:00:00,8.756,8.756,8.73,8.753,119.7
2020-09-21 08:00:00,8.508,8.611,7.816,7.941,5116.32
2020-09-21 12:00:00,7.945,7.945,7.111,7.333,647.57
2020-09-21 16:00:00,7.23,7.529,7.23,7.459,424.72
2020-09-21 20:00:00,7.457,7.554,7.389,7.402,1874.11
2020-09-22 00:00:00,7.391,7.391,7.22,7.36,290.96
2020-09-22 04:00:00,7.417,7.766,7.417,7.688,238.37
2020-09-22 08:00:00,7.349,7.63,7.349,7.612,161.89
2020-09-22 12:00:00,7.559,7.736,7.485,7.588,39.53
2020-09-22 16:00:00,7.588,7.588,7.588,7.588,0.0
2020-09-22 20:00:00,7.645,7.833,7.627,7.703,60.18
2020-09-23 00:00:00,7.86,7.86,7.761,7.761,10.49
2020-09-23 04:00:00,7.703,7.703,7.383,7.491,114.15
2020-09-23 08:00:00,7.659,7.716,7.657,7.68,205.88
2020-09-23 12:00:00,7.66,7.792,7.578,7.584,111.07
2020-09-23 16:00:00,7.582,7.593,6.929,7.013,263.78
2020-09-23 20:00:00,7.119,7.119,6.241,6.474,407.61
2020-09-24 00:00:00,6.486,6.65,6.486,6.65,3150.41
2020-09-24 04:00:00,6.65,6.69,6.615,6.685,461.19
2020-09-24 08:00:00,6.67,6.91,6.556,6.84,363.33
2020-09-24 12:00:00,6.868,6.986,6.776,6.986,249.25
2020-09-24 16:00:00,7.079,7.257,7.013,7.066,300.22
2020-09-24 20:00:00,7.066,7.18,7.019,7.16,1958.63
2020-09-25 00:00:00,7.157,7.158,7.068,7.068,343.01
2020-09-25 04:00:00,7.0,7.0,6.87,6.884,299.8
2020-09-25 08:00:00,6.845,7.073,6.727,7.013,702.29
2020-09-25 12:00:00,7.056,7.185,7.002,7.177,665.66
2020-09-25 16:00:00,7.19,7.247,7.147,7.247,1370.11
2020-09-25 20:00:00,7.221,7.305,7.183,7.233,312.24
2020-09-26 00:00:00,7.321,7.38,7.245,7.295,12098.42
2020-09-26 04:00:00,7.257,7.347,7.137,7.159,222.89
2020-09-26 08:00:00,7.164,7.244,7.157,7.189,3026.95
2020-09-26 12:00:00,7.189,7.235,6.984,7.186,3554.49
2020-09-26 16:00:00,7.134,7.576,7.134,7.396,9994.4
2020-09-26 20:00:00,7.377,7.446,7.25,7.299,2580.95
2020-09-27 00:00:00,7.309,7.523,7.303,7.471,9306.46
2020-09-27 04:00:00,7.473,7.473,7.18,7.26,1880.28
2020-09-27 08:00:00,7.22,7.277,7.11,7.204,2182.99
2020-09-27 12:00:00,7.131,7.474,7.093,7.474,302.57
2020-09-27 16:00:00,7.46,7.46,7.356,7.364,103.36
2020-09-27 20:00:00,7.369,7.42,7.345,7.409,287.31
2020-09-28 00:00:00,7.499,7.607,7.497,7.542,9306.3
2020-09-28 04:00:00,7.542,7.58,7.54,7.553,152.88
2020-09-28 08:00:00,7.488,7.61,7.443,7.532,3888.81
2020-09-28 12:00:00,7.598,7.675,7.571,7.604,1590.86
2020-09-28 16:00:00,7.573,7.706,7.485,7.545,633.56
2020-09-28 20:00:00,7.463,7.505,7.276,7.276,7347.84
2020-09-29 00:00:00,7.339,7.416,7.318,7.353,981.65
2020-09-29 04:00:00,7.345,7.409,7.345,7.409,111.05
2020-09-29 08:00:00,7.382,7.461,7.382,7.461,2796.81
2020-09-29 12:00:00,7.383,7.472,7.383,7.472,2.91
2020-09-29 16:00:00,7.321,7.46,7.315,7.411,266.5
2020-09-29 20:00:00,7.476,7.561,7.448,7.561,11661.16
2020-09-30 00:00:00,7.502,7.502,7.409,7.409,12567.07
2020-09-30 04:00:00,7.416,7.455,7.345,7.448,862.04
2020-09-30 08:00:00,7.379,7.388,7.3,7.3,605.45
2020-09-30 12:00:00,7.344,7.39,7.344,7.378,669.38
2020-09-30 16:00:00,7.426,7.445,7.253,7.329,862.82
2020-09-30 20:00:00,7.412,7.433,7.404,7.404,58.17
2020-10-01 00:00:00,7.404,7.516,7.39,7.41,8189.58
2020-10-01 04:00:00,7.41,7.564,7.409,7.527,364.7
2020-10-01 08:00:00,7.525,7.661,7.525,7.587,6675.41
2020-10-01 12:00:00,7.595,7.623,7.36,7.379,2149.03
2020-10-01 16:00:00,7.351,7.351,6.848,7.09,8361.72
2020-10-01 20:00:00,7.091,7.159,7.027,7.159,1897.07
2020-10-02 00:00:00,7.145,7.145,7.088,7.132,23.12
