Date,Open,High,Low,Close,Volume
2020-07-13 08:00:00,10.0,10.2,9.96,10.2,14913.65
2020-07-13 12:00:00,10.24,10.24,9.89,9.98,9404.77
2020-07-13 16:00:00,10.0,10.06,9.44,9.52,4229.04
2020-07-13 20:00:00,9.48,9.68,9.48,9.68,2284.74
2020-07-14 00:00:00,9.6,9.72,9.55,9.58,817.75
2020-07-14 04:00:00,9.57,9.57,9.38,9.52,1778.15
2020-07-14 08:00:00,9.52,9.75,9.5,9.69,1968.08
2020-07-14 12:00:00,9.75,9.8,9.54,9.73,1325.52
2020-07-14 16:00:00,9.66,9.83,9.65,9.81,2225.3
2020-07-14 20:00:00,9.82,9.88,9.7,9.73,4314.0
2020-07-15 00:00:00,9.8,9.8,9.65,9.72,277.52
2020-07-15 04:00:00,9.61,9.69,9.57,9.65,2278.57
2020-07-15 08:00:00,9.6,9.69,9.52,9.63,1211.22
2020-07-15 12:00:00,9.64,9.68,9.51,9.54,1015.35
2020-07-15 16:00:00,9.5,9.54,9.37,9.45,9037.75
2020-07-15 20:00:00,9.45,9.59,9.45,9.56,4671.29
2020-07-16 00:00:00,9.56,9.62,9.49,9.54,95.11
2020-07-16 04:00:00,9.51,9.55,8.65,8.87,16484.53
2020-07-16 08:00:00,8.92,8.96,8.68,8.8,13024.16
2020-07-16 12:00:00,8.83,8.96,8.83,8.93,13283.06
2020-07-16 16:00:00,8.93,9.08,8.88,8.88,1419.18
2020-07-16 20:00:00,8.88,9.04,8.84,9.04,4130.73
2020-07-17 00:00:00,8.98,9.05,8.91,8.93,2196.96
2020-07-17 04:00:00,8.94,9.01,8.84,8.97,4122.87
2020-07-17 08:00:00,8.98,9.01,8.84,8.84,6276.41
2020-07-17 12:00:00,8.97,9.08,8.91,8.95,4333.37
2020-07-17 16:00:00,8.99,8.99,8.91,8.93,191.51
2020-07-17 20:00:00,8.98,8.98,8.89,8.91,433.46
2020-07-18 00:00:00,8.9,8.94,8.87,8.94,964.75
2020-07-18 04:00:00,8.94,8.96,8.9,8.94,1713.71
2020-07-18 08:00:00,8.96,9.15,8.92,9.1,3083.37
2020-07-18 12:00:00,9.15,9.15,9.04,9.12,5835.95
2020-07-18 16:00:00,9.05,9.29,9.05,9.14,2263.14
2020-07-18 20:00:00,9.15,9.23,9.15,9.16,263.39
2020-07-19 00:00:00,9.18,9.21,9.1,9.13,420.03
2020-07-19 04:00:00,9.08,9.14,8.98,9.06,833.09
2020-07-19 08:00:00,9.09,9.09,8.96,9.02,2548.1
2020-07-19 12:00:00,8.99,9.03,8.99,9.0,410.65
2020-07-19 16:00:00,9.0,9.14,9.0,9.11,909.41
2020-07-19 20:00:00,9.14,9.57,9.14,9.54,4012.18
2020-07-20 00:00:00,9.52,9.57,9.42,9.49,1343.71
2020-07-20 04:00:00,9.46,9.51,9.4,9.46,8346.23
2020-07-20 08:00:00,9.47,9.54,9.33,9.37,1078.38
2020-07-20 12:00:00,9.4,9.43,9.32,9.4,1163.25
2020-07-20 16:00:00,9.39,9.48,9.06,9.1,3757.17
2020-07-20 20:00:00,9.16,9.26,9.16,9.2,190.37
2020-07-21 00:00:00,9.24,9.32,9.24,9.32,781.51
2020-07-21 04:00:00,9.32,9.84,9.32,9.75,3667.65
2020-07-21 08:00:00,9.77,9.95,9.7,9.89,14040.87
2020-07-21 12:00:00,9.92,10.11,9.88,9.94,12086.52
2020-07-21 16:00:00,9.94,10.32,9.91,10.12,7195.5
2020-07-21 20:00:00,10.14,10.2,9.99,10.19,3179.72
2020-07-22 00:00:00,10.15,10.15,9.91,10.01,2382.64
2020-07-22 04:00:00,9.99,10.06,9.74,9.81,8237.11
2020-07-22 08:00:00,9.84,10.0,9.8,9.99,648.56
2020-07-22 12:00:00,10.0,10.12,9.85,10.04,2985.79
2020-07-22 16:00:00,10.06,10.21,9.96,10.17,5675.64
2020-07-22 20:00:00,10.16,12.95,10.11,12.28,208999.45
2020-07-23 00:00:00,12.27,12.5,12.11,12.21,34561.95
2020-07-23 04:00:00,12.17,12.26,11.83,12.1,9183.91
2020-07-23 08:00:00,12.07,12.33,12.04,12.31,12948.83
2020-07-23 12:00:00,12.33,12.87,11.99,12.73,49849.5
2020-07-23 16:00:00,12.72,13.97,12.72,13.39,76690.05
2020-07-23 20:00:00,13.38,13.52,13.05,13.41,18760.61
2020-07-24 00:00:00,13.42,13.47,13.16,13.23,10957.47
2020-07-24 04:00:00,13.2,13.29,12.68,12.94,15649.96
2020-07-24 08:00:00,12.98,13.57,12.86,13.41,16504.24
2020-07-24 12:00:00,13.4,13.85,13.08,13.7,30220.1
2020-07-24 16:00:00,13.79,14.47,13.31,14.28,30228.4
2020-07-24 20:00:00,14.33,14.85,13.63,13.85,32952.36
2020-07-25 00:00:00,13.88,14.5,13.88,14.35,23656.07
2020-07-25 04:00:00,14.32,14.66,14.19,14.35,7693.53
2020-07-25 08:00:00,14.35,14.57,14.14,14.29,3446.11
2020-07-25 12:00:00,14.29,14.95,14.28,14.72,28610.43
2020-07-25 16:00:00,14.72,15.93,14.5,15.86,41395.26
2020-07-25 20:00:00,15.89,17.49,15.84,16.94,43821.42
2020-07-26 00:00:00,16.94,16.94,16.37,16.76,13000.28
2020-07-26 04:00:00,16.74,17.93,16.59,17.8,17772.34
2020-07-26 08:00:00,17.89,19.0,16.47,17.31,100991.19
2020-07-26 12:00:00,17.36,17.94,15.98,17.5,44901.09
2020-07-26 16:00:00,17.6,17.99,16.58,17.0,24906.66
2020-07-26 20:00:00,16.92,17.87,16.88,17.54,10373.25
2020-07-27 00:00:00,17.61,19.83,17.53,19.28,73089.8
2020-07-27 04:00:00,19.41,19.64,18.61,18.62,37911.99
2020-07-27 08:00:00,18.61,19.45,18.25,19.27,25167.67
2020-07-27 12:00:00,19.39,19.55,17.52,17.67,65866.45
2020-07-27 16:00:00,17.78,19.34,17.78,19.18,66958.63
2020-07-27 20:00:00,19.18,20.53,18.03,18.83,91317.56
2020-07-28 00:00:00,18.87,19.55,18.24,18.61,22299.48
2020-07-28 04:00:00,18.66,18.75,17.89,17.92,22828.07
2020-07-28 08:00:00,18.1,18.28,16.72,18.16,46477.31
