Date,Open,High,Low,Close,Volume
2020-07-20 12:00:00,1.248,2.7926,1.0174,1.2589,55182.26
2020-07-20 16:00:00,1.2572,1.259,1.2564,1.258,27872.9
2020-07-20 20:00:00,1.2577,1.2595,1.2574,1.2586,12958.26
2020-07-21 00:00:00,1.2597,1.2598,1.2587,1.2587,10918.73
2020-07-21 04:00:00,1.2577,1.264,1.2573,1.26,12848.42
2020-07-21 08:00:00,1.2611,1.263,1.2602,1.2614,51253.29
2020-07-21 12:00:00,1.2609,1.2677,1.2605,1.2677,47901.27
2020-07-21 16:00:00,1.2656,1.2689,1.2651,1.2661,29716.32
2020-07-21 20:00:00,1.2651,1.266,1.263,1.266,5236.83
2020-07-22 00:00:00,1.2663,1.2666,1.2635,1.2656,1513.47
2020-07-22 04:00:00,1.2656,1.2657,1.2592,1.2603,13327.05
2020-07-22 08:00:00,1.2602,1.263,1.2574,1.2619,25788.42
2020-07-22 12:00:00,1.2626,1.266,1.2588,1.2656,70054.08
2020-07-22 16:00:00,1.2656,1.2668,1.2644,1.2659,20793.42
2020-07-22 20:00:00,1.2659,1.2675,1.2632,1.2646,35556.13
2020-07-23 00:00:00,1.2646,1.265,1.2629,1.2631,24305.15
2020-07-23 04:00:00,1.264,1.2661,1.2615,1.2642,36609.05
2020-07-23 08:00:00,1.2637,1.2657,1.2599,1.261,47462.89
2020-07-23 12:00:00,1.2624,1.2656,1.2573,1.2656,66152.26
2020-07-23 16:00:00,1.2657,1.2687,1.2643,1.2662,31488.09
2020-07-23 20:00:00,1.2648,1.2662,1.2636,1.2642,22890.32
2020-07-24 00:00:00,1.2642,1.2675,1.264,1.2665,12282.33
2020-07-24 04:00:00,1.2661,1.2664,1.2632,1.2653,9262.7
2020-07-24 08:00:00,1.2644,1.2669,1.261,1.2663,74052.89
2020-07-24 12:00:00,1.2666,1.2709,1.2659,1.2697,42507.29
2020-07-24 16:00:00,1.2697,1.272,1.2689,1.2706,23655.23
2020-07-24 20:00:00,1.2702,1.2719,1.2698,1.2705,14757.27
2020-07-25 00:00:00,1.2703,1.2716,1.27,1.2711,3941.08
2020-07-25 04:00:00,1.2716,1.2718,1.2704,1.2704,5568.8
2020-07-25 08:00:00,1.2707,1.2718,1.2697,1.2697,19419.01
2020-07-25 12:00:00,1.2705,1.2716,1.269,1.2704,64772.31
2020-07-25 16:00:00,1.2701,1.2712,1.2694,1.27,38548.32
2020-07-25 20:00:00,1.27,1.2715,1.269,1.2711,42563.97
2020-07-26 00:00:00,1.271,1.2717,1.2702,1.2706,13774.57
2020-07-26 04:00:00,1.2707,1.2728,1.2699,1.2721,24497.43
2020-07-26 08:00:00,1.2711,1.2734,1.2672,1.2715,191898.51
2020-07-26 12:00:00,1.2715,1.2721,1.2703,1.2707,25276.85
2020-07-26 16:00:00,1.2703,1.2732,1.2703,1.271,37609.99
2020-07-26 20:00:00,1.2713,1.2733,1.2696,1.2705,71619.46
2020-07-27 00:00:00,1.271,1.2764,1.271,1.275,46733.94
2020-07-27 04:00:00,1.274,1.2761,1.2731,1.2733,34826.55
2020-07-27 08:00:00,1.2742,1.2795,1.2742,1.2772,99726.43
2020-07-27 12:00:00,1.2772,1.2812,1.2753,1.28,112748.03
2020-07-27 16:00:00,1.2797,1.2812,1.2776,1.2784,73031.92
2020-07-27 20:00:00,1.2786,1.2832,1.2778,1.2793,90392.37
2020-07-28 00:00:00,1.2802,1.2815,1.2766,1.2769,33861.8
2020-07-28 04:00:00,1.2766,1.279,1.2751,1.2763,16936.25
2020-07-28 08:00:00,1.2767,1.2808,1.2763,1.2792,114077.1
2020-07-28 12:00:00,1.2777,1.2858,1.2759,1.284,96313.13
2020-07-28 16:00:00,1.2836,1.2864,1.2836,1.2849,42954.74
2020-07-28 20:00:00,1.2845,1.285,1.2822,1.2837,50422.21
2020-07-29 00:00:00,1.2831,1.2862,1.2818,1.2862,17421.59
2020-07-29 04:00:00,1.2844,1.2886,1.2615,1.2883,38864.56
2020-07-29 08:00:00,1.2883,1.2904,1.2853,1.2888,110218.94
2020-07-29 12:00:00,1.2888,1.2918,1.287,1.2892,46371.58
2020-07-29 16:00:00,1.2882,1.2914,1.2871,1.2895,38019.19
2020-07-29 20:00:00,1.2898,1.2914,1.2894,1.2899,55970.14
2020-07-30 00:00:00,1.289,1.2914,1.2887,1.2896,3423.82
2020-07-30 04:00:00,1.2894,1.2902,1.2863,1.2902,19298.49
2020-07-30 08:00:00,1.2907,1.2954,1.2892,1.2954,124408.53
2020-07-30 12:00:00,1.295,1.2985,1.2934,1.295,55753.67
2020-07-30 16:00:00,1.2955,1.3015,1.2955,1.2991,76964.85
2020-07-30 20:00:00,1.3005,1.3027,1.2979,1.3027,8044.81
2020-07-31 00:00:00,1.3033,1.306,1.3028,1.306,12480.24
2020-07-31 04:00:00,1.3034,1.306,1.3027,1.3045,21871.03
2020-07-31 08:00:00,1.3045,1.3062,1.3022,1.3052,25454.27
2020-07-31 12:00:00,1.3067,1.3071,1.3011,1.3037,20582.46
2020-07-31 16:00:00,1.3035,1.3044,1.2996,1.2999,20150.6
2020-07-31 20:00:00,1.2992,1.3014,1.2973,1.3004,19290.16
2020-08-01 00:00:00,1.2993,1.3019,1.2993,1.3001,4200.98
2020-08-01 04:00:00,1.3004,1.3023,1.2998,1.3008,25367.23
2020-08-01 08:00:00,1.3011,1.3016,1.2993,1.3003,50605.88
2020-08-01 12:00:00,1.3013,1.3016,1.2989,1.3001,18889.82
2020-08-01 16:00:00,1.2995,1.3007,1.2977,1.2988,50120.2
2020-08-01 20:00:00,1.2989,1.3019,1.2978,1.301,46535.85
2020-08-02 00:00:00,1.301,1.3032,1.3,1.302,35887.07
