Date,Open,High,Low,Close,Volume
2021-03-18 12:00:00,0.085,1.0,0.085,0.2246,1248126815.88
2021-03-18 16:00:00,0.2246,0.231,0.191,0.1953,278801703.51
2021-03-18 20:00:00,0.1953,0.2133,0.1842,0.2054,147591713.93
2021-03-19 00:00:00,0.2054,0.2057,0.1855,0.1965,71252192.04
2021-03-19 04:00:00,0.1963,0.205,0.1847,0.1891,83375751.54
2021-03-19 08:00:00,0.1891,0.1953,0.1869,0.1908,62007590.94
2021-03-19 12:00:00,0.1908,0.1915,0.1725,0.176,98677188.46
2021-03-19 16:00:00,0.176,0.1776,0.1666,0.1737,65048254.39
2021-03-19 20:00:00,0.1736,0.1738,0.1665,0.1685,35817158.5
2021-03-20 00:00:00,0.1684,0.1697,0.1527,0.1531,70167309.69
2021-03-20 04:00:00,0.1532,0.1635,0.1526,0.1633,46898136.25
2021-03-20 08:00:00,0.1633,0.1777,0.162,0.1714,78299371.18
2021-03-20 12:00:00,0.1714,0.1731,0.1606,0.1707,41907867.42
2021-03-20 16:00:00,0.1707,0.175,0.166,0.1681,43282318.52
2021-03-20 20:00:00,0.1682,0.1684,0.155,0.1559,36397214.84
2021-03-21 00:00:00,0.156,0.1663,0.1546,0.1617,42294577.12
2021-03-21 04:00:00,0.1616,0.175,0.1583,0.1746,77172719.91
2021-03-21 08:00:00,0.1745,0.18,0.1621,0.1656,81560658.95
2021-03-21 12:00:00,0.1656,0.1734,0.1603,0.1655,49181806.81
2021-03-21 16:00:00,0.1654,0.1689,0.1647,0.1653,31124544.39
2021-03-21 20:00:00,0.1652,0.171,0.1622,0.1692,29964220.3
2021-03-22 00:00:00,0.1695,0.1698,0.16,0.163,35313738.89
2021-03-22 04:00:00,0.1628,0.1647,0.1606,0.1613,24508867.96
2021-03-22 08:00:00,0.1613,0.1622,0.158,0.16,32537428.67
2021-03-22 12:00:00,0.1599,0.1611,0.1551,0.1587,28847216.83
2021-03-22 16:00:00,0.1587,0.1604,0.1458,0.1479,55024440.56
2021-03-22 20:00:00,0.1478,0.1494,0.1313,0.1409,57594526.1
