Date,Open,High,Low,Close,Volume
2020-07-16 08:00:00,10.0,11.28,10.0,10.75,19603.05
2020-07-16 12:00:00,10.8,11.35,9.24,9.42,20124.42
2020-07-16 16:00:00,9.38,9.92,8.8,9.83,16169.18
2020-07-16 20:00:00,9.8,10.61,9.59,10.14,23480.5
2020-07-17 00:00:00,10.03,10.35,9.78,10.16,8548.0
2020-07-17 04:00:00,10.14,10.55,9.42,9.94,26230.0
2020-07-17 08:00:00,9.97,10.16,9.65,9.72,8199.66
2020-07-17 12:00:00,9.69,10.03,9.26,9.96,19421.88
2020-07-17 16:00:00,9.94,10.28,9.84,9.98,13979.9
2020-07-17 20:00:00,10.03,10.19,9.76,10.12,10080.63
2020-07-18 00:00:00,10.22,12.25,10.19,11.39,37882.19
2020-07-18 04:00:00,11.59,11.75,10.95,11.06,10534.51
2020-07-18 08:00:00,11.11,11.3,10.42,11.3,13118.38
2020-07-18 12:00:00,11.3,11.48,11.0,11.16,7886.99
2020-07-18 16:00:00,11.1,11.1,10.07,10.63,22685.61
2020-07-18 20:00:00,10.49,11.17,10.49,10.86,11190.13
2020-07-19 00:00:00,11.0,11.46,10.62,11.25,17503.28
2020-07-19 04:00:00,11.34,11.42,10.83,10.95,11435.87
2020-07-19 08:00:00,10.97,11.45,10.88,11.37,7621.18
2020-07-19 12:00:00,11.4,11.54,11.17,11.35,14538.88
2020-07-19 16:00:00,11.38,11.42,11.0,11.17,7940.96
2020-07-19 20:00:00,11.12,11.17,10.25,10.6,18099.38
2020-07-20 00:00:00,10.63,10.95,10.58,10.58,6582.74
2020-07-20 04:00:00,10.57,10.81,10.43,10.66,3993.53
2020-07-20 08:00:00,10.67,11.33,10.6,11.27,5149.92
2020-07-20 12:00:00,11.29,11.6,11.08,11.36,10735.65
2020-07-20 16:00:00,11.33,14.0,11.33,13.11,27818.85
2020-07-20 20:00:00,13.07,13.67,12.3,13.54,17047.92
2020-07-21 00:00:00,13.84,13.84,12.79,12.89,16028.03
2020-07-21 04:00:00,12.84,13.16,12.46,12.63,17644.32
2020-07-21 08:00:00,12.54,12.86,11.75,12.12,9575.39
2020-07-21 12:00:00,12.18,13.75,12.05,12.9,13568.21
2020-07-21 16:00:00,12.92,14.83,12.92,13.95,20140.29
2020-07-21 20:00:00,14.08,14.27,13.07,13.12,13739.56
2020-07-22 00:00:00,13.09,13.79,12.99,13.56,7411.75
2020-07-22 04:00:00,13.56,13.94,13.26,13.71,7205.94
2020-07-22 08:00:00,13.75,13.81,12.66,12.89,15765.23
2020-07-22 12:00:00,12.75,12.75,11.7,12.17,20370.97
2020-07-22 16:00:00,12.15,12.96,11.99,12.67,9824.19
2020-07-22 20:00:00,12.65,12.72,11.91,12.21,16230.1
2020-07-23 00:00:00,12.24,12.43,11.0,11.35,21176.6
2020-07-23 04:00:00,11.35,11.6,11.09,11.21,14037.92
2020-07-23 08:00:00,11.14,11.18,10.18,10.4,34573.28
2020-07-23 12:00:00,10.46,10.83,10.08,10.2,32090.62
2020-07-23 16:00:00,10.2,10.92,10.04,10.6,48288.28
2020-07-23 20:00:00,10.66,11.18,10.36,10.5,19121.92
2020-07-24 00:00:00,10.5,11.2,10.5,11.13,17894.74
2020-07-24 04:00:00,11.1,11.39,10.91,11.16,10718.21
2020-07-24 08:00:00,11.22,11.64,10.86,11.08,10100.48
2020-07-24 12:00:00,11.09,12.03,11.0,11.64,22297.81
2020-07-24 16:00:00,11.72,12.5,11.64,11.79,26952.99
2020-07-24 20:00:00,11.79,12.71,11.67,12.51,14325.25
2020-07-25 00:00:00,12.56,12.76,11.0,11.4,20197.05
2020-07-25 04:00:00,11.44,11.61,11.15,11.58,2133.57
2020-07-25 08:00:00,11.55,12.0,11.43,11.6,3447.24
2020-07-25 12:00:00,11.64,11.96,11.44,11.61,7530.04
2020-07-25 16:00:00,11.77,11.77,10.66,11.1,18233.46
2020-07-25 20:00:00,11.01,11.42,10.86,11.03,10126.39
2020-07-26 00:00:00,11.14,11.31,10.95,10.95,2437.04
2020-07-26 04:00:00,10.91,10.91,10.05,10.48,19047.25
2020-07-26 08:00:00,10.44,13.51,10.33,12.1,74132.35
2020-07-26 12:00:00,12.12,12.32,11.61,12.08,20696.1
2020-07-26 16:00:00,12.16,12.51,11.8,12.05,15122.99
2020-07-26 20:00:00,12.1,12.1,11.36,11.72,7267.98
2020-07-27 00:00:00,11.85,13.56,11.85,12.99,38886.01
2020-07-27 04:00:00,13.03,13.3,12.44,13.01,14867.7
2020-07-27 08:00:00,12.95,13.25,12.47,13.06,12950.68
2020-07-27 12:00:00,13.01,16.88,12.85,14.28,63591.03
2020-07-27 16:00:00,14.39,15.87,11.88,12.59,101919.55
2020-07-27 20:00:00,12.61,14.03,11.83,12.38,91053.66
2020-07-28 00:00:00,13.0,13.32,12.03,12.49,25852.43
2020-07-28 04:00:00,12.41,12.67,11.08,11.39,14332.68
2020-07-28 08:00:00,11.46,13.15,11.25,12.62,45977.83
2020-07-28 12:00:00,12.57,12.72,11.65,11.76,17412.76
2020-07-28 16:00:00,11.64,12.36,11.57,12.15,23447.76
2020-07-28 20:00:00,12.02,12.43,11.81,11.93,5027.91
2020-07-29 00:00:00,11.92,11.92,10.91,11.65,21859.76
2020-07-29 04:00:00,11.6,11.88,11.07,11.07,36582.39
2020-07-29 08:00:00,11.1,11.6,11.01,11.42,6490.67
2020-07-29 12:00:00,11.49,12.0,11.49,11.77,6476.47
2020-07-29 16:00:00,11.89,12.17,11.57,11.76,4385.26
2020-07-29 20:00:00,11.83,12.02,11.59,11.76,1393.34
2020-07-30 00:00:00,11.84,12.09,11.36,11.4,4253.17
2020-07-30 04:00:00,11.4,11.74,11.4,11.72,3372.5
2020-07-30 08:00:00,11.74,11.74,10.95,11.21,5040.17
2020-07-30 12:00:00,11.24,11.45,11.03,11.1,11002.77
2020-07-30 16:00:00,11.09,11.09,10.31,10.5,27291.17
2020-07-30 20:00:00,10.5,11.03,10.46,10.59,21925.12
2020-07-31 00:00:00,10.56,10.58,9.64,9.95,33026.7
2020-07-31 04:00:00,9.93,10.1,9.52,9.92,17073.87
2020-07-31 08:00:00,9.84,9.98,9.4,9.92,45683.44
2020-07-31 12:00:00,9.97,10.28,9.76,10.28,17025.75
2020-07-31 16:00:00,10.22,10.5,9.81,9.81,9128.24
2020-07-31 20:00:00,9.8,9.99,9.54,9.54,12137.11
2020-08-01 00:00:00,9.54,9.78,9.35,9.7,10464.54
2020-08-01 04:00:00,9.59,9.82,9.25,9.52,10887.48
2020-08-01 08:00:00,9.46,9.86,9.29,9.64,12982.31
2020-08-01 12:00:00,9.65,10.04,9.6,9.6,8105.29
2020-08-01 16:00:00,9.57,9.81,9.4,9.55,11569.35
2020-08-01 20:00:00,9.45,9.6,7.76,7.95,56789.72
2020-08-02 00:00:00,8.06,8.32,7.91,8.02,18710.37
2020-08-02 04:00:00,8.0,15.97,7.2,7.35,259177.18
2020-08-02 08:00:00,7.47,8.14,6.51,7.3,293924.81
2020-08-02 12:00:00,7.31,7.71,6.57,6.78,206651.94
2020-08-02 16:00:00,6.76,7.25,6.53,6.71,121349.74
2020-08-02 20:00:00,6.7,7.28,6.47,6.99,157469.92
2020-08-03 00:00:00,6.96,7.24,6.59,6.87,51932.24
2020-08-03 04:00:00,6.86,7.07,6.57,6.67,54495.22
2020-08-03 08:00:00,6.67,6.95,6.36,6.41,95067.48
2020-08-03 12:00:00,6.43,6.63,6.21,6.47,69092.66
2020-08-03 16:00:00,6.47,6.63,6.32,6.44,33739.4
2020-08-03 20:00:00,6.48,6.49,5.45,5.48,141720.87
2020-08-04 00:00:00,5.49,5.66,5.3,5.45,131827.9
2020-08-04 04:00:00,5.45,5.6,5.09,5.34,111453.82
2020-08-04 08:00:00,5.35,5.4,4.86,5.21,289242.39
2020-08-04 12:00:00,5.18,5.34,4.94,4.94,166124.95
2020-08-04 16:00:00,4.93,5.23,4.92,5.19,120019.58
2020-08-04 20:00:00,5.19,5.19,4.64,4.69,182981.23
2020-08-05 00:00:00,4.68,4.99,4.68,4.83,131810.14
2020-08-05 04:00:00,4.83,5.21,4.82,5.01,90044.3
2020-08-05 08:00:00,5.03,5.1,4.79,4.92,75584.14
2020-08-05 12:00:00,4.94,5.2,4.94,5.08,98218.3
2020-08-05 16:00:00,5.08,5.14,4.85,4.97,52725.76
2020-08-05 20:00:00,4.96,5.23,4.88,4.96,101750.13
2020-08-06 00:00:00,5.0,5.05,4.59,4.73,129586.26
2020-08-06 04:00:00,4.74,4.9,4.7,4.85,54914.81
2020-08-06 08:00:00,4.86,4.98,4.76,4.76,42090.73
2020-08-06 12:00:00,4.76,4.93,4.73,4.73,82443.81
2020-08-06 16:00:00,4.74,4.88,4.71,4.81,36267.72
2020-08-06 20:00:00,4.8,5.08,4.13,4.19,126029.41
2020-08-07 00:00:00,4.18,4.44,4.17,4.41,67122.5
2020-08-07 04:00:00,4.42,4.48,4.32,4.34,57949.61
2020-08-07 08:00:00,4.33,4.44,4.25,4.37,74732.49
2020-08-07 12:00:00,4.37,4.51,4.27,4.41,136251.34
2020-08-07 16:00:00,4.39,5.24,4.37,4.39,302923.39
2020-08-07 20:00:00,4.39,4.5,4.15,4.16,91594.4
2020-08-08 00:00:00,4.18,4.3,3.77,3.84,163054.1
2020-08-08 04:00:00,3.83,3.86,3.47,3.6,216227.36
2020-08-08 08:00:00,3.6,3.7,3.47,3.51,133740.57
2020-08-08 12:00:00,3.51,3.55,3.33,3.37,244799.6
2020-08-08 16:00:00,3.36,3.36,1.7,1.97,3098488.97
2020-08-08 20:00:00,1.96,2.34,1.92,2.16,2032388.34
2020-08-09 00:00:00,2.17,2.49,2.09,2.12,1342689.53
2020-08-09 04:00:00,2.11,2.28,2.03,2.16,653083.84
2020-08-09 08:00:00,2.16,2.22,1.7,1.77,1878637.1
2020-08-09 12:00:00,1.78,2.27,1.76,1.89,2482336.75
2020-08-09 16:00:00,1.88,1.93,1.37,1.5,4061705.94
2020-08-09 20:00:00,1.5,1.58,1.39,1.54,1409115.4
2020-08-10 00:00:00,1.54,1.92,1.48,1.65,2612278.82
2020-08-10 04:00:00,1.65,1.71,1.25,1.42,1861294.75
2020-08-10 08:00:00,1.42,1.67,1.21,1.3,2616671.29
2020-08-10 12:00:00,1.3,1.39,1.28,1.32,1475515.96
2020-08-10 16:00:00,1.31,1.47,1.29,1.46,1621559.93
2020-08-10 20:00:00,1.46,1.57,1.32,1.36,1955143.86
2020-08-11 00:00:00,1.36,1.48,1.33,1.44,1057609.25
2020-08-11 04:00:00,1.44,1.53,1.36,1.46,1137199.39
2020-08-11 08:00:00,1.46,1.63,1.43,1.54,1845175.89
2020-08-11 12:00:00,1.55,1.78,1.54,1.6,2856874.05
2020-08-11 16:00:00,1.6,1.63,1.35,1.56,2335246.61
2020-08-11 20:00:00,1.57,1.68,1.39,1.46,2363514.64
2020-08-12 00:00:00,1.46,1.58,1.44,1.49,1047663.29
2020-08-12 04:00:00,1.48,1.54,1.22,1.28,1990095.69
2020-08-12 08:00:00,1.28,1.33,1.17,1.21,1777316.47
2020-08-12 12:00:00,1.21,1.24,0.82,0.87,6387383.78
2020-08-12 16:00:00,0.87,0.94,0.76,0.89,5087262.23
2020-08-12 20:00:00,0.88,0.89,0.64,0.68,4155974.55
2020-08-13 00:00:00,0.68,0.72,0.62,0.66,4355543.19
2020-08-13 04:00:00,0.67,0.71,0.552,0.588,5926885.48
2020-08-13 08:00:00,0.588,0.728,0.572,0.622,8220456.25
2020-08-13 12:00:00,0.624,0.68,0.592,0.621,5238250.78
2020-08-13 16:00:00,0.622,0.657,0.47,0.493,8535746.3
2020-08-13 20:00:00,0.495,0.592,0.442,0.508,8487665.84
2020-08-14 00:00:00,0.507,0.542,0.487,0.516,2785704.95
2020-08-14 04:00:00,0.516,0.537,0.473,0.53,2114638.86
2020-08-14 08:00:00,0.53,0.552,0.501,0.518,1714478.13
2020-08-14 12:00:00,0.517,0.585,0.5,0.527,4495517.42
2020-08-14 16:00:00,0.528,0.561,0.512,0.549,2603766.55
2020-08-14 20:00:00,0.547,0.565,0.516,0.527,1707605.48
2020-08-15 00:00:00,0.525,0.561,0.487,0.552,2064409.86
2020-08-15 04:00:00,0.552,0.562,0.521,0.536,1206767.94
2020-08-15 08:00:00,0.537,0.546,0.455,0.468,3332377.47
2020-08-15 12:00:00,0.47,0.48,0.264,0.372,14029821.86
2020-08-15 16:00:00,0.371,0.386,0.315,0.328,6575613.6
2020-08-15 20:00:00,0.328,0.386,0.322,0.338,5125253.61
2020-08-16 00:00:00,0.337,0.364,0.328,0.357,2677021.09
