Date,Open,High,Low,Close,Volume
2020-07-16 08:00:00,8.75,9.15,8.61,8.91,13654.89
2020-07-16 12:00:00,8.88,10.3,8.48,10.26,6839.89
2020-07-16 16:00:00,10.29,10.8,9.48,9.61,14059.78
2020-07-16 20:00:00,9.59,9.78,8.77,9.26,9423.12
2020-07-17 00:00:00,9.29,9.52,9.01,9.16,4834.48
2020-07-17 04:00:00,9.22,9.68,8.87,9.2,12350.37
2020-07-17 08:00:00,9.2,9.51,9.05,9.42,4888.15
2020-07-17 12:00:00,9.43,9.85,9.17,9.2,14420.64
2020-07-17 16:00:00,9.2,9.34,8.87,9.16,9260.91
2020-07-17 20:00:00,9.17,9.43,8.96,8.98,8942.44
2020-07-18 00:00:00,8.93,8.93,7.32,7.85,33809.76
2020-07-18 04:00:00,7.79,8.2,7.66,8.03,18028.32
2020-07-18 08:00:00,8.11,8.62,7.97,7.97,11453.06
2020-07-18 12:00:00,7.97,8.16,7.79,8.08,17037.81
2020-07-18 16:00:00,8.15,8.86,8.15,8.38,24764.13
2020-07-18 20:00:00,8.42,8.5,7.93,8.19,9298.94
2020-07-19 00:00:00,8.1,8.39,7.75,7.85,23131.82
2020-07-19 04:00:00,7.8,8.2,7.76,8.1,12268.18
2020-07-19 08:00:00,8.1,8.16,7.75,7.84,11805.24
2020-07-19 12:00:00,7.79,7.93,7.65,7.83,11901.89
2020-07-19 16:00:00,7.77,8.09,7.77,8.02,8553.82
2020-07-19 20:00:00,8.04,8.79,7.99,8.47,22629.74
2020-07-20 00:00:00,8.5,8.5,8.2,8.46,4383.04
2020-07-20 04:00:00,8.58,8.67,8.27,8.4,7422.59
2020-07-20 08:00:00,8.4,8.46,7.84,7.94,10066.16
2020-07-20 12:00:00,7.89,8.07,7.63,7.85,21116.64
2020-07-20 16:00:00,7.84,7.86,5.85,6.63,75753.13
2020-07-20 20:00:00,6.54,7.05,6.11,6.16,40964.56
2020-07-21 00:00:00,6.14,6.61,6.0,6.56,29912.33
2020-07-21 04:00:00,6.56,6.89,6.43,6.72,24134.26
2020-07-21 08:00:00,6.7,7.3,6.59,7.15,31459.85
2020-07-21 12:00:00,7.14,7.14,5.93,6.45,48639.81
2020-07-21 16:00:00,6.48,6.48,5.35,5.71,45240.69
2020-07-21 20:00:00,5.7,6.11,5.55,6.11,49263.95
2020-07-22 00:00:00,6.12,6.13,5.76,5.92,20372.85
2020-07-22 04:00:00,5.89,6.04,5.68,5.79,26412.85
2020-07-22 08:00:00,5.79,6.3,5.74,6.16,37662.62
2020-07-22 12:00:00,6.15,6.7,6.15,6.49,36999.34
2020-07-22 16:00:00,6.5,6.55,6.13,6.23,11330.44
2020-07-22 20:00:00,6.27,6.62,6.21,6.47,39629.05
2020-07-23 00:00:00,6.47,7.04,6.37,6.83,55304.46
2020-07-23 04:00:00,6.81,7.2,6.69,6.96,24814.28
2020-07-23 08:00:00,6.99,7.5,6.91,7.39,59859.12
2020-07-23 12:00:00,7.38,7.56,7.12,7.53,27415.92
2020-07-23 16:00:00,7.54,7.63,6.84,6.94,43705.97
2020-07-23 20:00:00,6.89,7.02,6.61,6.9,13923.74
2020-07-24 00:00:00,6.98,7.0,6.61,6.62,6850.98
2020-07-24 04:00:00,6.61,6.72,6.49,6.57,11734.31
2020-07-24 08:00:00,6.64,6.75,6.38,6.65,15224.2
2020-07-24 12:00:00,6.65,6.73,6.0,6.37,33671.85
2020-07-24 16:00:00,6.37,6.37,5.96,6.23,49335.07
2020-07-24 20:00:00,6.23,6.32,5.88,5.97,20697.64
2020-07-25 00:00:00,5.96,6.64,5.84,6.47,54253.81
2020-07-25 04:00:00,6.51,6.55,6.32,6.33,16023.73
2020-07-25 08:00:00,6.33,6.42,6.12,6.34,9522.14
2020-07-25 12:00:00,6.36,6.4,6.18,6.32,10780.63
2020-07-25 16:00:00,6.3,6.76,6.25,6.53,21248.28
2020-07-25 20:00:00,6.53,6.59,6.34,6.52,18827.3
2020-07-26 00:00:00,6.48,6.56,6.36,6.56,7735.1
2020-07-26 04:00:00,6.57,7.06,6.57,6.82,43554.82
2020-07-26 08:00:00,6.82,6.91,5.41,5.97,138871.34
2020-07-26 12:00:00,5.98,6.18,5.9,5.94,44057.52
2020-07-26 16:00:00,5.93,6.08,5.79,5.97,26106.46
2020-07-26 20:00:00,5.96,6.35,5.94,6.17,25423.11
2020-07-27 00:00:00,6.13,6.13,5.34,5.57,79767.98
2020-07-27 04:00:00,5.56,5.74,5.44,5.56,84737.51
2020-07-27 08:00:00,5.59,5.69,5.47,5.56,32293.16
2020-07-27 12:00:00,5.56,5.6,4.35,4.94,225949.32
2020-07-27 16:00:00,4.93,5.63,4.55,5.4,199274.28
2020-07-27 20:00:00,5.42,5.62,4.98,5.39,122432.65
2020-07-28 00:00:00,5.37,5.57,5.08,5.4,110332.2
2020-07-28 04:00:00,5.42,5.9,5.33,5.78,96306.52
2020-07-28 08:00:00,5.76,5.87,5.13,5.37,105597.27
2020-07-28 12:00:00,5.4,5.69,5.29,5.67,86645.49
2020-07-28 16:00:00,5.68,5.72,5.44,5.49,25039.97
2020-07-28 20:00:00,5.49,5.65,5.42,5.64,31747.92
2020-07-29 00:00:00,5.64,6.01,5.5,5.62,64251.55
2020-07-29 04:00:00,5.62,5.72,5.01,5.25,38975.0
2020-07-29 08:00:00,5.27,5.37,5.03,5.27,33111.32
2020-07-29 12:00:00,5.3,5.3,5.05,5.14,32511.93
2020-07-29 16:00:00,5.12,5.29,4.96,5.17,42475.51
2020-07-29 20:00:00,5.18,5.28,5.01,5.16,25229.36
2020-07-30 00:00:00,5.15,5.45,5.03,5.32,61495.27
2020-07-30 04:00:00,5.33,5.35,5.17,5.19,10043.02
2020-07-30 08:00:00,5.2,5.59,5.18,5.46,58271.34
2020-07-30 12:00:00,5.48,5.55,5.35,5.48,48705.25
2020-07-30 16:00:00,5.48,5.92,5.43,5.79,79104.5
2020-07-30 20:00:00,5.8,5.83,5.46,5.64,90288.99
