Date,Open,High,Low,Close,Volume
2021-02-04 04:00:00,0.25,18.8264,0.25,3.9761,28206433.43
2021-02-04 08:00:00,3.9761,5.36,3.7,4.4518,12249777.33
2021-02-04 12:00:00,4.4481,4.4481,3.7109,4.1309,6242714.28
2021-02-04 16:00:00,4.1318,4.248,3.3211,3.423,4074278.66
2021-02-04 20:00:00,3.423,3.546,3.02,3.0605,4171034.99
2021-02-05 00:00:00,3.0606,3.85,3.0524,3.319,4666282.44
2021-02-05 04:00:00,3.3041,3.491,3.2,3.26,1941806.0
2021-02-05 08:00:00,3.263,3.4975,3.2401,3.3221,1886850.62
2021-02-05 12:00:00,3.3221,3.4069,3.21,3.242,1414270.47
2021-02-05 16:00:00,3.2421,3.9092,3.242,3.7542,2685730.07
2021-02-05 20:00:00,3.7538,5.9362,3.6206,5.4999,8094264.44
2021-02-06 00:00:00,5.5,5.5572,4.1103,4.73,7530020.35
2021-02-06 04:00:00,4.7215,5.36,4.3889,5.0999,3614860.22
2021-02-06 08:00:00,5.1,7.0889,4.82,6.5701,10058771.18
2021-02-06 12:00:00,6.5779,9.5001,6.045,7.7808,24993892.59
2021-02-06 16:00:00,7.8371,8.8,6.6529,7.1326,10623175.7
2021-02-06 20:00:00,7.1369,8.2889,6.9526,7.3618,6596555.33
2021-02-07 00:00:00,7.3788,8.1,7.1413,7.7289,3665245.38
2021-02-07 04:00:00,7.7293,8.91,7.7,8.0058,5526561.1
2021-02-07 08:00:00,8.0057,9.6686,8.0046,8.9849,8244517.46
2021-02-07 12:00:00,8.991,9.25,7.3246,7.849,7913945.07
2021-02-07 16:00:00,7.8488,8.0959,6.95,7.8617,5043024.03
2021-02-07 20:00:00,7.8612,7.8958,7.0,7.52,2628532.1
2021-02-08 00:00:00,7.5212,7.77,7.051,7.6552,1576146.88
2021-02-08 04:00:00,7.6615,8.5399,7.4588,8.1295,2174044.4
2021-02-08 08:00:00,8.0983,8.289,7.4577,7.7291,2507479.88
2021-02-08 12:00:00,7.7294,7.9689,7.0516,7.1678,2575551.39
2021-02-08 16:00:00,7.1668,7.4732,7.1613,7.2823,1477504.27
2021-02-08 20:00:00,7.2818,7.4323,6.343,6.4693,2888903.53
2021-02-09 00:00:00,6.4613,7.29,6.0444,6.7739,3455503.94
2021-02-09 04:00:00,6.7629,6.92,6.24,6.5813,1738623.68
2021-02-09 08:00:00,6.581,6.8972,6.464,6.6323,1667090.66
2021-02-09 12:00:00,6.6326,7.8011,6.6,7.5,4298501.14
2021-02-09 16:00:00,7.4995,7.5,6.8073,7.1015,2152273.23
2021-02-09 20:00:00,7.1022,7.3874,6.835,7.1701,897493.25
2021-02-10 00:00:00,7.1702,7.7,6.9514,7.6221,1622499.52
2021-02-10 04:00:00,7.6228,7.7,7.18,7.4785,1508597.38
2021-02-10 08:00:00,7.4779,7.5507,7.0258,7.1606,1369112.3
2021-02-10 12:00:00,7.1626,7.189,6.1231,6.45,2422584.21
2021-02-10 16:00:00,6.4274,6.664,6.3,6.61,837680.14
2021-02-10 20:00:00,6.605,6.915,6.3,6.5006,696406.13
2021-02-11 00:00:00,6.5229,6.6715,6.273,6.4811,325266.29
2021-02-11 04:00:00,6.481,7.4,6.48,7.16,1351692.97
2021-02-11 08:00:00,7.159,7.4807,6.88,7.4663,1517009.41
2021-02-11 12:00:00,7.4799,8.4,7.339,8.0187,4327533.29
2021-02-11 16:00:00,8.01,8.4,7.7012,7.839,1654903.22
2021-02-11 20:00:00,7.8391,7.8471,7.21,7.5642,971510.84
2021-02-12 00:00:00,7.5896,7.9,7.1818,7.348,815449.69
2021-02-12 04:00:00,7.3466,7.9,7.2,7.8153,786315.98
2021-02-12 08:00:00,7.8405,8.727,7.6659,8.2383,2398195.11
2021-02-12 12:00:00,8.2286,8.5,7.6786,8.0501,1468988.28
2021-02-12 16:00:00,8.06,8.7654,8.0,8.545,1498242.25
2021-02-12 20:00:00,8.5289,8.7,8.22,8.5666,637462.31
2021-02-13 00:00:00,8.5665,8.635,8.02,8.3479,848015.7
2021-02-13 04:00:00,8.3301,8.35,7.9,7.9,567515.39
2021-02-13 08:00:00,7.901,8.3223,7.7,7.9,950692.25
2021-02-13 12:00:00,7.9004,8.3,7.71,8.0867,633905.27
2021-02-13 16:00:00,8.0867,8.99,7.9201,8.96,1258313.06
2021-02-13 20:00:00,8.9602,10.35,8.7299,9.7521,3704245.79
2021-02-14 00:00:00,9.7521,11.64,9.5555,10.4898,3448074.99
2021-02-14 04:00:00,10.4609,10.99,9.3481,9.9,2170751.66
2021-02-14 08:00:00,9.9,11.3,9.8213,10.605,2379246.57
2021-02-14 12:00:00,10.6265,10.7,9.4909,9.74,1661013.76
2021-02-14 16:00:00,9.732,11.445,9.55,11.1632,2652504.42
2021-02-14 20:00:00,11.1404,12.1483,11.02,11.6995,2490816.84
2021-02-15 00:00:00,11.6985,13.2,9.7,10.5388,4150034.3
2021-02-15 04:00:00,10.5156,12.06,10.4834,11.752,2034383.08
2021-02-15 08:00:00,11.7878,12.661,11.3,11.93,2102743.25
2021-02-15 12:00:00,11.919,12.6,11.3947,11.8401,1634305.0
2021-02-15 16:00:00,11.8699,13.5,11.15,13.4889,2765578.73
2021-02-15 20:00:00,13.4415,14.5,12.5,13.4046,3743733.32
2021-02-16 00:00:00,13.4,14.3333,12.5,13.4897,1786500.79
2021-02-16 04:00:00,13.4891,14.1,12.91,13.71,893867.73
2021-02-16 08:00:00,13.71,14.78,13.684,14.3202,1866517.62
2021-02-16 12:00:00,14.3324,14.55,12.573,12.949,2294906.77
2021-02-16 16:00:00,12.9414,13.3646,11.8132,12.6,2139831.73
2021-02-16 20:00:00,12.6349,12.96,12.12,12.6111,797584.42
2021-02-17 00:00:00,12.6101,12.9825,11.8888,12.0001,801182.06
2021-02-17 04:00:00,12.0183,12.1939,10.8575,11.72,1670980.48
2021-02-17 08:00:00,11.7299,12.72,11.5163,12.1554,1412568.96
2021-02-17 12:00:00,12.1554,12.3099,11.33,11.5923,1191715.74
2021-02-17 16:00:00,11.5923,12.1,10.94,11.4296,1603508.22
2021-02-17 20:00:00,11.4301,11.86,11.09,11.2271,892509.34
2021-02-18 00:00:00,11.2271,12.35,11.2237,12.3324,981912.49
2021-02-18 04:00:00,12.3335,12.35,11.6131,12.0667,938384.51
2021-02-18 08:00:00,12.0667,12.79,11.4085,11.6568,1670810.32
2021-02-18 12:00:00,11.6568,11.97,11.4104,11.6024,1021584.01
2021-02-18 16:00:00,11.6024,11.8,11.22,11.54,744315.53
2021-02-18 20:00:00,11.5398,11.8124,11.2001,11.2602,549214.12
2021-02-19 00:00:00,11.2601,11.4363,10.2354,10.7694,1400237.24
2021-02-19 04:00:00,10.7716,11.3638,10.3366,11.0425,1183992.55
2021-02-19 08:00:00,11.031,11.3428,10.5716,10.989,1138214.2
2021-02-19 12:00:00,10.9811,11.275,10.52,10.628,1215624.76
2021-02-19 16:00:00,10.654,10.8,10.3,10.466,532972.68
2021-02-19 20:00:00,10.466,10.8,10.0,10.2395,847041.13
2021-02-20 00:00:00,10.1957,10.48,9.5666,9.9324,1413347.1
2021-02-20 04:00:00,9.9324,11.5,9.8052,11.3116,1708825.82
2021-02-20 08:00:00,11.3119,12.4,11.1869,11.63,2575842.26
2021-02-20 12:00:00,11.63,11.6583,10.3361,10.5146,1705689.75
2021-02-20 16:00:00,10.5535,11.3999,10.0492,10.9367,1224670.09
