Date,Open,High,Low,Close,Volume
2021-05-28 04:00:00,31.14,33.95,25.98,28.23,154577.06
2021-05-28 08:00:00,28.21,29.99,26.16,26.71,87059.58
2021-05-28 12:00:00,26.71,29.0,26.68,28.02,26092.14
2021-05-28 16:00:00,28.03,28.32,27.12,27.98,19044.02
2021-05-28 20:00:00,27.98,28.31,27.11,27.13,22102.15
2021-05-29 00:00:00,27.13,27.99,27.11,27.68,14507.83
2021-05-29 04:00:00,27.67,27.75,27.04,27.3,23387.35
2021-05-29 08:00:00,27.24,27.28,24.96,25.22,39223.92
2021-05-29 12:00:00,25.26,25.43,22.0,22.45,146676.95
2021-05-29 16:00:00,22.5,23.05,22.2,22.3,51856.11
2021-05-29 20:00:00,22.18,23.7,21.77,23.19,42223.77
2021-05-30 00:00:00,23.21,23.62,22.18,22.72,47685.24
2021-05-30 04:00:00,22.73,24.16,22.69,23.78,36028.48
2021-05-30 08:00:00,23.79,23.79,23.35,23.49,29588.68
2021-05-30 12:00:00,23.49,23.51,23.28,23.36,19610.75
2021-05-30 16:00:00,23.35,23.51,23.33,23.48,8726.54
2021-05-30 20:00:00,23.48,23.51,23.24,23.41,13308.4
2021-05-31 00:00:00,23.4,23.92,22.89,22.89,30854.2
2021-05-31 04:00:00,22.9,23.06,22.38,23.01,29975.19
2021-05-31 08:00:00,23.01,23.81,22.97,23.8,23136.11
2021-05-31 12:00:00,23.8,23.94,23.4,23.6,15516.14
2021-05-31 16:00:00,23.62,23.89,23.6,23.68,15795.53
2021-05-31 20:00:00,23.7,24.44,23.52,24.04,17959.88
2021-06-01 00:00:00,24.07,25.49,23.99,24.02,39848.3
2021-06-01 04:00:00,24.03,24.97,24.02,24.43,21052.33
2021-06-01 08:00:00,24.43,24.46,23.46,23.6,22431.89
2021-06-01 12:00:00,23.6,23.82,23.44,23.67,12750.55
2021-06-01 16:00:00,23.74,24.04,23.32,23.97,25249.7
2021-06-01 20:00:00,24.0,25.41,23.91,25.29,44910.65
2021-06-02 00:00:00,25.32,25.37,24.38,24.97,33795.38
2021-06-02 04:00:00,25.0,25.42,24.94,25.36,13764.73
2021-06-02 08:00:00,25.36,27.59,25.29,27.44,52211.24
2021-06-02 12:00:00,27.45,27.52,26.73,27.45,27178.32
2021-06-02 16:00:00,27.42,27.54,27.21,27.53,9079.5
2021-06-02 20:00:00,27.54,27.83,27.41,27.69,8250.13
2021-06-03 00:00:00,27.66,28.15,27.65,28.05,10765.64
