Date,Open,High,Low,Close,Volume
2021-04-19 08:00:00,7.89,14.55,7.89,9.774,2762888.939
2021-04-19 12:00:00,9.772,10.1,8.801,9.217,1186812.502
2021-04-19 16:00:00,9.2,11.3,8.713,10.347,1850397.373
2021-04-19 20:00:00,10.347,10.75,9.67,9.77,1601546.435
2021-04-20 00:00:00,9.77,9.787,8.88,9.221,405503.753
2021-04-20 04:00:00,9.175,10.15,8.35,8.71,805231.714
2021-04-20 08:00:00,8.703,9.572,8.659,9.385,971345.55
2021-04-20 12:00:00,9.386,9.389,9.038,9.05,221475.545
2021-04-20 16:00:00,9.061,9.213,8.978,9.175,137171.235
2021-04-20 20:00:00,9.175,9.21,8.95,8.982,127907.539
2021-04-21 00:00:00,8.984,9.033,8.84,8.888,108512.945
2021-04-21 04:00:00,8.882,9.751,8.863,9.58,375949.7
2021-04-21 08:00:00,9.58,9.587,9.178,9.302,281866.347
2021-04-21 12:00:00,9.297,9.734,9.288,9.572,215072.213
2021-04-21 16:00:00,9.577,9.655,9.085,9.103,286564.558
2021-04-21 20:00:00,9.099,9.172,8.913,8.913,99426.941
2021-04-22 00:00:00,8.913,10.167,8.84,8.98,226164.48
2021-04-22 04:00:00,8.981,9.55,8.924,9.214,239599.206
2021-04-22 08:00:00,9.214,9.716,9.201,9.714,321448.249
2021-04-22 12:00:00,9.714,9.863,9.564,9.569,208849.152
2021-04-22 16:00:00,9.585,10.4,9.544,9.975,417501.11
2021-04-22 20:00:00,9.974,9.976,9.327,9.338,333721.007
2021-04-23 00:00:00,9.326,9.569,8.846,8.895,317755.819
2021-04-23 04:00:00,8.895,8.944,8.59,8.59,220807.531
2021-04-23 08:00:00,8.613,8.814,8.49,8.787,170451.146
2021-04-23 12:00:00,8.788,8.851,8.659,8.828,108818.156
2021-04-23 16:00:00,8.815,8.969,8.54,8.59,209167.001
2021-04-23 20:00:00,8.613,8.772,8.574,8.768,69222.546
2021-04-24 00:00:00,8.732,8.77,8.465,8.723,109950.481
2021-04-24 04:00:00,8.723,8.759,8.54,8.598,89660.829
2021-04-24 08:00:00,8.591,8.682,8.434,8.46,101329.14
2021-04-24 12:00:00,8.476,8.537,8.413,8.49,62241.958
2021-04-24 16:00:00,8.497,8.578,8.468,8.551,58221.149
2021-04-24 20:00:00,8.542,8.67,8.541,8.607,74936.046
2021-04-25 00:00:00,8.608,8.69,8.516,8.587,70641.322
2021-04-25 04:00:00,8.586,8.586,8.579,8.579,860.739
2021-04-25 08:00:00,8.567,8.71,8.44,8.499,80599.27
2021-04-25 12:00:00,8.508,8.797,8.476,8.77,152575.42
2021-04-25 16:00:00,8.77,8.857,8.578,8.815,202148.998
2021-04-25 20:00:00,8.815,9.306,8.521,9.05,665030.171
2021-04-26 00:00:00,9.051,9.543,9.05,9.363,477177.707
2021-04-26 04:00:00,9.364,9.454,9.296,9.32,187879.883
2021-04-26 08:00:00,9.32,9.419,9.151,9.419,226903.838
2021-04-26 12:00:00,9.416,9.6,9.384,9.4,136074.752
2021-04-26 16:00:00,9.402,9.518,9.24,9.287,97929.517
2021-04-26 20:00:00,9.287,10.5,9.128,10.02,1110357.984
2021-04-27 00:00:00,10.02,10.301,9.951,10.249,248999.505
2021-04-27 04:00:00,10.248,10.4,10.188,10.343,157367.476
2021-04-27 08:00:00,10.358,10.629,10.316,10.538,227482.325
2021-04-27 12:00:00,10.523,10.545,10.184,10.347,182648.931
2021-04-27 16:00:00,10.332,10.44,10.041,10.067,211383.524
2021-04-27 20:00:00,10.067,10.105,9.956,9.993,127663.172
2021-04-28 00:00:00,9.993,10.048,9.88,9.913,111886.929
2021-04-28 04:00:00,9.902,9.941,9.641,9.72,184775.175
2021-04-28 08:00:00,9.72,9.937,9.65,9.889,157861.475
2021-04-28 12:00:00,9.891,10.315,9.861,10.122,220663.214
2021-04-28 16:00:00,10.124,10.137,9.66,9.801,499949.42
2021-04-28 20:00:00,9.801,9.867,9.638,9.716,89074.973
2021-04-29 00:00:00,9.716,9.733,9.609,9.634,37637.496
2021-04-29 04:00:00,9.634,9.67,9.53,9.611,82110.285
2021-04-29 08:00:00,9.612,9.693,9.538,9.678,80810.481
2021-04-29 12:00:00,9.678,9.7,9.533,9.559,90494.839
2021-04-29 16:00:00,9.559,9.582,9.43,9.437,81340.859
2021-04-29 20:00:00,9.433,9.791,9.339,9.521,101394.626
2021-04-30 00:00:00,9.521,10.175,9.436,10.148,325150.758
2021-04-30 04:00:00,10.148,10.44,10.127,10.387,403178.52
2021-04-30 08:00:00,10.387,10.583,10.303,10.303,220244.805
2021-04-30 12:00:00,10.304,10.367,10.253,10.305,81398.802
2021-04-30 16:00:00,10.31,10.316,10.201,10.285,66336.428
2021-04-30 20:00:00,10.286,10.296,10.087,10.109,61884.868
2021-05-01 00:00:00,10.109,10.163,10.046,10.142,63633.796
2021-05-01 04:00:00,10.142,10.199,10.083,10.167,41352.75
2021-05-01 08:00:00,10.167,10.168,10.003,10.04,52620.062
2021-05-01 12:00:00,10.045,10.051,9.883,9.936,70359.613
2021-05-01 16:00:00,9.958,9.96,9.813,9.889,84669.967
2021-05-01 20:00:00,9.889,9.957,9.811,9.844,61432.162
2021-05-02 00:00:00,9.85,9.89,9.682,9.72,131043.234
2021-05-02 04:00:00,9.716,9.768,9.663,9.676,57663.866
2021-05-02 08:00:00,9.677,9.85,9.608,9.821,141432.482
2021-05-02 12:00:00,9.821,10.362,9.75,9.91,215991.691
2021-05-02 16:00:00,9.91,10.35,9.7,9.97,318763.982
2021-05-02 20:00:00,9.97,10.027,9.841,9.904,82258.601
2021-05-03 00:00:00,9.904,10.3,9.896,10.042,193680.993
2021-05-03 04:00:00,10.039,10.209,9.99,10.209,232687.95
2021-05-03 08:00:00,10.209,10.3,10.129,10.143,222472.47
2021-05-03 12:00:00,10.152,10.153,9.971,9.978,176429.523
2021-05-03 16:00:00,9.978,10.404,9.93,10.162,188889.566
2021-05-03 20:00:00,10.162,10.227,10.001,10.158,119514.95
2021-05-04 00:00:00,10.161,10.278,9.7,9.772,193440.723
2021-05-04 04:00:00,9.759,9.948,9.737,9.884,112253.258
2021-05-04 08:00:00,9.884,10.057,9.858,10.028,162855.82
2021-05-04 12:00:00,10.04,10.043,9.2,9.519,276338.829
2021-05-04 16:00:00,9.513,12.6,9.422,11.184,4153799.807
2021-05-04 20:00:00,11.222,11.725,11.166,11.31,605012.961
2021-05-05 00:00:00,11.288,11.667,11.27,11.365,464827.321
2021-05-05 04:00:00,11.361,11.377,11.052,11.239,347465.249
2021-05-05 08:00:00,11.239,11.267,10.77,10.773,385856.229
2021-05-05 12:00:00,10.773,11.089,10.649,10.809,435492.913
2021-05-05 16:00:00,10.818,10.962,10.7,10.836,229403.982
2021-05-05 20:00:00,10.836,10.9,10.332,10.699,485386.2
2021-05-06 00:00:00,10.703,10.731,10.3,10.403,285043.104
2021-05-06 04:00:00,10.418,11.418,10.366,11.237,894007.508
2021-05-06 08:00:00,11.237,11.348,10.801,10.876,438068.819
2021-05-06 12:00:00,10.887,11.293,10.659,11.079,569967.124
2021-05-06 16:00:00,11.044,11.075,10.5,10.644,476646.462
2021-05-06 20:00:00,10.647,10.97,10.344,10.35,403449.142
2021-05-07 00:00:00,10.36,10.398,9.965,9.974,336778.514
2021-05-07 04:00:00,9.974,10.13,9.936,9.99,212011.443
2021-05-07 08:00:00,9.99,10.087,9.957,10.068,151114.406
2021-05-07 12:00:00,10.067,10.218,9.928,10.065,297014.683
2021-05-07 16:00:00,10.065,10.099,9.704,9.77,258349.425
2021-05-07 20:00:00,9.775,9.897,9.77,9.808,120831.879
2021-05-08 00:00:00,9.804,9.9,9.73,9.812,119478.399
2021-05-08 04:00:00,9.814,9.853,9.571,9.734,176178.499
2021-05-08 08:00:00,9.734,9.778,9.615,9.68,107736.047
2021-05-08 12:00:00,9.689,9.964,9.657,9.772,256239.397
2021-05-08 16:00:00,9.772,9.929,9.756,9.855,131053.477
2021-05-08 20:00:00,9.865,10.2,9.845,10.067,275530.151
2021-05-09 00:00:00,10.06,10.668,10.056,10.163,841686.864
2021-05-09 04:00:00,10.163,10.52,9.859,10.5,548498.851
2021-05-09 08:00:00,10.5,10.5,10.094,10.105,302611.905
2021-05-09 12:00:00,10.101,10.184,9.88,9.925,319314.67
2021-05-09 16:00:00,9.925,10.021,9.82,9.833,151817.901
2021-05-09 20:00:00,9.833,10.391,9.832,10.328,497245.185
2021-05-10 00:00:00,10.315,10.58,10.24,10.45,512301.455
2021-05-10 04:00:00,10.453,10.462,10.164,10.199,169220.948
2021-05-10 08:00:00,10.199,10.2,9.802,9.874,286716.865
2021-05-10 12:00:00,9.854,10.02,9.759,9.87,215766.053
2021-05-10 16:00:00,9.881,9.899,9.62,9.629,361311.28
2021-05-10 20:00:00,9.629,9.635,9.378,9.39,361643.675
2021-05-11 00:00:00,9.38,9.399,8.992,9.038,231837.046
2021-05-11 04:00:00,9.056,9.169,9.025,9.115,85445.336
2021-05-11 08:00:00,9.125,9.226,9.082,9.152,99868.719
2021-05-11 12:00:00,9.152,9.162,9.01,9.157,121069.957
2021-05-11 16:00:00,9.147,9.177,8.875,8.991,330701.581
2021-05-11 20:00:00,8.991,9.096,8.925,8.934,266408.619
2021-05-12 00:00:00,8.938,9.107,8.868,8.972,258493.769
2021-05-12 04:00:00,8.972,9.06,8.86,8.993,213601.048
2021-05-12 08:00:00,8.993,9.019,8.897,9.014,108516.192
2021-05-12 12:00:00,8.996,9.0,8.756,8.762,183391.527
2021-05-12 16:00:00,8.756,8.759,8.185,8.309,335979.973
2021-05-12 20:00:00,8.309,8.467,7.9,7.945,344137.718
2021-05-13 00:00:00,7.948,8.174,7.77,8.028,250418.691
2021-05-13 04:00:00,8.029,9.0,7.995,8.248,239242.76
2021-05-13 08:00:00,8.265,8.364,8.097,8.199,205408.919
2021-05-13 12:00:00,8.184,8.191,8.019,8.042,123320.577
2021-05-13 16:00:00,8.028,8.48,7.932,7.982,419666.526
2021-05-13 20:00:00,7.982,8.087,7.874,7.99,178593.094
2021-05-14 00:00:00,7.99,8.064,7.949,8.013,66220.829
2021-05-14 04:00:00,8.024,8.6,8.019,8.158,469344.947
2021-05-14 08:00:00,8.156,8.372,8.048,8.18,291105.615
2021-05-14 12:00:00,8.18,8.399,8.149,8.364,155554.128
2021-05-14 16:00:00,8.364,8.418,8.247,8.256,129994.974
2021-05-14 20:00:00,8.246,8.27,8.144,8.196,120399.157
2021-05-15 00:00:00,8.196,8.382,8.121,8.367,116518.934
2021-05-15 04:00:00,8.367,8.411,8.191,8.207,90552.029
2021-05-15 08:00:00,8.197,8.225,8.116,8.141,148840.713
2021-05-15 12:00:00,8.143,8.162,7.752,7.881,558291.147
2021-05-15 16:00:00,7.884,7.884,7.712,7.783,210915.518
2021-05-15 20:00:00,7.784,7.892,7.701,7.701,75064.037
2021-05-16 00:00:00,7.712,7.81,7.702,7.81,87867.194
2021-05-16 04:00:00,7.81,7.841,7.708,7.841,54952.714
2021-05-16 08:00:00,7.841,7.894,7.8,7.868,104097.01
2021-05-16 12:00:00,7.872,7.952,7.635,7.64,182282.765
2021-05-16 16:00:00,7.64,7.646,7.375,7.384,196213.88
2021-05-16 20:00:00,7.385,7.427,7.271,7.418,165607.137
2021-05-17 00:00:00,7.41,7.908,7.118,7.122,199997.541
2021-05-17 04:00:00,7.135,7.237,7.006,7.227,339297.767
2021-05-17 08:00:00,7.227,7.27,7.123,7.258,89941.248
2021-05-17 12:00:00,7.26,7.697,7.232,7.6,242854.588
2021-05-17 16:00:00,7.591,7.937,7.569,7.672,428961.61
2021-05-17 20:00:00,7.672,7.898,7.549,7.712,191941.619
2021-05-18 00:00:00,7.716,7.811,7.578,7.658,176577.585
2021-05-18 04:00:00,7.648,7.746,7.602,7.69,90021.702
2021-05-18 08:00:00,7.69,7.751,7.605,7.724,95215.764
2021-05-18 12:00:00,7.731,7.732,7.474,7.52,194014.056
2021-05-18 16:00:00,7.519,7.558,7.34,7.473,167379.251
2021-05-18 20:00:00,7.473,7.533,7.373,7.467,86677.248
2021-05-19 00:00:00,7.479,7.538,7.161,7.185,187222.945
2021-05-19 04:00:00,7.17,7.19,6.721,6.822,308489.396
2021-05-19 08:00:00,6.812,6.914,6.502,6.747,319522.969
2021-05-19 12:00:00,6.739,6.761,5.244,6.389,606812.043
2021-05-19 16:00:00,6.388,6.719,6.304,6.503,307321.63
2021-05-19 20:00:00,6.5,6.564,6.22,6.253,191804.829
2021-05-20 00:00:00,6.25,6.336,5.928,6.074,212576.031
2021-05-20 04:00:00,6.085,6.368,5.96,6.007,148544.77
2021-05-20 08:00:00,6.0,6.088,5.933,6.063,75973.861
2021-05-20 12:00:00,6.056,6.369,6.0,6.279,367726.37
2021-05-20 16:00:00,6.271,6.33,6.096,6.19,174779.07
2021-05-20 20:00:00,6.19,6.32,6.147,6.252,91372.19
2021-05-21 00:00:00,6.242,6.44,6.242,6.302,149079.884
2021-05-21 04:00:00,6.302,6.357,6.21,6.235,85491.748
2021-05-21 08:00:00,6.235,6.368,6.183,6.277,82751.078
2021-05-21 12:00:00,6.268,6.31,5.713,5.954,283598.042
2021-05-21 16:00:00,5.954,6.168,5.556,5.815,145787.886
2021-05-21 20:00:00,5.811,5.824,5.559,5.734,123595.421
2021-05-22 00:00:00,5.728,5.777,5.64,5.65,83220.752
2021-05-22 04:00:00,5.643,5.67,4.822,4.877,401720.269
2021-05-22 08:00:00,4.869,5.1,4.824,5.047,156023.706
2021-05-22 12:00:00,5.047,5.078,4.889,4.892,106120.622
2021-05-22 16:00:00,4.898,4.915,4.638,4.651,193141.986
2021-05-22 20:00:00,4.654,4.8,4.605,4.616,127444.283
2021-05-23 00:00:00,4.617,4.697,4.501,4.521,164946.741
2021-05-23 04:00:00,4.517,4.688,4.26,4.27,173117.47
2021-05-23 08:00:00,4.266,4.275,3.76,3.833,297896.437
2021-05-23 12:00:00,3.827,3.827,3.499,3.511,261585.451
2021-05-23 16:00:00,3.507,3.528,3.266,3.297,268950.895
2021-05-23 20:00:00,3.287,3.534,3.263,3.514,323634.169
2021-05-24 00:00:00,3.508,3.602,3.419,3.512,214414.332
2021-05-24 04:00:00,3.512,3.954,3.403,3.741,733765.68
2021-05-24 08:00:00,3.741,4.2,3.656,4.04,2158641.98
2021-05-24 12:00:00,4.04,4.16,3.901,4.038,602643.823
2021-05-24 16:00:00,4.028,4.382,3.841,4.203,514610.838
2021-05-24 20:00:00,4.196,4.296,4.1,4.168,274325.653
2021-05-25 00:00:00,4.167,4.33,4.128,4.149,256697.12
2021-05-25 04:00:00,4.148,4.167,4.008,4.029,270155.152
2021-05-25 08:00:00,4.027,4.125,3.882,3.911,285733.486
2021-05-25 12:00:00,3.909,4.149,3.909,4.1,101532.532
2021-05-25 16:00:00,4.098,4.304,4.032,4.232,173872.913
2021-05-25 20:00:00,4.233,4.68,4.233,4.54,572578.891
2021-05-26 00:00:00,4.538,4.832,4.515,4.724,190095.768
2021-05-26 04:00:00,4.73,4.857,4.687,4.804,200355.413
2021-05-26 08:00:00,4.804,4.825,4.581,4.705,266152.495
2021-05-26 12:00:00,4.705,4.74,4.547,4.553,119494.847
2021-05-26 16:00:00,4.553,5.035,4.545,4.876,408931.488
2021-05-26 20:00:00,4.881,5.432,4.86,5.394,365561.091
2021-05-27 00:00:00,5.394,5.398,4.947,4.991,359357.631
2021-05-27 04:00:00,4.988,5.065,4.945,5.024,91316.457
2021-05-27 08:00:00,5.026,5.066,4.967,5.046,125131.58
2021-05-27 12:00:00,5.046,5.115,4.982,5.054,172283.299
2021-05-27 16:00:00,5.054,5.134,4.92,4.975,236224.862
2021-05-27 20:00:00,4.975,4.98,4.8,4.853,174657.266
2021-05-28 00:00:00,4.85,4.943,4.815,4.861,84961.209
2021-05-28 04:00:00,4.861,4.861,4.669,4.728,159064.868
2021-05-28 08:00:00,4.721,4.728,4.433,4.486,152308.819
2021-05-28 12:00:00,4.484,4.77,4.473,4.767,137837.167
2021-05-28 16:00:00,4.762,5.159,4.717,5.136,326152.206
2021-05-28 20:00:00,5.136,6.108,5.031,5.168,2423525.409
2021-05-29 00:00:00,5.173,5.23,5.08,5.121,214760.68
2021-05-29 04:00:00,5.121,5.121,4.973,4.984,178795.651
2021-05-29 08:00:00,4.984,4.993,4.878,4.89,187688.79
2021-05-29 12:00:00,4.885,4.893,4.71,4.773,327264.564
2021-05-29 16:00:00,4.774,4.777,4.591,4.601,169963.589
2021-05-29 20:00:00,4.606,4.688,4.535,4.656,217668.048
2021-05-30 00:00:00,4.65,4.65,4.504,4.52,78704.799
2021-05-30 04:00:00,4.52,4.713,4.514,4.686,203628.445
2021-05-30 08:00:00,4.692,4.734,4.652,4.732,91153.128
2021-05-30 12:00:00,4.732,4.742,4.634,4.681,73171.426
2021-05-30 16:00:00,4.681,4.8,4.651,4.743,214937.327
2021-05-30 20:00:00,4.744,4.784,4.657,4.692,173048.346
2021-05-31 00:00:00,4.697,4.708,4.601,4.615,77147.343
2021-05-31 04:00:00,4.62,4.669,4.575,4.624,88405.153
2021-05-31 08:00:00,4.629,4.884,4.602,4.86,200877.317
2021-05-31 12:00:00,4.867,5.18,4.814,5.104,455557.962
2021-05-31 16:00:00,5.102,5.106,4.928,4.954,115786.542
2021-05-31 20:00:00,4.949,5.028,4.918,4.966,54427.041
2021-06-01 00:00:00,4.961,5.151,4.911,4.929,201089.42
2021-06-01 04:00:00,4.933,5.008,4.916,4.929,97399.595
2021-06-01 08:00:00,4.933,4.949,4.823,4.906,113964.819
2021-06-01 12:00:00,4.901,5.041,4.792,4.805,266269.881
2021-06-01 16:00:00,4.805,4.82,4.744,4.771,99052.798
2021-06-01 20:00:00,4.768,4.822,4.75,4.79,56924.054
2021-06-02 00:00:00,4.791,4.822,4.746,4.775,50441.84
2021-06-02 04:00:00,4.775,4.868,4.746,4.854,83398.036
2021-06-02 08:00:00,4.854,4.899,4.803,4.84,88851.65
2021-06-02 12:00:00,4.841,4.906,4.812,4.861,97515.186
2021-06-02 16:00:00,4.861,4.933,4.821,4.911,89752.251
2021-06-02 20:00:00,4.911,4.972,4.857,4.899,71023.676
2021-06-03 00:00:00,4.897,4.903,4.76,4.836,76018.194
2021-06-03 04:00:00,4.836,4.883,4.788,4.822,133307.938
2021-06-03 08:00:00,4.822,4.95,4.809,4.874,215223.432
2021-06-03 12:00:00,4.872,4.897,4.78,4.813,154779.796
2021-06-03 16:00:00,4.817,4.919,4.8,4.869,157348.349
2021-06-03 20:00:00,4.87,4.924,4.824,4.914,59390.103
2021-06-04 00:00:00,4.92,4.92,4.748,4.767,180354.956
2021-06-04 04:00:00,4.766,4.783,4.661,4.669,168526.734
2021-06-04 08:00:00,4.669,4.714,4.66,4.664,67643.163
2021-06-04 12:00:00,4.661,5.31,4.63,5.198,955130.817
2021-06-04 16:00:00,5.198,5.354,5.005,5.015,638744.478
2021-06-04 20:00:00,5.016,5.066,4.964,5.005,186378.178
2021-06-05 00:00:00,5.011,5.095,5.0,5.027,108380.448
2021-06-05 04:00:00,5.028,5.163,5.028,5.063,95659.987
2021-06-05 08:00:00,5.069,5.082,4.89,4.902,172589.34
2021-06-05 12:00:00,4.899,4.988,4.84,4.899,69110.478
2021-06-05 16:00:00,4.899,4.904,4.801,4.819,51376.587
2021-06-05 20:00:00,4.828,4.874,4.763,4.821,70925.619
2021-06-06 00:00:00,4.815,4.857,4.788,4.788,24756.01
2021-06-06 04:00:00,4.794,4.855,4.762,4.795,20679.611
2021-06-06 08:00:00,4.795,4.815,4.763,4.797,21341.053
2021-06-06 12:00:00,4.797,4.819,4.755,4.79,118382.892
2021-06-06 16:00:00,4.787,4.821,4.701,4.707,330324.589
2021-06-06 20:00:00,4.706,4.772,4.703,4.772,29544.001
2021-06-07 00:00:00,4.767,4.78,4.716,4.759,25386.04
2021-06-07 04:00:00,4.759,4.801,4.726,4.777,61069.642
2021-06-07 08:00:00,4.772,4.798,4.692,4.708,493465.472
2021-06-07 12:00:00,4.709,4.787,4.705,4.75,66351.824
2021-06-07 16:00:00,4.753,4.776,4.669,4.727,196824.565
2021-06-07 20:00:00,4.732,4.744,4.513,4.53,109978.532
2021-06-08 00:00:00,4.524,4.552,4.372,4.384,117461.725
2021-06-08 04:00:00,4.384,4.413,4.244,4.29,74709.71
2021-06-08 08:00:00,4.29,4.325,4.251,4.312,58627.836
2021-06-08 12:00:00,4.313,4.313,4.1,4.157,98042.951
2021-06-08 16:00:00,4.151,4.204,4.14,4.19,49852.865
2021-06-08 20:00:00,4.183,4.271,4.161,4.214,130939.776
2021-06-09 00:00:00,4.207,4.278,4.152,4.184,48469.57
2021-06-09 04:00:00,4.182,4.263,4.173,4.224,93436.409
2021-06-09 08:00:00,4.225,4.29,4.182,4.286,94519.677
2021-06-09 12:00:00,4.286,4.34,4.227,4.32,105870.309
2021-06-09 16:00:00,4.32,4.358,4.264,4.284,147538.94
2021-06-09 20:00:00,4.284,4.412,4.158,4.173,417281.43
2021-06-10 00:00:00,4.172,4.189,4.119,4.125,114073.458
2021-06-10 04:00:00,4.125,4.149,4.104,4.121,59736.314
2021-06-10 08:00:00,4.117,4.167,4.08,4.138,130189.48
2021-06-10 12:00:00,4.133,4.147,4.058,4.101,90490.794
2021-06-10 16:00:00,4.101,4.113,3.984,4.031,179397.586
2021-06-10 20:00:00,4.026,4.03,3.967,3.993,53718.231
2021-06-11 00:00:00,3.998,3.999,3.93,3.974,32994.497
2021-06-11 04:00:00,3.975,3.975,3.928,3.933,35634.556
2021-06-11 08:00:00,3.933,3.977,3.926,3.937,39137.116
2021-06-11 12:00:00,3.939,4.092,3.902,3.911,248598.199
2021-06-11 16:00:00,3.911,3.919,3.882,3.889,51537.411
2021-06-11 20:00:00,3.889,3.937,3.822,3.847,108948.41
2021-06-12 00:00:00,3.844,3.854,3.781,3.793,46579.837
2021-06-12 04:00:00,3.787,3.794,3.577,3.724,83391.588
2021-06-12 08:00:00,3.725,3.751,3.707,3.73,37240.859
2021-06-12 12:00:00,3.724,3.761,3.716,3.733,44581.15
2021-06-12 16:00:00,3.733,3.748,3.718,3.721,34440.76
2021-06-12 20:00:00,3.721,3.747,3.719,3.742,18306.267
2021-06-13 00:00:00,3.737,3.752,3.7,3.71,29985.716
2021-06-13 04:00:00,3.704,3.713,3.7,3.7,12386.17
2021-06-13 08:00:00,3.7,3.716,3.669,3.674,34018.888
2021-06-13 12:00:00,3.677,3.685,3.661,3.663,23368.827
2021-06-13 16:00:00,3.662,3.78,3.66,3.774,156956.67
2021-06-13 20:00:00,3.774,3.823,3.767,3.82,81467.599
2021-06-14 00:00:00,3.82,3.858,3.817,3.835,57390.278
2021-06-14 04:00:00,3.835,3.875,3.828,3.868,40541.192
2021-06-14 08:00:00,3.863,3.918,3.851,3.857,95408.26
2021-06-14 12:00:00,3.852,3.931,3.829,3.922,80796.464
2021-06-14 16:00:00,3.927,3.951,3.885,3.91,79472.272
2021-06-14 20:00:00,3.908,4.004,3.862,3.933,245998.995
2021-06-15 00:00:00,3.933,3.99,3.916,3.973,66039.438
2021-06-15 04:00:00,3.973,4.245,3.964,4.171,867072.35
2021-06-15 08:00:00,4.171,4.244,4.008,4.031,1415537.015
2021-06-15 12:00:00,4.035,4.13,4.023,4.025,116947.414
2021-06-15 16:00:00,4.026,4.032,3.996,4.016,42120.358
2021-06-15 20:00:00,4.006,4.16,3.994,4.028,127043.113
2021-06-16 00:00:00,4.027,4.05,4.004,4.031,49400.125
2021-06-16 04:00:00,4.024,4.034,4.006,4.028,33144.44
2021-06-16 08:00:00,4.025,4.033,3.907,3.907,69327.461
2021-06-16 12:00:00,3.911,4.21,3.843,3.868,191905.825
2021-06-16 16:00:00,3.867,3.892,3.829,3.87,65935.381
2021-06-16 20:00:00,3.871,3.888,3.836,3.87,27268.214
