Date,Open,High,Low,Close,Volume
2021-11-26 08:00:00,30.39,40.0,28.59,31.8,810986.727
2021-11-26 12:00:00,31.82,42.0,31.34,36.06,545827.146
2021-11-26 16:00:00,36.01,50.0,33.25,38.53,1252646.976
2021-11-26 20:00:00,38.67,45.98,35.43,36.0,752377.292
2021-11-27 00:00:00,36.0,41.0,34.46,37.43,218353.496
2021-11-27 04:00:00,37.43,38.5,31.55,36.0,199101.173
2021-11-27 08:00:00,36.04,37.66,34.1,34.25,130773.004
2021-11-27 12:00:00,34.34,39.7,33.57,38.14,144656.825
2021-11-27 16:00:00,38.23,42.5,36.91,37.29,179144.129
2021-11-27 20:00:00,37.39,38.27,35.75,37.23,52975.763
2021-11-28 00:00:00,37.24,37.83,33.52,33.9,39574.112
2021-11-28 04:00:00,33.9,39.33,33.54,37.57,115666.958
2021-11-28 08:00:00,37.5,38.2,34.78,35.0,47556.567
2021-11-28 12:00:00,35.01,38.0,34.59,36.72,50576.202
2021-11-28 16:00:00,36.82,37.49,34.01,36.49,64075.742
2021-11-28 20:00:00,36.36,43.0,35.61,38.75,177421.765
2021-11-29 00:00:00,38.77,39.3,37.2,37.64,40808.259
2021-11-29 04:00:00,37.6,40.91,37.5,38.97,55152.072
2021-11-29 08:00:00,39.05,44.22,38.45,43.74,233469.274
2021-11-29 12:00:00,43.9,45.0,40.91,41.53,234654.906
2021-11-29 16:00:00,41.62,49.1,40.6,42.82,359495.514
2021-11-29 20:00:00,42.87,44.39,41.36,41.48,120516.557
2021-11-30 00:00:00,41.48,43.37,40.5,40.75,51687.184
2021-11-30 04:00:00,40.82,42.59,40.0,42.21,61623.158
2021-11-30 08:00:00,42.27,44.85,40.71,40.81,101066.556
2021-11-30 12:00:00,40.81,42.58,40.34,41.52,61834.277
2021-11-30 16:00:00,41.54,43.9,40.84,43.11,78461.587
2021-11-30 20:00:00,43.1,46.92,41.81,44.57,75589.802
2021-12-01 00:00:00,44.53,47.2,42.85,46.88,91495.204
2021-12-01 04:00:00,46.85,48.5,44.7,48.38,145560.521
2021-12-01 08:00:00,48.35,49.78,44.2,45.52,194273.479
2021-12-01 12:00:00,45.52,46.66,43.5,44.97,82154.28
2021-12-01 16:00:00,44.92,46.5,43.47,44.92,100373.764
2021-12-01 20:00:00,45.12,45.15,40.99,41.11,59793.456
2021-12-02 00:00:00,41.08,41.24,36.65,38.14,107890.12
2021-12-02 04:00:00,38.22,40.68,37.6,40.39,75607.794
2021-12-02 08:00:00,40.4,44.17,39.05,40.14,100644.643
2021-12-02 12:00:00,40.12,40.13,36.38,38.39,103494.312
2021-12-02 16:00:00,38.56,40.58,36.94,39.19,78389.437
2021-12-02 20:00:00,39.26,39.49,37.61,38.1,43189.945
2021-12-03 00:00:00,38.08,40.0,37.85,38.75,27718.583
2021-12-03 04:00:00,38.75,42.5,38.46,39.65,88356.871
2021-12-03 08:00:00,39.71,39.81,38.02,38.42,35226.977
2021-12-03 12:00:00,38.39,38.92,37.59,37.67,47768.84
2021-12-03 16:00:00,37.7,37.82,32.61,33.13,132035.435
2021-12-03 20:00:00,33.01,37.78,32.27,35.11,106428.925
2021-12-04 00:00:00,35.24,35.49,32.89,33.0,64419.538
2021-12-04 04:00:00,33.0,33.12,25.2,27.03,243752.461
2021-12-04 08:00:00,26.94,30.0,24.63,26.2,125060.659
2021-12-04 12:00:00,26.21,29.24,24.96,27.56,223628.358
2021-12-04 16:00:00,27.58,30.29,27.44,30.05,61041.33
2021-12-04 20:00:00,30.01,32.41,27.74,30.0,140757.864
2021-12-05 00:00:00,29.91,30.73,29.0,29.19,29031.139
2021-12-05 04:00:00,29.16,32.24,28.03,30.0,77954.284
2021-12-05 08:00:00,30.0,32.8,29.85,31.33,95785.689
2021-12-05 12:00:00,31.38,34.8,27.91,28.19,225448.329
2021-12-05 16:00:00,28.19,29.42,25.87,27.2,184359.808
2021-12-05 20:00:00,27.2,27.34,25.5,26.35,78820.8
2021-12-06 00:00:00,26.4,26.5,23.0,24.09,110309.286
2021-12-06 04:00:00,23.97,24.78,19.85,21.75,243666.821
2021-12-06 08:00:00,21.7,22.95,18.8,21.38,336521.075
2021-12-06 12:00:00,21.35,24.45,20.91,23.11,260223.212
2021-12-06 16:00:00,23.12,27.0,22.94,26.82,280635.015
2021-12-06 20:00:00,26.81,31.3,26.8,27.93,324388.551
2021-12-07 00:00:00,27.93,30.64,27.32,28.52,117117.341
2021-12-07 04:00:00,28.52,32.85,28.5,30.13,331089.911
2021-12-07 08:00:00,30.07,30.64,28.55,30.06,143105.064
2021-12-07 12:00:00,30.06,35.3,27.82,32.58,531736.344
2021-12-07 16:00:00,32.58,34.96,30.57,31.41,402335.127
2021-12-07 20:00:00,31.41,32.07,27.64,29.7,204269.241
2021-12-08 00:00:00,29.68,30.47,28.2,29.19,70558.177
2021-12-08 04:00:00,29.2,30.17,28.55,29.2,69194.573
2021-12-08 08:00:00,29.2,29.64,26.62,27.51,101991.186
2021-12-08 12:00:00,27.48,31.21,26.4,30.05,269967.214
2021-12-08 16:00:00,30.03,30.45,28.64,28.7,124730.26
2021-12-08 20:00:00,28.7,29.4,27.94,28.27,47017.579
2021-12-09 00:00:00,28.3,29.08,27.1,27.88,73170.692
2021-12-09 04:00:00,27.95,27.96,26.25,27.01,82656.298
2021-12-09 08:00:00,27.01,27.1,25.49,25.77,86715.885
2021-12-09 12:00:00,25.76,25.98,23.73,25.07,143138.973
2021-12-09 16:00:00,25.07,28.24,24.06,27.81,347524.809
2021-12-09 20:00:00,27.86,29.85,25.87,27.63,262381.368
2021-12-10 00:00:00,27.64,29.1,26.76,28.81,59337.485
2021-12-10 04:00:00,28.78,28.92,25.55,25.74,164506.292
2021-12-10 08:00:00,25.76,27.81,25.41,27.29,119743.526
2021-12-10 12:00:00,27.23,29.73,26.24,26.53,254710.186
2021-12-10 16:00:00,26.44,26.53,24.77,26.08,169526.666
2021-12-10 20:00:00,26.08,26.48,24.85,25.09,54890.043
2021-12-11 00:00:00,25.02,26.7,24.55,26.24,79029.001
2021-12-11 04:00:00,26.22,26.29,25.51,26.05,27001.933
2021-12-11 08:00:00,26.0,26.7,25.66,26.36,47782.509
2021-12-11 12:00:00,26.42,28.15,26.03,27.89,74510.253
2021-12-11 16:00:00,27.93,29.15,27.46,27.81,149931.109
2021-12-11 20:00:00,27.82,28.0,26.91,28.0,47088.039
2021-12-12 00:00:00,28.0,28.52,27.3,27.62,41294.109
2021-12-12 04:00:00,27.63,27.88,26.87,27.53,28568.486
2021-12-12 08:00:00,27.53,28.39,26.9,27.7,55947.281
2021-12-12 12:00:00,27.71,32.49,27.66,30.57,380690.766
2021-12-12 16:00:00,30.52,32.7,30.1,31.24,151241.311
2021-12-12 20:00:00,31.23,32.23,29.41,29.49,96742.611
2021-12-13 00:00:00,29.55,29.55,21.0,24.47,1757070.484
2021-12-13 04:00:00,24.45,25.64,23.63,24.53,363937.724
2021-12-13 08:00:00,24.5,24.63,21.1,23.21,610538.829
2021-12-13 12:00:00,23.21,24.5,21.7,22.15,443529.945
2021-12-13 16:00:00,22.15,23.68,20.68,22.11,568509.454
2021-12-13 20:00:00,22.1,23.5,20.84,23.35,392930.422
2021-12-14 00:00:00,23.34,23.65,21.75,21.98,161228.555
2021-12-14 04:00:00,21.97,22.0,20.28,21.27,188658.027
2021-12-14 08:00:00,21.28,22.39,20.6,21.07,220855.663
