Date,Open,High,Low,Close,Volume
2021-11-05 04:00:00,44.21,61.9,42.0,43.41,351170.61
2021-11-05 08:00:00,43.47,45.4,38.71,38.73,108432.72
2021-11-05 12:00:00,38.73,40.9,32.23,38.9,79836.11
2021-11-05 16:00:00,38.85,41.17,38.41,40.8,16930.77
2021-11-05 20:00:00,40.78,42.0,40.03,40.24,16675.26
2021-11-06 00:00:00,40.3,47.0,40.25,45.44,43755.91
2021-11-06 04:00:00,45.23,70.0,45.02,56.43,434854.84
2021-11-06 08:00:00,56.54,64.6,52.62,52.94,502852.03
2021-11-06 12:00:00,52.88,53.57,43.91,48.5,337265.44
2021-11-06 16:00:00,48.6,59.0,47.83,52.22,256088.7
2021-11-06 20:00:00,52.22,54.24,49.57,49.6,89031.8
2021-11-07 00:00:00,49.56,50.29,46.4,46.79,54933.18
2021-11-07 04:00:00,46.66,49.23,45.58,47.12,45356.54
2021-11-07 08:00:00,47.26,48.75,46.0,47.05,36425.62
2021-11-07 12:00:00,47.1,49.34,46.5,49.16,31340.74
2021-11-07 16:00:00,49.15,50.0,48.0,48.63,30773.36
2021-11-07 20:00:00,48.64,50.5,48.24,48.48,18400.87
2021-11-08 00:00:00,48.48,48.77,47.01,47.21,10007.62
2021-11-08 04:00:00,47.23,47.38,44.93,45.21,16341.35
2021-11-08 08:00:00,45.11,46.38,43.53,44.55,17784.03
2021-11-08 12:00:00,44.55,46.33,42.0,45.71,14397.92
2021-11-08 16:00:00,45.71,45.99,44.92,45.49,6191.5
2021-11-08 20:00:00,45.49,47.1,44.4,46.11,9532.08
2021-11-09 00:00:00,46.11,46.21,44.65,45.12,5246.95
2021-11-09 04:00:00,45.13,45.37,44.33,44.55,4270.11
2021-11-09 08:00:00,44.64,45.49,43.0,43.95,6265.48
2021-11-09 12:00:00,44.01,45.5,44.0,44.17,5782.23
2021-11-09 16:00:00,44.17,44.17,42.71,42.85,13001.76
2021-11-09 20:00:00,42.73,44.29,42.72,43.38,4471.68
2021-11-10 00:00:00,43.51,43.68,42.25,42.43,2853.93
2021-11-10 04:00:00,42.28,43.0,41.85,42.11,4311.22
2021-11-10 08:00:00,41.95,43.0,41.48,42.46,4949.28
2021-11-10 12:00:00,42.47,43.95,42.27,42.82,5450.07
2021-11-10 16:00:00,42.93,44.47,42.71,42.71,7740.27
2021-11-10 20:00:00,42.71,43.28,39.3,41.89,13642.46
2021-11-11 00:00:00,41.89,41.89,40.79,41.25,2410.12
2021-11-11 04:00:00,41.24,41.56,40.79,41.23,1697.86
2021-11-11 08:00:00,41.23,42.01,40.88,41.47,3093.71
2021-11-11 12:00:00,41.48,41.82,40.39,40.41,2304.66
2021-11-11 16:00:00,40.54,42.59,40.2,41.61,7774.81
2021-11-11 20:00:00,41.54,41.77,40.87,41.25,4968.66
2021-11-12 00:00:00,41.21,42.21,40.61,41.95,4156.44
2021-11-12 04:00:00,42.01,42.99,41.33,41.78,5092.85
2021-11-12 08:00:00,41.79,42.31,40.11,40.35,6779.96
2021-11-12 12:00:00,40.38,40.68,39.75,39.98,2659.87
2021-11-12 16:00:00,39.84,42.98,39.57,42.24,12099.16
2021-11-12 20:00:00,42.15,43.82,41.77,42.04,12302.11
2021-11-13 00:00:00,42.18,43.04,41.78,41.99,1966.87
2021-11-13 04:00:00,41.96,42.49,41.56,42.21,2134.29
2021-11-13 08:00:00,42.47,42.82,41.47,41.55,5540.83
2021-11-13 12:00:00,41.55,43.34,41.46,42.6,6191.09
2021-11-13 16:00:00,42.67,42.68,41.81,42.02,1465.08
2021-11-13 20:00:00,41.89,42.06,41.02,41.1,2901.15
2021-11-14 00:00:00,41.12,41.67,41.12,41.36,765.08
2021-11-14 04:00:00,41.37,41.46,41.01,41.06,1121.96
2021-11-14 08:00:00,41.06,41.43,40.75,41.03,3046.16
2021-11-14 12:00:00,41.05,41.33,40.75,40.96,2761.26
2021-11-14 16:00:00,40.91,40.95,40.09,40.17,5750.59
2021-11-14 20:00:00,40.25,41.08,40.14,40.7,6369.09
2021-11-15 00:00:00,40.58,40.99,39.8,39.9,15610.79
2021-11-15 04:00:00,39.9,40.34,39.77,40.21,4401.37
2021-11-15 08:00:00,40.17,41.0,39.75,39.94,10132.68
2021-11-15 12:00:00,39.91,40.95,39.8,40.17,12278.67
2021-11-15 16:00:00,40.17,40.17,39.22,40.03,3073.07
2021-11-15 20:00:00,40.02,41.98,38.21,39.34,73827.31
2021-11-16 00:00:00,39.22,39.33,36.0,36.24,8694.52
2021-11-16 04:00:00,36.24,36.9,35.95,36.32,3460.79
2021-11-16 08:00:00,36.27,37.79,34.47,36.39,27370.84
2021-11-16 12:00:00,36.35,37.5,35.7,36.52,10779.35
2021-11-16 16:00:00,36.63,36.8,34.86,35.35,9951.63
2021-11-16 20:00:00,35.35,36.79,35.0,36.53,4780.65
2021-11-17 00:00:00,36.4,36.84,33.1,33.44,11231.62
2021-11-17 04:00:00,33.44,33.58,31.25,31.68,13778.26
2021-11-17 08:00:00,31.64,32.21,30.7,32.05,18962.32
2021-11-17 12:00:00,32.05,32.67,31.54,31.64,15060.58
2021-11-17 16:00:00,31.8,33.4,31.35,32.02,17004.44
2021-11-17 20:00:00,32.06,32.42,31.85,31.93,11077.29
2021-11-18 00:00:00,31.98,34.19,31.71,33.75,15490.84
2021-11-18 04:00:00,33.74,33.9,31.8,31.84,4621.18
2021-11-18 08:00:00,31.81,32.36,31.21,31.68,10529.05
2021-11-18 12:00:00,31.55,32.6,31.0,31.07,5578.41
2021-11-18 16:00:00,31.24,31.4,29.06,29.97,18073.01
2021-11-18 20:00:00,29.94,30.47,28.89,29.47,11814.56
2021-11-19 00:00:00,29.51,30.06,28.8,29.24,7186.44
2021-11-19 04:00:00,29.12,30.22,29.11,29.95,2647.82
2021-11-19 08:00:00,29.8,30.79,29.8,30.7,2842.1
2021-11-19 12:00:00,30.8,32.39,30.64,31.53,16199.56
2021-11-19 16:00:00,31.54,31.72,30.32,30.79,24795.16
2021-11-19 20:00:00,30.8,30.82,30.12,30.2,5459.26
2021-11-20 00:00:00,30.3,30.42,29.55,29.57,5417.8
2021-11-20 04:00:00,29.57,30.54,29.56,30.49,5218.15
2021-11-20 08:00:00,30.5,31.82,30.14,30.89,21548.45
2021-11-20 12:00:00,30.97,31.99,30.2,30.55,13688.97
2021-11-20 16:00:00,30.44,30.7,29.58,30.25,13134.1
2021-11-20 20:00:00,30.23,30.85,30.14,30.23,7902.95
2021-11-21 00:00:00,30.36,30.4,29.88,29.93,3833.76
2021-11-21 04:00:00,29.93,30.62,29.89,30.39,4953.91
2021-11-21 08:00:00,30.38,31.0,29.62,29.99,13868.92
2021-11-21 12:00:00,29.98,30.79,29.22,30.49,19518.86
2021-11-21 16:00:00,30.4,31.49,30.31,30.92,8893.21
2021-11-21 20:00:00,30.98,76.95,30.84,36.87,1522109.6
2021-11-22 00:00:00,36.73,38.53,30.8,31.21,124819.25
2021-11-22 04:00:00,31.18,32.67,30.01,32.47,59852.07
2021-11-22 08:00:00,32.42,33.8,31.23,31.62,61372.04
2021-11-22 12:00:00,31.62,43.6,31.21,36.47,202175.2
2021-11-22 16:00:00,36.49,37.83,32.2,32.79,117411.0
2021-11-22 20:00:00,32.78,33.09,31.6,32.0,33273.1
2021-11-23 00:00:00,32.03,33.27,31.82,33.18,9937.27
2021-11-23 04:00:00,33.17,33.17,31.5,31.58,15103.78
2021-11-23 08:00:00,31.58,32.35,31.34,31.83,19673.39
2021-11-23 12:00:00,31.82,34.0,31.49,33.38,41551.42
2021-11-23 16:00:00,33.26,34.19,32.42,32.63,19364.05
2021-11-23 20:00:00,32.76,33.32,32.0,32.17,13664.93
2021-11-24 00:00:00,32.24,32.33,30.41,30.54,13248.39
2021-11-24 04:00:00,30.54,31.3,30.51,31.07,24158.8
2021-11-24 08:00:00,30.97,31.43,30.5,30.62,25175.9
2021-11-24 12:00:00,30.61,31.16,30.0,30.75,31086.64
2021-11-24 16:00:00,30.75,31.13,29.29,29.49,17414.83
2021-11-24 20:00:00,29.49,31.02,29.33,30.79,12817.82
2021-11-25 00:00:00,30.72,31.13,30.29,30.37,6113.71
2021-11-25 04:00:00,30.36,30.69,29.65,29.82,14756.37
2021-11-25 08:00:00,29.73,29.94,28.56,29.05,22619.39
2021-11-25 12:00:00,28.95,30.16,28.85,29.96,22821.03
2021-11-25 16:00:00,29.97,30.46,29.38,29.47,13663.94
2021-11-25 20:00:00,29.47,30.23,29.4,29.72,10903.39
2021-11-26 00:00:00,29.72,29.85,29.27,29.29,4808.44
2021-11-26 04:00:00,29.32,29.5,28.05,28.34,6229.84
2021-11-26 08:00:00,28.36,28.42,26.0,26.0,29911.5
2021-11-26 12:00:00,26.0,26.9,25.44,26.24,19342.25
2021-11-26 16:00:00,26.23,26.26,23.53,24.22,105452.6
2021-11-26 20:00:00,24.25,24.82,23.92,24.13,33111.99
2021-11-27 00:00:00,24.13,25.64,24.11,25.0,23909.6
2021-11-27 04:00:00,25.02,25.11,24.11,24.82,19513.14
2021-11-27 08:00:00,24.76,25.8,24.76,25.08,17407.59
2021-11-27 12:00:00,25.08,25.6,24.72,25.18,22643.01
2021-11-27 16:00:00,25.18,25.68,24.21,24.37,27732.31
2021-11-27 20:00:00,24.37,24.38,23.58,23.85,11179.38
2021-11-28 00:00:00,23.84,23.91,23.11,23.4,10079.93
2021-11-28 04:00:00,23.4,23.88,23.19,23.56,4685.23
2021-11-28 08:00:00,23.42,24.37,22.99,23.96,16196.97
2021-11-28 12:00:00,23.96,24.2,23.33,23.62,11735.41
2021-11-28 16:00:00,23.7,23.72,22.27,23.05,13809.02
2021-11-28 20:00:00,23.05,24.6,23.02,24.42,19503.63
2021-11-29 00:00:00,24.34,25.54,24.33,24.68,16677.41
2021-11-29 04:00:00,24.69,25.25,24.48,24.76,6966.99
2021-11-29 08:00:00,24.8,25.5,24.62,24.94,13822.69
2021-11-29 12:00:00,24.93,25.34,24.67,24.9,17278.43
2021-11-29 16:00:00,24.8,25.9,24.66,25.11,21682.7
2021-11-29 20:00:00,25.11,29.69,24.8,27.67,118631.01
2021-11-30 00:00:00,27.63,27.81,25.57,25.78,39263.88
2021-11-30 04:00:00,25.64,27.75,25.23,27.5,29304.39
2021-11-30 08:00:00,27.59,34.0,26.72,30.4,202111.13
2021-11-30 12:00:00,30.4,31.8,28.32,30.1,215026.09
2021-11-30 16:00:00,30.13,31.48,28.33,30.92,128724.77
2021-11-30 20:00:00,30.97,31.43,27.61,27.68,101342.34
2021-12-01 00:00:00,27.68,29.0,27.61,27.95,28964.41
2021-12-01 04:00:00,27.95,28.0,26.6,27.03,19641.64
2021-12-01 08:00:00,27.03,27.3,26.05,26.48,25772.84
2021-12-01 12:00:00,26.48,27.21,26.1,27.21,30530.94
2021-12-01 16:00:00,27.21,27.49,26.16,26.81,26940.73
2021-12-01 20:00:00,26.81,27.57,26.0,26.21,18594.92
2021-12-02 00:00:00,26.22,26.73,25.04,25.58,14765.92
2021-12-02 04:00:00,25.49,25.76,25.43,25.62,5466.36
2021-12-02 08:00:00,25.57,26.0,25.34,25.76,10055.63
2021-12-02 12:00:00,25.86,26.04,25.14,25.55,11551.87
2021-12-02 16:00:00,25.55,25.81,24.78,24.93,9218.93
2021-12-02 20:00:00,25.01,26.68,24.93,25.65,17429.69
2021-12-03 00:00:00,25.65,26.23,25.27,25.51,3293.58
2021-12-03 04:00:00,25.51,26.02,25.45,25.98,5528.55
2021-12-03 08:00:00,25.98,26.14,25.5,25.95,7483.86
2021-12-03 12:00:00,25.94,25.98,24.77,25.05,11714.97
2021-12-03 16:00:00,25.06,25.09,23.66,24.0,11221.54
2021-12-03 20:00:00,23.95,24.35,23.0,24.14,5650.24
2021-12-04 00:00:00,24.07,24.3,22.71,22.71,4629.97
2021-12-04 04:00:00,22.69,22.73,18.0,20.5,29486.42
