Date,Open,High,Low,Close,Volume
2019-11-14 00:00:00,0.75,0.7543,0.7241,0.7241,11236.76
2019-11-14 04:00:00,0.7241,0.7597,0.7181,0.7246,11962.98
2019-11-14 08:00:00,0.726,0.7293,0.7105,0.7105,13832.03
2019-11-14 12:00:00,0.7105,0.7339,0.7042,0.7073,17105.39
2019-11-14 16:00:00,0.705,0.7314,0.705,0.721,94324.14
2019-11-14 20:00:00,0.7229,0.7236,0.7123,0.7147,1161.67
2019-11-15 00:00:00,0.7126,0.7215,0.7001,0.7061,4141.35
2019-11-15 04:00:00,0.7061,0.72,0.69,0.7044,29739.25
2019-11-15 08:00:00,0.7058,0.7205,0.7058,0.7109,1832.12
2019-11-15 12:00:00,0.713,0.7293,0.6858,0.6982,15812.3
2019-11-15 16:00:00,0.6982,0.749,0.6888,0.7069,5260.55
2019-11-15 20:00:00,0.6966,0.7394,0.6885,0.7045,13219.57
2019-11-16 00:00:00,0.7036,0.7172,0.6937,0.7104,7327.3
2019-11-16 04:00:00,0.7104,0.7282,0.6975,0.7194,18889.85
2019-11-16 08:00:00,0.7218,0.7395,0.7183,0.7285,12758.9
2019-11-16 12:00:00,0.7283,0.7305,0.7181,0.73,11464.57
2019-11-16 16:00:00,0.7215,0.7481,0.7185,0.7455,29127.03
2019-11-16 20:00:00,0.7462,0.7847,0.742,0.7576,125956.96
2019-11-17 00:00:00,0.7649,0.765,0.7456,0.7501,5353.13
2019-11-17 04:00:00,0.7639,0.91,0.759,0.7978,67020.75
2019-11-17 08:00:00,0.798,0.8113,0.785,0.808,54712.49
2019-11-17 12:00:00,0.808,0.8498,0.7948,0.8254,99289.4
2019-11-17 16:00:00,0.8254,0.86,0.821,0.8239,108392.71
2019-11-17 20:00:00,0.821,0.864,0.8024,0.8159,103213.04
2019-11-18 00:00:00,0.816,0.8481,0.816,0.8333,102781.88
2019-11-18 04:00:00,0.8223,0.834,0.8169,0.8184,22454.09
2019-11-18 08:00:00,0.826,0.8299,0.7725,0.7725,74143.78
2019-11-18 12:00:00,0.7728,0.8,0.7521,0.7699,120920.98
2019-11-18 16:00:00,0.7694,0.81,0.74,0.7595,77648.26
2019-11-18 20:00:00,0.7594,0.7855,0.7419,0.773,31596.62
2019-11-19 00:00:00,0.7721,0.7937,0.7581,0.7644,13606.32
2019-11-19 04:00:00,0.7599,0.7603,0.7045,0.7165,60176.66
2019-11-19 08:00:00,0.7234,0.7441,0.7056,0.7199,55099.61
2019-11-19 12:00:00,0.718,0.7415,0.7077,0.7415,48751.14
2019-11-19 16:00:00,0.7414,0.7727,0.7376,0.7542,70952.86
2019-11-19 20:00:00,0.7505,0.7567,0.7163,0.7252,26756.41
2019-11-20 00:00:00,0.7252,0.7415,0.7104,0.7384,23161.51
2019-11-20 04:00:00,0.7392,0.7411,0.695,0.7053,49679.06
2019-11-20 08:00:00,0.7087,0.7093,0.66,0.6801,141581.2
2019-11-20 12:00:00,0.6837,0.6935,0.6671,0.6725,28171.38
2019-11-20 16:00:00,0.6814,0.75,0.6723,0.6913,77924.13
2019-11-20 20:00:00,0.6991,0.773,0.6991,0.741,45868.37
2019-11-21 00:00:00,0.741,0.7607,0.7194,0.7496,14654.61
2019-11-21 04:00:00,0.753,0.7593,0.7388,0.7408,32541.57
2019-11-21 08:00:00,0.74,0.7433,0.6814,0.6879,66685.86
2019-11-21 12:00:00,0.6879,0.7079,0.6187,0.6503,87378.01
2019-11-21 16:00:00,0.6586,0.6696,0.6279,0.6513,52530.08
2019-11-21 20:00:00,0.6432,0.6662,0.6419,0.6576,36804.82
2019-11-22 00:00:00,0.655,0.7177,0.6547,0.6776,56049.83
2019-11-22 04:00:00,0.6776,0.6844,0.6204,0.6293,92578.36
2019-11-22 08:00:00,0.6326,0.6406,0.5681,0.5956,106038.97
2019-11-22 12:00:00,0.5942,0.5997,0.5269,0.5767,98143.89
2019-11-22 16:00:00,0.5825,0.6482,0.5769,0.6337,80545.3
2019-11-22 20:00:00,0.6339,0.69,0.619,0.6553,127923.72
2019-11-23 00:00:00,0.6547,0.6602,0.6245,0.6553,38318.9
2019-11-23 04:00:00,0.6506,0.6887,0.646,0.6771,28685.41
2019-11-23 08:00:00,0.6809,0.6999,0.6565,0.6999,121038.05
2019-11-23 12:00:00,0.7069,0.7382,0.6782,0.7146,136023.09
2019-11-23 16:00:00,0.7102,0.7644,0.7016,0.7302,244757.95
2019-11-23 20:00:00,0.7257,0.775,0.6973,0.7458,154259.99
2019-11-24 00:00:00,0.7445,0.7499,0.7012,0.7051,73301.45
2019-11-24 04:00:00,0.7108,0.7175,0.6955,0.7159,30264.31
2019-11-24 08:00:00,0.7159,0.7359,0.7111,0.7182,21947.18
2019-11-24 12:00:00,0.7182,0.7198,0.6508,0.6783,74900.6
2019-11-24 16:00:00,0.6718,0.7114,0.6658,0.7042,34730.51
2019-11-24 20:00:00,0.7036,0.7114,0.6484,0.6649,81913.99
2019-11-25 00:00:00,0.6646,0.7297,0.6496,0.657,80778.54
2019-11-25 04:00:00,0.6562,0.663,0.6205,0.659,34420.47
2019-11-25 08:00:00,0.6495,0.6897,0.6422,0.66,33327.38
2019-11-25 12:00:00,0.6616,0.7033,0.655,0.7033,82938.34
2019-11-25 16:00:00,0.7016,0.7202,0.6868,0.695,52353.52
2019-11-25 20:00:00,0.6992,0.7018,0.6528,0.6628,61860.92
2019-11-26 00:00:00,0.6628,0.6834,0.6575,0.6834,32414.86
2019-11-26 04:00:00,0.6823,0.6991,0.6711,0.6817,22125.67
2019-11-26 08:00:00,0.6827,0.6949,0.6715,0.6868,12307.26
2019-11-26 12:00:00,0.6828,0.6828,0.6613,0.6647,16397.81
2019-11-26 16:00:00,0.6647,0.6729,0.65,0.6588,70770.94
2019-11-26 20:00:00,0.6588,0.6707,0.6472,0.6513,37641.73
2019-11-27 00:00:00,0.6579,0.6647,0.6486,0.6489,22279.29
2019-11-27 04:00:00,0.6542,0.6564,0.6277,0.6287,63574.37
2019-11-27 08:00:00,0.632,0.6395,0.6001,0.6339,69265.18
2019-11-27 12:00:00,0.6273,0.679,0.6139,0.65,65549.95
2019-11-27 16:00:00,0.65,0.6659,0.6291,0.6459,127579.57
2019-11-27 20:00:00,0.6463,0.6546,0.6357,0.64,93750.28
2019-11-28 00:00:00,0.64,0.6632,0.64,0.6611,23796.38
2019-11-28 04:00:00,0.6604,0.6656,0.6489,0.6517,20643.17
2019-11-28 08:00:00,0.6517,0.7166,0.6492,0.7166,92035.04
2019-11-28 12:00:00,0.7166,0.7189,0.6823,0.699,69117.34
2019-11-28 16:00:00,0.6947,0.7249,0.6783,0.6802,101940.69
2019-11-28 20:00:00,0.6785,0.7248,0.6606,0.6745,86547.04
2019-11-29 00:00:00,0.6672,0.6987,0.5332,0.688,81337.42
2019-11-29 04:00:00,0.6923,0.698,0.6658,0.6721,25330.53
2019-11-29 08:00:00,0.677,0.6817,0.6704,0.6799,17018.01
2019-11-29 12:00:00,0.672,0.679,0.6611,0.6744,28663.52
2019-11-29 16:00:00,0.6745,0.6913,0.6654,0.6735,37436.16
2019-11-29 20:00:00,0.6808,0.7258,0.67,0.7059,84368.35
2019-11-30 00:00:00,0.7059,0.7103,0.6866,0.691,7600.46
2019-11-30 04:00:00,0.6913,0.6969,0.6855,0.693,13674.26
2019-11-30 08:00:00,0.693,0.6939,0.6649,0.6725,12301.87
2019-11-30 12:00:00,0.6725,0.6848,0.6604,0.6766,33419.58
2019-11-30 16:00:00,0.6766,0.6932,0.662,0.6644,8852.95
2019-11-30 20:00:00,0.6706,0.6835,0.6632,0.6828,3364.54
