Date,Open,High,Low,Close,Volume
2021-11-27 08:00:00,6.1,7.55,2.5,6.737,1989088.2
2021-11-27 12:00:00,6.737,7.945,6.737,7.26,2107326.15
2021-11-27 16:00:00,7.269,7.327,6.951,7.178,431719.27
2021-11-27 20:00:00,7.178,7.647,6.8,7.47,857228.14
2021-11-28 00:00:00,7.47,7.827,6.771,6.782,765215.97
2021-11-28 04:00:00,6.775,7.189,6.681,6.897,453346.87
2021-11-28 08:00:00,6.9,7.008,6.436,6.811,440529.28
2021-11-28 12:00:00,6.804,6.888,6.469,6.752,211330.62
2021-11-28 16:00:00,6.751,6.751,6.083,6.464,781432.71
2021-11-28 20:00:00,6.469,7.114,6.354,6.948,339723.44
2021-11-29 00:00:00,6.968,7.135,6.537,6.746,186566.81
2021-11-29 04:00:00,6.74,6.74,6.497,6.56,109584.72
2021-11-29 08:00:00,6.56,6.65,6.35,6.474,150768.29
2021-11-29 12:00:00,6.477,6.654,6.377,6.504,234899.09
2021-11-29 16:00:00,6.502,7.106,6.333,6.874,440295.9
2021-11-29 20:00:00,6.879,7.22,6.773,6.788,240045.6
2021-11-30 00:00:00,6.795,6.824,6.4,6.522,287742.82
2021-11-30 04:00:00,6.522,6.536,6.251,6.404,130983.03
2021-11-30 08:00:00,6.4,6.733,6.316,6.623,174675.03
2021-11-30 12:00:00,6.614,6.778,6.428,6.444,179112.36
2021-11-30 16:00:00,6.444,6.56,6.272,6.329,146358.09
2021-11-30 20:00:00,6.34,6.39,6.138,6.268,207696.46
2021-12-01 00:00:00,6.276,6.337,6.188,6.252,111849.72
2021-12-01 04:00:00,6.27,6.36,5.949,6.04,195940.26
2021-12-01 08:00:00,6.032,6.176,5.56,5.692,645902.1
2021-12-01 12:00:00,5.683,5.756,5.289,5.494,815846.24
2021-12-01 16:00:00,5.498,5.944,5.483,5.655,601363.5
2021-12-01 20:00:00,5.668,5.733,5.145,5.401,635880.75
2021-12-02 00:00:00,5.407,5.582,5.0,5.105,398991.79
2021-12-02 04:00:00,5.109,5.473,5.1,5.223,273977.53
2021-12-02 08:00:00,5.223,5.3,5.0,5.007,316677.45
2021-12-02 12:00:00,5.004,5.741,4.92,5.574,795092.58
2021-12-02 16:00:00,5.574,5.578,5.152,5.325,385458.54
2021-12-02 20:00:00,5.331,5.7,5.246,5.617,166103.71
2021-12-03 00:00:00,5.616,6.782,5.474,6.21,1768867.95
2021-12-03 04:00:00,6.211,6.301,5.6,5.604,807320.35
2021-12-03 08:00:00,5.604,5.946,5.577,5.892,419625.1
2021-12-03 12:00:00,5.879,5.894,5.532,5.586,278828.2
2021-12-03 16:00:00,5.577,5.583,5.003,5.031,302049.35
2021-12-03 20:00:00,5.02,5.3,4.828,5.1,656645.07
2021-12-04 00:00:00,5.106,5.13,4.82,4.825,486664.5
2021-12-04 04:00:00,4.832,4.863,3.88,4.573,1140541.95
2021-12-04 08:00:00,4.572,4.663,4.213,4.288,307488.75
2021-12-04 12:00:00,4.289,5.571,4.288,5.362,841570.86
2021-12-04 16:00:00,5.363,6.074,5.25,5.273,2402165.39
2021-12-04 20:00:00,5.273,5.521,5.093,5.266,622053.56
2021-12-05 00:00:00,5.268,5.731,5.016,5.254,555653.29
2021-12-05 04:00:00,5.264,5.453,5.14,5.292,388500.66
2021-12-05 08:00:00,5.293,5.457,5.066,5.14,283039.64
2021-12-05 12:00:00,5.135,5.853,4.7,4.753,739330.82
2021-12-05 16:00:00,4.759,4.999,4.577,4.68,335200.57
2021-12-05 20:00:00,4.682,4.869,4.374,4.853,517781.66
2021-12-06 00:00:00,4.861,4.881,4.305,4.461,336606.41
2021-12-06 04:00:00,4.455,4.719,4.094,4.17,520270.42
2021-12-06 08:00:00,4.175,4.243,3.888,4.099,579794.04
2021-12-06 12:00:00,4.103,4.375,3.982,4.28,669104.66
2021-12-06 16:00:00,4.291,4.808,4.113,4.47,1555749.88
2021-12-06 20:00:00,4.479,5.0,4.4,4.894,418615.44
2021-12-07 00:00:00,4.884,4.917,4.67,4.699,188934.39
2021-12-07 04:00:00,4.689,4.736,4.616,4.675,184289.37
2021-12-07 08:00:00,4.673,4.981,4.65,4.953,381197.26
2021-12-07 12:00:00,4.953,5.174,4.642,4.94,377428.75
2021-12-07 16:00:00,4.944,4.98,4.705,4.727,235255.69
2021-12-07 20:00:00,4.723,4.731,4.413,4.47,169240.21
2021-12-08 00:00:00,4.47,4.548,4.421,4.466,96102.85
2021-12-08 04:00:00,4.47,4.549,4.367,4.47,137447.26
2021-12-08 08:00:00,4.472,4.497,4.21,4.3,209107.76
2021-12-08 12:00:00,4.298,4.623,4.26,4.54,292141.85
2021-12-08 16:00:00,4.532,4.604,4.408,4.486,200888.46
2021-12-08 20:00:00,4.491,4.511,4.24,4.247,291774.53
2021-12-09 00:00:00,4.256,4.431,4.214,4.263,191578.35
2021-12-09 04:00:00,4.268,4.278,4.065,4.183,202752.2
2021-12-09 08:00:00,4.178,4.375,4.145,4.294,302114.44
2021-12-09 12:00:00,4.286,4.392,3.977,4.077,416432.33
2021-12-09 16:00:00,4.091,4.15,3.942,3.962,274935.06
2021-12-09 20:00:00,3.958,4.075,3.9,3.903,235624.71
2021-12-10 00:00:00,3.908,4.057,3.837,3.938,336421.34
2021-12-10 04:00:00,3.938,3.939,3.675,3.702,249665.11
2021-12-10 08:00:00,3.702,3.992,3.689,3.99,287960.56
2021-12-10 12:00:00,3.992,4.099,3.662,3.733,438831.35
2021-12-10 16:00:00,3.737,3.769,3.568,3.688,327680.14
2021-12-10 20:00:00,3.688,3.774,3.5,3.504,207485.58
2021-12-11 00:00:00,3.5,3.672,3.436,3.616,212597.52
2021-12-11 04:00:00,3.618,3.71,3.564,3.568,182628.0
2021-12-11 08:00:00,3.567,3.791,3.564,3.702,255706.7
2021-12-11 12:00:00,3.71,3.756,3.619,3.677,122193.64
2021-12-11 16:00:00,3.682,3.807,3.645,3.65,169020.86
2021-12-11 20:00:00,3.645,3.826,3.637,3.793,90019.5
2021-12-12 00:00:00,3.788,4.197,3.767,4.147,555241.23
2021-12-12 04:00:00,4.147,4.905,4.124,4.905,1739944.97
2021-12-12 08:00:00,4.906,4.93,4.29,4.483,1920824.7
2021-12-12 12:00:00,4.478,4.86,4.467,4.609,1339031.63
2021-12-12 16:00:00,4.611,5.41,4.601,5.124,2679993.73
2021-12-12 20:00:00,5.128,5.449,4.904,4.963,1549906.63
2021-12-13 00:00:00,4.96,5.095,4.562,4.765,869853.91
2021-12-13 04:00:00,4.764,4.877,4.365,4.399,844706.4
2021-12-13 08:00:00,4.399,4.628,4.355,4.384,758110.4
