Date,Open,High,Low,Close,Volume
2021-03-25 08:00:00,2.71,3.19,2.083,2.311,11677637.149
2021-03-25 12:00:00,2.311,2.579,1.928,2.268,5087987.398
2021-03-25 16:00:00,2.268,3.1,2.256,2.714,7899992.744
2021-03-25 20:00:00,2.709,2.869,2.552,2.728,2378566.58
2021-03-26 00:00:00,2.719,3.024,2.501,2.681,2390253.517
2021-03-26 04:00:00,2.677,2.697,2.439,2.581,1335695.546
2021-03-26 08:00:00,2.586,3.29,2.546,3.29,5833691.021
2021-03-26 12:00:00,3.29,3.55,3.063,3.083,10035931.934
2021-03-26 16:00:00,3.083,3.327,2.951,3.15,4143745.683
2021-03-26 20:00:00,3.149,3.3,3.061,3.113,1934317.793
2021-03-27 00:00:00,3.107,3.5,3.094,3.282,2035931.897
2021-03-27 04:00:00,3.288,3.8,3.279,3.662,4187492.946
2021-03-27 08:00:00,3.662,3.888,3.408,3.426,5349436.426
2021-03-27 12:00:00,3.438,3.621,3.312,3.416,3077842.75
2021-03-27 16:00:00,3.415,3.663,3.36,3.49,2436111.645
2021-03-27 20:00:00,3.49,3.68,3.333,3.447,1567618.521
2021-03-28 00:00:00,3.451,3.487,3.235,3.427,1337665.12
2021-03-28 04:00:00,3.431,3.45,3.192,3.249,1010642.72
2021-03-28 08:00:00,3.248,3.6,3.141,3.452,2734785.252
2021-03-28 12:00:00,3.461,3.6,3.394,3.466,1958957.077
2021-03-28 16:00:00,3.462,3.462,3.18,3.299,1310511.117
2021-03-28 20:00:00,3.3,3.48,3.261,3.342,785083.737
2021-03-29 00:00:00,3.342,3.438,3.242,3.383,527810.908
2021-03-29 04:00:00,3.384,3.39,3.228,3.244,787277.272
2021-03-29 08:00:00,3.244,3.45,3.225,3.321,1502159.052
2021-03-29 12:00:00,3.321,3.393,3.27,3.326,855774.084
2021-03-29 16:00:00,3.314,3.599,3.3,3.455,1616649.678
2021-03-29 20:00:00,3.455,3.7,3.3,3.689,1456454.669
2021-03-30 00:00:00,3.69,3.88,3.63,3.734,1607345.585
2021-03-30 04:00:00,3.737,4.37,3.7,4.131,4535935.342
2021-03-30 08:00:00,4.13,4.398,3.9,4.036,2918665.475
2021-03-30 12:00:00,4.035,4.22,3.854,4.135,1881412.906
