Date,Open,High,Low,Close,Volume
2020-12-10 04:00:00,10.0,10.0,9.567,9.692,4798.04
2020-12-10 08:00:00,9.6,10.418,9.038,9.37,7651.79
2020-12-10 12:00:00,9.37,10.385,8.993,9.416,12103.18
2020-12-10 16:00:00,9.424,9.544,9.044,9.177,2277.97
2020-12-10 20:00:00,9.444,9.894,9.173,9.78,4143.08
2020-12-11 00:00:00,9.73,9.73,8.108,8.694,12299.74
2020-12-11 04:00:00,8.791,8.899,7.451,7.926,9693.38
2020-12-11 08:00:00,7.911,8.3,7.349,7.472,25096.98
2020-12-11 12:00:00,7.548,8.0,7.428,7.88,12962.01
2020-12-11 16:00:00,7.88,7.88,7.201,7.424,8680.18
2020-12-11 20:00:00,7.583,7.96,7.4,7.515,11966.4
2020-12-12 00:00:00,7.522,8.578,7.481,8.373,11818.58
2020-12-12 04:00:00,8.499,8.75,8.3,8.348,4543.97
2020-12-12 08:00:00,8.475,8.924,8.31,8.87,5003.72
2020-12-12 12:00:00,8.888,9.058,8.285,8.756,13000.93
2020-12-12 16:00:00,8.762,9.0,8.514,8.992,7777.89
2020-12-12 20:00:00,8.992,9.48,8.859,9.109,13274.65
2020-12-13 00:00:00,9.119,9.666,8.966,9.416,5132.32
2020-12-13 04:00:00,9.511,10.116,9.354,9.999,7543.91
2020-12-13 08:00:00,9.996,10.848,9.816,10.434,11081.29
2020-12-13 12:00:00,10.484,11.169,10.348,10.666,17223.69
2020-12-13 16:00:00,10.767,11.53,10.767,11.031,7301.77
2020-12-13 20:00:00,11.043,11.496,10.375,10.817,8820.33
2020-12-14 00:00:00,11.017,11.264,10.134,10.64,26890.21
2020-12-14 04:00:00,10.588,10.589,9.896,10.398,6075.37
2020-12-14 08:00:00,10.538,10.569,9.671,9.969,4218.31
2020-12-14 12:00:00,10.125,11.284,9.622,11.131,14397.31
2020-12-14 16:00:00,11.028,11.198,10.613,11.0,4498.06
2020-12-14 20:00:00,11.0,13.499,10.796,12.972,23332.69
2020-12-15 00:00:00,13.4,14.634,13.381,14.082,21482.78
2020-12-15 04:00:00,14.206,14.206,12.787,13.732,18209.7
2020-12-15 08:00:00,13.734,14.153,12.655,13.946,20338.91
2020-12-15 12:00:00,13.806,14.427,12.562,13.2,21878.44
2020-12-15 16:00:00,13.244,14.169,12.749,13.622,15960.1
2020-12-15 20:00:00,13.622,15.683,13.602,14.824,25083.75
2020-12-16 00:00:00,14.824,15.399,14.111,14.73,19880.57
2020-12-16 04:00:00,14.991,16.062,14.571,15.768,13666.6
2020-12-16 08:00:00,15.888,15.95,14.071,14.73,13914.68
2020-12-16 12:00:00,14.794,17.282,12.97,16.797,42451.19
2020-12-16 16:00:00,16.797,17.5,15.5,16.654,28872.96
2020-12-16 20:00:00,16.78,16.978,15.5,16.144,17459.52
2020-12-17 00:00:00,16.227,17.8,14.975,15.367,16597.34
2020-12-17 04:00:00,15.573,16.119,14.8,15.724,6122.57
2020-12-17 08:00:00,15.579,17.36,14.7,16.236,9483.47
2020-12-17 12:00:00,16.517,17.0,15.683,16.25,7805.54
2020-12-17 16:00:00,16.522,16.95,13.882,14.809,11565.09
2020-12-17 20:00:00,14.922,15.215,13.677,14.25,7272.91
2020-12-18 00:00:00,14.251,14.854,13.13,13.85,7336.1
2020-12-18 04:00:00,13.845,14.706,13.713,14.677,2189.07
