Date,Open,High,Low,Close,Volume
2021-06-11 04:00:00,71.89,85.5,71.89,79.41,127884.16
2021-06-11 08:00:00,79.41,87.55,73.21,74.34,186439.8
2021-06-11 12:00:00,74.34,74.63,63.81,64.79,46415.14
2021-06-11 16:00:00,64.79,68.92,63.73,66.39,17578.37
2021-06-11 20:00:00,66.39,66.63,60.18,61.5,14988.44
2021-06-12 00:00:00,61.45,61.46,51.85,53.8,33806.43
2021-06-12 04:00:00,53.56,54.9,49.9,54.39,22608.71
2021-06-12 08:00:00,54.37,56.83,52.58,55.54,15377.09
2021-06-12 12:00:00,55.54,59.32,55.09,56.38,19057.55
2021-06-12 16:00:00,56.38,57.46,55.43,56.46,4638.51
2021-06-12 20:00:00,56.5,56.69,53.63,53.98,1935.24
2021-06-13 00:00:00,53.98,55.62,51.29,51.9,6293.22
2021-06-13 04:00:00,52.05,52.81,50.5,52.08,7535.46
2021-06-13 08:00:00,52.09,53.85,51.59,53.03,5176.97
2021-06-13 12:00:00,52.67,53.89,52.01,52.04,5121.95
2021-06-13 16:00:00,52.04,58.4,50.63,55.39,8565.83
2021-06-13 20:00:00,55.39,58.4,55.39,57.55,4241.63
2021-06-14 00:00:00,57.59,58.86,56.06,56.07,3040.14
2021-06-14 04:00:00,56.07,56.95,55.11,55.2,3592.45
2021-06-14 08:00:00,55.34,57.19,54.52,57.17,5804.95
2021-06-14 12:00:00,57.15,61.76,56.41,60.09,13179.62
2021-06-14 16:00:00,60.16,60.83,58.34,58.34,5967.92
2021-06-14 20:00:00,58.34,58.64,55.2,56.73,4790.13
2021-06-15 00:00:00,56.84,58.48,56.56,57.57,2236.24
2021-06-15 04:00:00,57.58,59.22,57.09,57.2,1877.38
2021-06-15 08:00:00,57.2,57.79,55.57,56.05,4771.56
2021-06-15 12:00:00,56.05,60.0,55.56,56.23,4052.0
2021-06-15 16:00:00,56.35,58.98,55.57,56.81,4813.47
2021-06-15 20:00:00,56.87,58.39,55.76,56.04,1660.25
2021-06-16 00:00:00,55.95,56.02,55.12,55.12,2098.92
2021-06-16 04:00:00,55.12,55.63,54.69,55.62,2613.0
2021-06-16 08:00:00,55.62,56.52,51.72,52.12,8387.52
2021-06-16 12:00:00,52.11,52.97,50.8,51.75,5199.74
2021-06-16 16:00:00,51.7,56.25,50.8,53.37,27160.59
2021-06-16 20:00:00,53.38,53.44,52.29,52.59,690.1
2021-06-17 00:00:00,52.3,54.59,52.3,54.04,1462.32
2021-06-17 04:00:00,53.94,54.05,52.29,53.05,2229.67
2021-06-17 08:00:00,53.03,53.41,52.54,52.68,1501.44
2021-06-17 12:00:00,52.55,53.88,51.15,52.69,3246.06
2021-06-17 16:00:00,52.42,52.42,50.01,50.84,3521.29
2021-06-17 20:00:00,50.66,51.79,50.45,51.37,799.39
2021-06-18 00:00:00,51.76,52.81,51.23,51.89,2660.66
2021-06-18 04:00:00,51.84,52.11,50.05,50.1,2144.22
2021-06-18 08:00:00,50.09,50.47,49.18,49.59,5061.79
2021-06-18 12:00:00,49.59,49.61,45.32,46.14,7086.46
2021-06-18 16:00:00,46.46,47.5,44.17,44.44,5715.62
2021-06-18 20:00:00,44.44,47.36,44.44,46.74,5760.36
2021-06-19 00:00:00,46.68,47.76,45.5,45.79,2012.6
2021-06-19 04:00:00,45.79,47.74,45.3,46.35,2608.98
2021-06-19 08:00:00,46.35,46.55,45.33,46.45,3130.16
2021-06-19 12:00:00,46.45,47.98,45.73,47.14,5896.78
2021-06-19 16:00:00,47.14,72.2,45.97,55.4,174190.05
2021-06-19 20:00:00,55.39,55.79,51.01,51.64,16752.47
2021-06-20 00:00:00,51.63,52.68,48.32,49.6,31822.75
2021-06-20 04:00:00,49.91,52.73,49.0,49.04,22052.61
2021-06-20 08:00:00,49.04,50.07,44.15,44.7,17048.78
2021-06-20 12:00:00,44.65,46.96,44.02,46.16,11557.47
2021-06-20 16:00:00,45.94,48.13,45.24,48.13,7849.27
2021-06-20 20:00:00,48.13,48.2,46.56,47.1,5155.03
2021-06-21 00:00:00,47.03,48.39,44.52,44.99,6273.65
2021-06-21 04:00:00,44.86,45.85,41.45,41.83,10762.54
2021-06-21 08:00:00,41.62,42.4,37.15,39.5,23668.31
2021-06-21 12:00:00,39.23,40.94,38.27,39.4,7299.05
2021-06-21 16:00:00,39.24,39.42,36.3,37.57,10519.07
2021-06-21 20:00:00,37.06,37.55,34.28,34.56,5975.16
2021-06-22 00:00:00,34.99,39.47,34.1,38.94,14310.96
2021-06-22 04:00:00,38.9,43.28,38.34,39.05,12851.42
2021-06-22 08:00:00,38.81,47.22,35.8,40.27,60775.39
2021-06-22 12:00:00,40.27,49.0,34.27,44.0,121777.4
2021-06-22 16:00:00,44.02,47.0,42.6,44.18,48966.79
2021-06-22 20:00:00,44.35,48.0,41.3,41.93,35402.18
2021-06-23 00:00:00,42.0,44.55,41.2,44.0,13410.32
2021-06-23 04:00:00,44.03,45.0,42.38,42.67,9338.94
2021-06-23 08:00:00,42.77,43.58,41.11,42.62,8776.51
2021-06-23 12:00:00,42.62,45.39,41.7,44.6,20373.29
2021-06-23 16:00:00,44.3,45.85,43.01,43.01,4934.27
2021-06-23 20:00:00,43.01,44.9,42.41,44.9,5090.64
2021-06-24 00:00:00,44.6,44.96,42.6,42.7,2745.5
2021-06-24 04:00:00,42.95,43.85,42.66,43.5,2250.57
2021-06-24 08:00:00,43.5,45.2,43.26,44.63,5025.76
2021-06-24 12:00:00,44.63,47.84,44.55,45.0,17750.51
2021-06-24 16:00:00,45.25,46.94,44.8,46.13,4205.43
2021-06-24 20:00:00,46.13,47.48,45.46,45.74,11263.14
2021-06-25 00:00:00,45.82,48.43,45.7,46.6,5172.51
2021-06-25 04:00:00,46.87,47.0,45.35,45.67,3933.61
2021-06-25 08:00:00,45.66,46.23,42.4,42.56,3514.87
2021-06-25 12:00:00,42.57,43.28,41.05,41.78,2822.6
2021-06-25 16:00:00,41.75,42.68,38.84,40.17,9444.56
2021-06-25 20:00:00,39.92,40.62,38.17,38.98,3338.35
2021-06-26 00:00:00,38.98,39.86,38.01,38.04,3267.51
2021-06-26 04:00:00,38.04,39.61,36.87,36.97,2448.29
2021-06-26 08:00:00,36.88,38.74,35.9,38.5,4040.25
2021-06-26 12:00:00,38.5,38.5,36.0,36.66,5097.22
2021-06-26 16:00:00,36.87,38.53,36.4,37.55,4901.54
2021-06-26 20:00:00,37.39,38.11,36.63,38.11,1457.95
2021-06-27 00:00:00,38.14,39.61,37.86,39.61,4691.59
2021-06-27 04:00:00,39.33,39.6,37.75,38.1,2909.79
2021-06-27 08:00:00,38.18,38.44,36.88,37.71,2593.38
2021-06-27 12:00:00,37.71,38.68,37.0,37.39,3781.36
2021-06-27 16:00:00,37.39,37.63,35.81,36.11,2985.78
2021-06-27 20:00:00,36.11,41.5,35.98,40.65,12445.0
2021-06-28 00:00:00,40.65,41.71,40.0,40.34,3506.74
2021-06-28 04:00:00,40.56,42.87,39.83,42.49,5983.73
2021-06-28 08:00:00,42.5,43.0,39.86,40.8,6532.7
2021-06-28 12:00:00,40.94,43.0,40.32,43.0,5805.92
2021-06-28 16:00:00,42.76,43.85,41.64,42.02,3725.15
2021-06-28 20:00:00,42.06,42.56,40.5,41.43,3644.05
2021-06-29 00:00:00,41.43,42.87,41.23,41.37,2026.9
2021-06-29 04:00:00,41.38,42.32,40.9,41.5,4615.2
2021-06-29 08:00:00,41.51,43.42,41.5,43.1,2406.53
2021-06-29 12:00:00,43.1,45.19,43.1,44.19,3961.01
2021-06-29 16:00:00,44.2,45.42,44.03,44.81,1202.47
2021-06-29 20:00:00,44.84,45.9,44.01,44.51,2771.63
2021-06-30 00:00:00,44.4,44.4,42.51,42.51,2805.36
2021-06-30 04:00:00,42.52,42.86,41.36,42.49,2524.53
2021-06-30 08:00:00,42.75,43.02,40.81,41.75,2724.55
2021-06-30 12:00:00,41.97,42.05,39.95,40.34,1653.11
2021-06-30 16:00:00,40.34,42.56,39.97,42.05,745.98
2021-06-30 20:00:00,42.3,43.27,41.89,42.89,675.83
2021-07-01 00:00:00,42.89,43.43,40.75,40.81,1927.51
2021-07-01 04:00:00,40.76,41.32,39.83,40.14,1286.64
2021-07-01 08:00:00,40.08,40.7,39.5,40.45,2148.65
2021-07-01 12:00:00,40.46,41.0,37.78,38.61,19128.23
2021-07-01 16:00:00,38.6,38.72,37.0,37.16,7739.03
2021-07-01 20:00:00,37.2,38.85,37.15,38.54,3418.27
2021-07-02 00:00:00,38.31,38.86,36.78,36.89,2547.61
2021-07-02 04:00:00,36.9,37.64,36.45,37.35,2495.21
2021-07-02 08:00:00,37.39,37.89,36.43,36.57,1831.44
2021-07-02 12:00:00,36.76,38.99,36.57,38.28,2194.47
2021-07-02 16:00:00,38.28,38.5,37.23,37.55,1459.95
2021-07-02 20:00:00,37.55,38.3,37.02,38.26,1498.68
2021-07-03 00:00:00,38.3,38.55,37.78,37.95,762.73
2021-07-03 04:00:00,37.95,39.93,37.83,39.68,2291.55
2021-07-03 08:00:00,39.68,39.95,39.2,39.3,1762.7
2021-07-03 12:00:00,39.47,39.7,38.9,39.24,1216.0
2021-07-03 16:00:00,39.1,39.33,38.81,39.06,680.18
2021-07-03 20:00:00,38.9,39.95,38.51,38.75,2432.85
2021-07-04 00:00:00,38.7,39.05,38.12,38.59,630.79
2021-07-04 04:00:00,38.39,40.5,38.08,40.39,2234.78
2021-07-04 08:00:00,40.5,40.5,39.69,39.86,1513.37
2021-07-04 12:00:00,39.86,39.97,38.92,39.28,2919.17
2021-07-04 16:00:00,39.2,41.0,39.01,40.78,2364.97
2021-07-04 20:00:00,40.58,40.91,39.04,39.04,4982.21
2021-07-05 00:00:00,39.04,39.04,37.24,37.93,3577.99
2021-07-05 04:00:00,37.92,38.32,37.14,37.81,2900.08
2021-07-05 08:00:00,37.81,40.77,36.5,36.95,18353.97
2021-07-05 12:00:00,36.95,37.66,36.48,36.83,2344.41
2021-07-05 16:00:00,37.07,37.6,36.3,37.47,2830.41
2021-07-05 20:00:00,37.59,37.59,36.53,36.93,1072.71
2021-07-06 00:00:00,36.93,37.82,36.93,37.26,1476.87
2021-07-06 04:00:00,37.32,39.85,37.32,39.73,5959.77
2021-07-06 08:00:00,39.7,40.52,37.87,38.91,8792.12
2021-07-06 12:00:00,38.91,39.13,38.31,38.56,1675.8
2021-07-06 16:00:00,38.55,39.2,37.71,39.08,1753.72
2021-07-06 20:00:00,39.08,39.12,37.98,39.07,1715.06
2021-07-07 00:00:00,39.07,39.52,38.58,38.79,4415.69
2021-07-07 04:00:00,38.89,40.94,38.75,40.65,2747.88
2021-07-07 08:00:00,40.51,41.31,39.83,40.05,3429.21
2021-07-07 12:00:00,40.05,40.94,38.95,39.44,3738.93
2021-07-07 16:00:00,39.41,40.48,39.32,40.1,2419.55
2021-07-07 20:00:00,40.1,40.59,39.0,39.05,2498.99
2021-07-08 00:00:00,38.96,39.16,37.37,37.59,3154.44
2021-07-08 04:00:00,37.55,38.68,35.82,36.2,3536.21
2021-07-08 08:00:00,36.19,37.16,35.9,36.12,6437.92
2021-07-08 12:00:00,36.24,36.98,36.06,36.78,3023.33
2021-07-08 16:00:00,36.88,37.04,36.27,36.99,576.15
2021-07-08 20:00:00,36.98,37.08,35.5,35.87,1846.22
2021-07-09 00:00:00,35.88,36.56,34.89,35.77,1926.04
2021-07-09 04:00:00,35.8,36.65,35.65,35.83,1107.81
2021-07-09 08:00:00,35.73,35.96,35.22,35.54,1683.76
2021-07-09 12:00:00,35.41,37.11,34.83,36.61,4474.97
2021-07-09 16:00:00,36.78,38.93,36.11,36.18,3205.23
2021-07-09 20:00:00,36.21,36.94,35.9,36.43,1187.3
2021-07-10 00:00:00,36.38,36.72,36.04,36.04,2463.61
2021-07-10 04:00:00,36.1,36.27,35.43,35.54,2442.0
2021-07-10 08:00:00,35.43,35.66,34.35,35.09,4029.25
2021-07-10 12:00:00,34.97,35.16,33.57,34.57,6283.1
2021-07-10 16:00:00,34.51,35.21,33.65,34.3,4654.76
2021-07-10 20:00:00,34.32,34.56,33.91,34.05,2751.14
2021-07-11 00:00:00,34.23,34.43,34.02,34.25,1312.31
2021-07-11 04:00:00,34.17,34.41,34.04,34.25,1241.27
2021-07-11 08:00:00,34.27,35.18,34.1,34.58,4087.85
2021-07-11 12:00:00,34.58,34.8,34.33,34.61,1184.37
2021-07-11 16:00:00,34.6,35.33,34.48,34.69,1883.39
2021-07-11 20:00:00,34.78,35.34,34.64,34.93,1331.43
2021-07-12 00:00:00,34.96,35.05,34.17,35.03,2577.91
2021-07-12 04:00:00,35.03,35.4,34.11,34.53,2776.99
2021-07-12 08:00:00,34.6,34.94,33.87,34.3,4009.89
2021-07-12 12:00:00,34.27,34.44,33.85,34.2,2397.45
2021-07-12 16:00:00,34.17,34.5,32.31,32.95,8048.56
2021-07-12 20:00:00,32.88,32.93,32.42,32.88,3443.66
2021-07-13 00:00:00,32.68,33.2,32.57,32.61,2403.71
2021-07-13 04:00:00,32.61,32.99,31.37,32.75,2587.42
2021-07-13 08:00:00,32.75,32.91,31.15,31.6,7425.15
2021-07-13 12:00:00,31.55,32.19,30.79,31.76,3769.59
2021-07-13 16:00:00,31.78,32.06,30.86,30.89,1442.98
2021-07-13 20:00:00,30.89,31.57,30.68,30.79,1456.43
2021-07-14 00:00:00,31.01,31.01,29.38,29.66,4020.68
2021-07-14 04:00:00,29.67,29.88,29.03,29.45,1098.86
2021-07-14 08:00:00,29.45,30.48,29.32,30.14,1973.98
2021-07-14 12:00:00,30.21,31.83,29.87,31.53,3478.57
2021-07-14 16:00:00,31.51,32.48,31.12,31.24,3419.04
2021-07-14 20:00:00,31.15,31.49,31.1,31.42,1306.29
2021-07-15 00:00:00,31.44,31.95,31.0,31.51,3005.29
2021-07-15 04:00:00,31.56,35.99,31.56,33.53,19058.02
2021-07-15 08:00:00,33.61,34.87,32.31,32.62,6704.18
2021-07-15 12:00:00,32.6,32.71,31.48,31.83,6042.44
2021-07-15 16:00:00,31.83,31.95,30.98,31.74,3562.25
