Date,Open,High,Low,Close,Volume
2020-08-29 04:00:00,45.07,100.0,45.07,59.093,8186.184
2020-08-29 08:00:00,59.12,67.9,59.12,62.052,40365.969
2020-08-29 12:00:00,62.053,62.49,56.86,57.994,14074.782
2020-08-29 16:00:00,57.995,75.898,57.995,70.607,71022.134
2020-08-29 20:00:00,70.607,78.794,70.425,74.989,72966.718
2020-08-30 00:00:00,74.99,90.101,70.1,81.501,108833.553
2020-08-30 04:00:00,81.502,86.666,76.609,77.827,62816.166
2020-08-30 08:00:00,77.827,85.3,73.602,75.758,42653.198
2020-08-30 12:00:00,75.515,77.336,70.4,77.243,39583.789
2020-08-30 16:00:00,77.335,84.01,73.112,74.44,51075.329
2020-08-30 20:00:00,74.147,74.989,71.0,71.8,18174.251
2020-08-31 00:00:00,72.141,75.033,71.0,72.159,12488.141
2020-08-31 04:00:00,72.173,73.812,71.089,71.551,8931.069
2020-08-31 08:00:00,71.551,74.0,67.672,68.4,29123.927
2020-08-31 12:00:00,68.472,70.0,65.311,68.99,27169.298
2020-08-31 16:00:00,68.983,73.0,65.8,66.556,25685.404
2020-08-31 20:00:00,66.556,71.39,64.496,68.369,14821.276
2020-09-01 00:00:00,68.406,73.0,67.439,70.733,24723.984
2020-09-01 04:00:00,70.557,71.513,65.811,67.79,19168.232
2020-09-01 08:00:00,67.781,75.0,66.0,70.681,47581.796
2020-09-01 12:00:00,70.663,70.741,66.5,66.81,17747.282
2020-09-01 16:00:00,66.81,68.0,63.0,63.799,16009.835
2020-09-01 20:00:00,63.834,65.2,57.906,60.222,43368.763
2020-09-02 00:00:00,60.213,68.3,60.0,66.804,22131.22
2020-09-02 04:00:00,66.812,68.032,61.1,62.333,16645.174
2020-09-02 08:00:00,62.333,65.999,55.495,60.553,20967.496
2020-09-02 12:00:00,60.553,62.88,55.988,58.312,17319.542
2020-09-02 16:00:00,58.115,58.899,54.183,58.835,10530.236
2020-09-02 20:00:00,58.882,62.92,58.508,59.371,10248.323
2020-09-03 00:00:00,59.353,59.602,55.51,56.086,12796.705
2020-09-03 04:00:00,56.082,61.999,54.697,60.854,24411.744
2020-09-03 08:00:00,61.023,62.057,40.0,49.828,43700.868
2020-09-03 12:00:00,49.829,53.0,43.987,50.669,55228.773
2020-09-03 16:00:00,50.733,53.0,46.194,47.404,17944.311
2020-09-03 20:00:00,47.551,52.566,40.0,43.052,36766.534
2020-09-04 00:00:00,43.216,47.0,42.084,45.404,17754.448
2020-09-04 04:00:00,45.455,46.595,40.5,42.301,16132.924
2020-09-04 08:00:00,42.18,49.19,42.009,45.131,33049.765
2020-09-04 12:00:00,45.233,49.11,41.5,44.999,27449.673
2020-09-04 16:00:00,44.999,47.0,43.756,45.095,11309.298
2020-09-04 20:00:00,45.188,47.326,44.545,45.419,7835.767
2020-09-05 00:00:00,45.496,47.046,44.495,46.0,8456.754
2020-09-05 04:00:00,46.095,46.377,44.084,44.335,6790.87
2020-09-05 08:00:00,44.272,44.272,33.073,35.378,42765.754
2020-09-05 12:00:00,35.326,36.411,31.318,35.368,39460.399
2020-09-05 16:00:00,35.368,37.664,25.834,29.717,55498.585
2020-09-05 20:00:00,29.748,32.269,28.6,30.78,16242.718
2020-09-06 00:00:00,30.497,31.928,27.0,27.495,28579.995
2020-09-06 04:00:00,27.565,31.996,25.7,31.627,52803.385
2020-09-06 08:00:00,31.335,34.686,29.554,34.086,44848.859
2020-09-06 12:00:00,34.086,35.056,30.427,31.458,35756.687
2020-09-06 16:00:00,31.532,37.789,30.5,37.619,25207.69
2020-09-06 20:00:00,37.551,39.999,35.3,38.404,43499.29
2020-09-07 00:00:00,38.341,45.0,37.716,40.696,56953.106
2020-09-07 04:00:00,40.691,42.275,35.479,37.498,47326.932
2020-09-07 08:00:00,37.498,38.999,31.001,32.352,61792.298
2020-09-07 12:00:00,32.377,38.001,29.192,37.738,77831.914
2020-09-07 16:00:00,37.738,38.207,34.252,34.317,28758.044
2020-09-07 20:00:00,34.317,38.999,32.859,37.849,23937.883
2020-09-08 00:00:00,37.999,38.499,36.341,37.242,17157.8
2020-09-08 04:00:00,37.196,37.619,34.208,35.467,32716.91
2020-09-08 08:00:00,35.468,36.105,32.391,33.116,35626.579
2020-09-08 12:00:00,33.063,36.441,32.84,34.718,24740.863
2020-09-08 16:00:00,34.769,36.0,33.244,33.244,19951.474
2020-09-08 20:00:00,33.301,33.5,30.5,32.841,35267.909
2020-09-09 00:00:00,32.825,34.21,30.617,31.788,22298.301
2020-09-09 04:00:00,31.896,33.952,31.401,33.63,19579.041
2020-09-09 08:00:00,33.63,35.499,33.176,34.056,19185.051
2020-09-09 12:00:00,34.034,37.789,33.077,36.237,32771.038
2020-09-09 16:00:00,36.302,37.613,34.273,35.695,28777.467
2020-09-09 20:00:00,35.695,36.409,33.763,34.568,16331.418
2020-09-10 00:00:00,34.525,36.891,34.474,35.658,14833.295
2020-09-10 04:00:00,35.571,40.227,35.387,37.932,36506.787
2020-09-10 08:00:00,37.934,38.879,36.993,37.453,17077.696
2020-09-10 12:00:00,37.453,39.943,37.301,39.3,27234.114
2020-09-10 16:00:00,39.3,39.956,35.416,35.772,23666.357
2020-09-10 20:00:00,35.773,37.279,35.0,37.036,15023.507
