Date,Open,High,Low,Close,Volume
2019-06-24 08:00:00,0.9621,1.209,0.9621,1.0016,20362.78
2019-06-24 12:00:00,1.0033,1.0285,0.9973,0.9995,23649.04
2019-06-24 16:00:00,0.9995,1.014,0.9973,1.0038,6308.36
2019-06-24 20:00:00,0.9989,0.9989,0.9989,0.9989,137.7
2019-06-25 00:00:00,0.9987,1.002,0.9922,0.9922,14975.74
2019-06-25 04:00:00,1.0013,1.0014,0.9966,1.0009,2460.01
2019-06-25 08:00:00,0.9982,1.0014,0.9975,1.0014,1010.77
2019-06-25 12:00:00,1.0067,1.0067,1.0067,1.0067,564.0
2019-06-25 16:00:00,1.0064,1.0064,0.9997,0.9997,489.46
2019-06-25 20:00:00,1.006,1.006,0.9971,0.9971,2629.35
2019-06-26 00:00:00,1.0054,1.0054,0.9974,0.9974,491.9
2019-06-26 04:00:00,1.004,1.004,1.004,1.004,68.37
2019-06-26 08:00:00,1.004,1.0059,0.9973,1.0059,5354.95
2019-06-26 12:00:00,0.9989,1.0029,0.9984,1.0029,565.11
2019-06-26 16:00:00,1.0029,1.0067,0.9973,1.0067,3722.65
2019-06-26 20:00:00,1.0067,1.016,0.9977,1.0088,4190.49
2019-06-27 00:00:00,1.017,1.017,0.9957,1.0087,3479.63
2019-06-27 04:00:00,0.9973,1.0075,0.9973,1.0075,563.28
2019-06-27 08:00:00,1.0075,1.0399,1.0043,1.0044,2608.57
2019-06-27 12:00:00,1.011,1.0399,1.0077,1.0096,2993.57
2019-06-27 16:00:00,1.008,1.032,1.0025,1.0141,7285.64
2019-06-27 20:00:00,1.0091,1.8,1.0,1.012,24805.05
2019-06-28 00:00:00,1.018,1.0757,1.0064,1.0169,1864.69
2019-06-28 04:00:00,1.0169,1.017,1.0009,1.0076,6810.92
2019-06-28 08:00:00,1.012,1.032,1.0029,1.0061,3766.47
2019-06-28 12:00:00,1.0009,1.198,0.9983,1.001,99677.79
2019-06-28 16:00:00,1.0064,1.0262,1.0001,1.0006,10386.65
2019-06-28 20:00:00,1.0063,1.07,0.9915,1.0061,71041.04
2019-06-29 00:00:00,0.9979,1.0063,0.9978,1.0018,5644.1
2019-06-29 04:00:00,1.0118,1.0325,1.001,1.001,10544.89
2019-06-29 08:00:00,1.0108,1.0119,1.0021,1.0084,993.54
2019-06-29 12:00:00,1.0036,1.0302,1.0006,1.0009,22185.94
2019-06-29 16:00:00,1.0036,1.0055,1.0001,1.0022,3923.24
2019-06-29 20:00:00,1.0055,1.0055,0.9961,1.0,4004.59
2019-06-30 00:00:00,1.0012,1.0031,0.9971,1.003,2251.35
2019-06-30 04:00:00,0.999,1.0031,0.9929,1.0006,4868.06
2019-06-30 08:00:00,1.0029,1.0029,0.9996,1.0029,4347.15
2019-06-30 12:00:00,1.0042,1.0078,1.0005,1.0055,9156.78
2019-06-30 16:00:00,1.0073,1.0078,0.9985,0.9985,8546.88
2019-06-30 20:00:00,0.9988,1.0071,0.996,1.0071,9747.52
2019-07-01 00:00:00,1.0057,1.0059,0.9956,1.0001,4310.01
2019-07-01 04:00:00,1.0059,1.0061,1.002,1.0061,1213.08
2019-07-01 08:00:00,1.001,1.0043,0.9978,1.0042,2859.22
2019-07-01 12:00:00,1.0042,1.0043,0.9983,1.0033,2091.09
2019-07-01 16:00:00,0.9991,1.0043,0.9941,1.0013,9323.69
2019-07-01 20:00:00,1.0013,1.0018,0.9967,1.0014,4918.45
2019-07-02 00:00:00,1.0014,1.0014,0.9981,1.0014,126.9
2019-07-02 04:00:00,1.0014,1.0043,0.9989,1.0043,2232.38
2019-07-02 08:00:00,1.0001,1.0043,0.9988,1.0022,1868.39
2019-07-02 12:00:00,1.0022,1.0032,0.9981,0.9981,680.11
2019-07-02 16:00:00,1.0032,1.0032,0.9979,0.9982,2699.65
2019-07-02 20:00:00,0.9982,1.0021,0.9969,0.9975,616.89
2019-07-03 00:00:00,0.9975,1.0028,0.9966,0.9974,9250.67
2019-07-03 04:00:00,0.9974,1.0,0.9925,0.9933,6110.42
2019-07-03 08:00:00,0.9933,0.9958,0.992,0.9958,902.73
2019-07-03 12:00:00,0.9958,0.9974,0.994,0.9974,206.78
2019-07-03 16:00:00,0.9974,0.9983,0.9949,0.9983,183.4
2019-07-03 20:00:00,0.9949,0.9983,0.9947,0.9955,2145.0
2019-07-04 00:00:00,0.9947,0.9947,0.993,0.9947,714.1
2019-07-04 04:00:00,0.993,0.9983,0.9916,0.9916,15863.9
2019-07-04 08:00:00,0.9916,0.996,0.9813,0.9933,7093.86
2019-07-04 12:00:00,0.9933,0.9942,0.9827,0.9933,1823.16
2019-07-04 16:00:00,0.9933,0.9948,0.99,0.9948,1103.54
2019-07-04 20:00:00,0.9948,0.9973,0.9934,0.9946,1418.96
2019-07-05 00:00:00,0.9946,0.9946,0.9946,0.9946,11.0
2019-07-05 04:00:00,0.9973,0.9973,0.9959,0.9959,153.89
2019-07-05 08:00:00,0.9959,0.9973,0.992,0.992,7246.41
2019-07-05 12:00:00,0.9963,0.9973,0.993,0.9931,137.49
2019-07-05 16:00:00,0.9932,0.9964,0.9931,0.9964,605.72
2019-07-05 20:00:00,0.9963,0.9964,0.9963,0.9964,41.07
2019-07-06 00:00:00,0.9964,0.9964,0.9964,0.9964,0.0
2019-07-06 04:00:00,0.9931,0.9964,0.9915,0.9964,345.14
2019-07-06 08:00:00,0.992,1.0,0.9842,0.9927,4869.9
2019-07-06 12:00:00,0.9927,0.9949,0.9904,0.9948,409.06
