Date,Open,High,Low,Close,Volume
2020-12-11 04:00:00,10.0,10.618,10.0,10.222,469.56
2020-12-11 08:00:00,10.111,10.774,9.745,10.63,4941.67
2020-12-11 12:00:00,10.4,10.73,9.662,10.177,3346.09
2020-12-11 16:00:00,10.18,10.93,9.998,10.386,2111.19
2020-12-11 20:00:00,10.604,11.5,10.144,11.5,4575.14
2020-12-12 00:00:00,11.551,11.552,9.6,9.821,1417.85
2020-12-12 04:00:00,9.886,10.1,9.332,9.886,2415.39
2020-12-12 08:00:00,9.771,10.517,9.771,10.085,2347.65
2020-12-12 12:00:00,10.12,11.2,10.114,10.721,838.24
2020-12-12 16:00:00,10.746,10.871,10.102,10.102,579.71
2020-12-12 20:00:00,10.151,10.282,9.74,10.282,9302.5
2020-12-13 00:00:00,10.058,10.72,9.962,10.72,4264.18
2020-12-13 04:00:00,10.303,10.35,9.563,9.573,494.47
2020-12-13 08:00:00,9.3,9.3,8.697,8.697,4057.93
2020-12-13 12:00:00,8.694,8.697,7.502,7.96,17213.06
2020-12-13 16:00:00,7.919,8.04,7.576,7.95,12812.05
2020-12-13 20:00:00,8.095,8.155,7.522,7.625,23836.22
2020-12-14 00:00:00,7.578,8.054,7.525,7.779,11157.31
2020-12-14 04:00:00,7.781,8.077,7.353,7.915,17805.68
2020-12-14 08:00:00,7.999,8.692,7.792,8.329,12146.86
2020-12-14 12:00:00,8.336,8.613,8.038,8.168,13166.51
2020-12-14 16:00:00,8.128,8.519,8.091,8.368,7861.1
2020-12-14 20:00:00,8.4,8.708,8.003,8.319,8543.36
2020-12-15 00:00:00,8.199,8.247,7.574,7.945,3785.26
2020-12-15 04:00:00,7.964,8.409,7.964,8.014,8638.93
2020-12-15 08:00:00,8.127,8.662,8.127,8.374,6560.11
2020-12-15 12:00:00,8.241,8.544,8.071,8.423,5764.85
2020-12-15 16:00:00,8.433,8.598,8.387,8.508,3380.15
2020-12-15 20:00:00,8.505,8.94,8.319,8.775,385.48
2020-12-16 00:00:00,8.789,9.641,8.789,9.568,6427.47
2020-12-16 04:00:00,9.514,9.59,8.993,9.01,862.31
2020-12-16 08:00:00,9.217,9.239,8.652,8.841,2450.81
2020-12-16 12:00:00,8.599,8.928,6.337,7.102,11852.32
2020-12-16 16:00:00,6.888,7.37,6.517,6.909,1841.07
2020-12-16 20:00:00,6.978,7.061,5.5,5.658,8469.15
2020-12-17 00:00:00,5.524,6.059,5.039,5.959,7901.0
2020-12-17 04:00:00,5.857,5.898,5.628,5.863,3660.22
2020-12-17 08:00:00,5.713,6.3,5.42,5.716,10907.54
2020-12-17 12:00:00,5.687,5.78,5.38,5.451,3560.87
2020-12-17 16:00:00,5.451,6.093,4.551,5.473,8088.51
2020-12-17 20:00:00,5.68,6.05,5.509,5.9,2083.14
2020-12-18 00:00:00,6.05,6.314,5.656,6.039,2010.52
2020-12-18 04:00:00,6.039,6.069,5.906,5.989,1333.81
2020-12-18 08:00:00,6.0,6.146,5.865,6.0,4952.49
2020-12-18 12:00:00,6.126,6.462,6.052,6.37,2802.93
2020-12-18 16:00:00,6.302,6.419,6.083,6.184,1368.87
2020-12-18 20:00:00,6.281,6.346,5.929,5.991,1398.36
2020-12-19 00:00:00,5.989,6.141,5.989,6.094,1920.52
2020-12-19 04:00:00,6.138,6.227,6.136,6.227,1953.96
2020-12-19 08:00:00,6.257,6.257,6.037,6.18,3396.65
2020-12-19 12:00:00,6.188,6.188,5.88,6.01,662.37
2020-12-19 16:00:00,5.939,6.115,5.874,6.115,412.66
2020-12-19 20:00:00,6.115,6.29,6.05,6.188,869.7
2020-12-20 00:00:00,6.281,6.496,6.281,6.474,167.9
2020-12-20 04:00:00,6.496,6.646,6.14,6.14,130.94
2020-12-20 08:00:00,6.146,6.271,6.03,6.271,32.14
2020-12-20 12:00:00,6.327,6.5,6.188,6.255,131.85
2020-12-20 16:00:00,6.354,6.416,6.194,6.416,2095.91
2020-12-20 20:00:00,6.136,6.77,5.988,6.471,4236.63
2020-12-21 00:00:00,6.636,6.636,6.382,6.404,623.53
2020-12-21 04:00:00,6.22,6.6,6.174,6.446,143.7
2020-12-21 08:00:00,6.65,7.959,6.65,7.556,8876.63
2020-12-21 12:00:00,7.695,8.2,7.599,7.688,1143.19
2020-12-21 16:00:00,7.642,7.938,7.528,7.841,7525.62
2020-12-21 20:00:00,7.806,7.806,7.272,7.528,1394.25
2020-12-22 00:00:00,7.633,8.543,7.476,8.048,1390.36
2020-12-22 04:00:00,7.894,8.7,7.743,8.589,12887.42
2020-12-22 08:00:00,8.587,9.032,7.898,7.935,10739.54
2020-12-22 12:00:00,7.904,7.904,7.148,7.354,8155.97
2020-12-22 16:00:00,7.365,7.747,7.365,7.468,520.77
2020-12-22 20:00:00,7.513,8.614,7.2,8.071,10161.53
2020-12-23 00:00:00,8.124,8.809,8.112,8.502,610.53
2020-12-23 04:00:00,8.605,10.393,8.605,10.035,7019.88
2020-12-23 08:00:00,10.002,13.027,9.688,11.771,15791.91
2020-12-23 12:00:00,11.718,11.806,8.626,10.809,13336.43
2020-12-23 16:00:00,10.751,11.26,10.3,10.3,7094.74
2020-12-23 20:00:00,10.561,17.4,10.561,12.075,28257.6
2020-12-24 00:00:00,11.766,12.548,9.021,10.377,11744.0
2020-12-24 04:00:00,10.065,10.873,9.566,9.786,5507.0
2020-12-24 08:00:00,9.84,10.121,6.97,7.013,14532.23
2020-12-24 12:00:00,7.056,7.464,6.337,6.835,28759.69
2020-12-24 16:00:00,6.81,7.5,6.5,7.206,85950.14
2020-12-24 20:00:00,7.126,7.126,5.466,6.101,46240.21
2020-12-25 00:00:00,6.221,6.88,5.946,6.6,17409.51
2020-12-25 04:00:00,6.6,6.703,6.154,6.347,5078.97
2020-12-25 08:00:00,6.347,6.347,5.51,5.556,4189.95
2020-12-25 12:00:00,5.556,6.399,5.556,6.24,21995.34
2020-12-25 16:00:00,6.318,7.191,6.03,6.46,39244.92
2020-12-25 20:00:00,6.489,7.1,6.441,6.764,6144.13
2020-12-26 00:00:00,6.822,7.111,6.517,6.517,6928.19
2020-12-26 04:00:00,6.662,7.283,6.655,7.207,1830.07
2020-12-26 08:00:00,7.051,7.461,6.91,7.133,2866.47
2020-12-26 12:00:00,7.133,7.534,7.026,7.414,3796.06
2020-12-26 16:00:00,7.4,7.5,6.604,7.23,3964.08
2020-12-26 20:00:00,7.239,7.495,7.053,7.3,2194.3
2020-12-27 00:00:00,7.5,7.542,7.139,7.41,982.82
2020-12-27 04:00:00,7.382,7.382,7.178,7.345,1218.51
2020-12-27 08:00:00,7.404,8.362,7.325,8.046,4200.9
2020-12-27 12:00:00,8.094,8.488,6.5,6.5,24036.24
2020-12-27 16:00:00,6.356,7.271,6.201,7.11,3668.52
2020-12-27 20:00:00,7.271,7.963,7.168,7.168,4808.23
2020-12-28 00:00:00,7.502,7.597,6.688,6.866,523.35
2020-12-28 04:00:00,6.68,6.865,6.67,6.75,1272.86
2020-12-28 08:00:00,6.899,7.0,6.312,6.6,876.21
2020-12-28 12:00:00,6.548,6.961,6.548,6.888,1350.79
2020-12-28 16:00:00,6.943,6.95,6.729,6.931,1469.25
2020-12-28 20:00:00,7.059,7.768,6.86,7.414,6893.81
2020-12-29 00:00:00,7.46,7.81,7.139,7.807,8444.04
2020-12-29 04:00:00,7.916,8.412,7.685,7.84,13348.4
2020-12-29 08:00:00,7.73,8.471,7.56,8.053,9819.36
2020-12-29 12:00:00,8.1,9.035,7.932,8.884,17792.4
2020-12-29 16:00:00,8.95,9.395,7.403,8.103,12464.08
2020-12-29 20:00:00,8.24,8.281,7.614,7.734,1743.9
2020-12-30 00:00:00,7.767,8.8,7.584,8.8,2528.34
2020-12-30 04:00:00,8.779,9.234,8.582,9.069,23483.53
2020-12-30 08:00:00,9.093,9.3,8.421,9.0,2411.1
2020-12-30 12:00:00,8.948,9.0,7.59,7.59,5356.02
2020-12-30 16:00:00,7.738,8.787,7.738,8.703,4979.0
2020-12-30 20:00:00,8.75,9.066,8.721,8.785,1995.09
2020-12-31 00:00:00,8.902,10.047,8.902,9.825,8220.87
2020-12-31 04:00:00,9.88,9.88,9.371,9.7,2843.61
2020-12-31 08:00:00,9.767,9.9,8.634,9.295,1334.53
2020-12-31 12:00:00,9.409,10.276,9.409,9.718,3781.15
2020-12-31 16:00:00,9.869,10.075,9.599,9.6,26976.8
2020-12-31 20:00:00,9.831,9.864,9.187,9.509,1909.39
2021-01-01 00:00:00,9.509,9.537,8.085,8.442,4053.94
2021-01-01 04:00:00,8.275,8.608,7.907,8.574,1249.19
