Date,Open,High,Low,Close,Volume
2020-12-11 04:00:00,10.0,10.0,9.4,9.4,353.89
2020-12-11 08:00:00,9.978,10.322,9.184,9.369,4996.97
2020-12-11 12:00:00,9.313,10.186,9.313,9.834,2157.09
2020-12-11 16:00:00,9.729,9.999,9.111,9.533,3340.64
2020-12-11 20:00:00,9.388,10.12,8.564,8.57,2311.73
2020-12-12 00:00:00,8.57,10.35,8.57,10.139,13537.27
2020-12-12 04:00:00,10.099,10.796,9.627,10.265,1520.81
2020-12-12 08:00:00,10.22,10.255,9.379,9.72,2878.38
2020-12-12 12:00:00,9.736,9.83,8.867,9.354,10113.09
2020-12-12 16:00:00,9.174,9.802,9.083,9.75,3077.29
2020-12-12 20:00:00,9.75,10.2,9.672,9.736,4989.42
2020-12-13 00:00:00,9.774,9.921,9.305,9.305,1848.74
2020-12-13 04:00:00,9.45,10.466,9.45,10.4,7471.02
2020-12-13 08:00:00,10.726,11.324,10.725,11.302,4943.24
2020-12-13 12:00:00,11.303,12.723,11.253,12.228,29521.26
2020-12-13 16:00:00,12.233,12.6,12.055,12.087,3594.07
2020-12-13 20:00:00,12.05,12.921,11.741,12.322,9216.94
2020-12-14 00:00:00,12.212,12.551,11.9,12.346,15607.33
2020-12-14 04:00:00,12.336,12.665,11.75,12.044,10287.19
2020-12-14 08:00:00,11.876,12.097,10.851,11.246,3647.63
2020-12-14 12:00:00,11.337,11.648,10.863,11.465,2646.18
2020-12-14 16:00:00,11.5,11.723,10.927,11.107,7812.28
2020-12-14 20:00:00,11.227,11.8,10.659,11.346,15909.46
2020-12-15 00:00:00,11.346,12.442,11.346,11.86,19399.99
2020-12-15 04:00:00,11.854,11.854,11.061,11.651,12703.54
2020-12-15 08:00:00,11.505,11.626,10.999,11.324,14027.87
2020-12-15 12:00:00,11.371,11.555,10.978,11.193,2113.83
2020-12-15 16:00:00,11.164,11.335,11.0,11.153,321.81
2020-12-15 20:00:00,11.151,11.317,10.6,10.725,1507.02
2020-12-16 00:00:00,10.4,10.4,9.777,9.947,4056.12
2020-12-16 04:00:00,9.958,10.476,9.8,10.347,1809.33
2020-12-16 08:00:00,10.347,10.699,10.167,10.65,20502.54
2020-12-16 12:00:00,10.58,13.721,10.556,12.511,33010.41
2020-12-16 16:00:00,12.7,13.4,12.168,12.857,10771.93
2020-12-16 20:00:00,12.692,15.162,12.349,14.938,25757.08
2020-12-17 00:00:00,15.2,16.0,13.216,13.429,29592.39
2020-12-17 04:00:00,13.499,14.461,13.497,13.816,4513.0
2020-12-17 08:00:00,13.89,15.084,12.162,14.368,39040.52
2020-12-17 12:00:00,14.368,15.333,13.804,14.752,7699.14
2020-12-17 16:00:00,14.918,17.549,13.272,14.61,28503.91
2020-12-17 20:00:00,15.001,15.001,13.477,13.629,9419.15
2020-12-18 00:00:00,13.596,14.208,12.401,13.346,12902.5
2020-12-18 04:00:00,13.346,13.694,12.743,13.181,14674.8
2020-12-18 08:00:00,13.44,14.242,12.995,13.23,7527.6
2020-12-18 12:00:00,13.33,13.33,12.286,12.4,15394.28
2020-12-18 16:00:00,12.375,13.133,12.308,12.775,5231.78
2020-12-18 20:00:00,12.776,13.509,12.45,13.486,4425.53
2020-12-19 00:00:00,13.486,13.486,12.918,13.095,677.28
2020-12-19 04:00:00,13.05,13.181,12.85,12.861,321.07
2020-12-19 08:00:00,12.861,13.459,12.861,13.0,2336.51
2020-12-19 12:00:00,12.966,13.722,12.966,13.425,7259.2
2020-12-19 16:00:00,13.482,13.888,12.948,13.15,3101.69
2020-12-19 20:00:00,13.2,13.256,12.399,12.83,1814.0
2020-12-20 00:00:00,12.782,12.782,12.1,12.247,1254.73
2020-12-20 04:00:00,12.1,12.635,11.588,12.635,2954.63
2020-12-20 08:00:00,12.59,12.82,12.165,12.377,1354.99
2020-12-20 12:00:00,12.171,12.382,11.856,12.317,11777.34
2020-12-20 16:00:00,12.316,12.443,12.021,12.062,1150.65
2020-12-20 20:00:00,12.258,12.927,11.262,11.821,13921.12
2020-12-21 00:00:00,11.511,12.168,11.511,12.168,1116.42
2020-12-21 04:00:00,12.168,12.5,11.888,12.067,3382.48
2020-12-21 08:00:00,11.759,11.759,9.481,9.922,12724.46
2020-12-21 12:00:00,9.512,9.993,9.0,9.993,1221.96
2020-12-21 16:00:00,9.906,9.999,9.549,9.62,910.3
2020-12-21 20:00:00,9.869,10.517,9.636,10.103,1738.97
2020-12-22 00:00:00,9.859,10.185,8.586,9.435,4841.1
2020-12-22 04:00:00,9.5,9.734,8.419,8.614,10118.99
2020-12-22 08:00:00,8.514,9.33,7.97,9.149,8255.37
2020-12-22 12:00:00,9.201,9.99,9.158,9.7,26170.82
2020-12-22 16:00:00,9.761,9.855,9.289,9.655,22478.01
2020-12-22 20:00:00,9.655,9.982,8.788,9.152,8166.48
2020-12-23 00:00:00,9.152,9.152,8.545,8.711,3699.69
2020-12-23 04:00:00,8.685,8.685,7.612,7.949,1970.47
2020-12-23 08:00:00,7.849,7.949,5.888,6.659,21987.44
2020-12-23 12:00:00,6.66,8.281,6.607,7.155,26682.12
2020-12-23 16:00:00,7.164,7.447,6.914,7.445,4443.38
2020-12-23 20:00:00,7.15,7.202,4.645,5.954,18944.83
2020-12-24 00:00:00,6.022,7.532,5.765,6.34,23345.29
2020-12-24 04:00:00,6.372,7.1,5.9,6.612,13618.54
2020-12-24 08:00:00,6.917,9.15,6.779,8.912,30538.54
2020-12-24 12:00:00,8.998,9.9,8.28,9.221,54681.15
2020-12-24 16:00:00,9.33,9.584,8.45,8.796,22132.62
2020-12-24 20:00:00,8.9,10.551,8.744,9.581,49278.24
2020-12-25 00:00:00,9.685,10.017,7.932,8.864,24472.37
2020-12-25 04:00:00,8.982,9.75,8.749,9.281,18464.64
2020-12-25 08:00:00,9.379,10.978,9.296,10.911,13206.84
2020-12-25 12:00:00,10.998,11.05,9.241,9.37,23384.8
2020-12-25 16:00:00,9.36,9.9,7.912,9.088,31659.71
2020-12-25 20:00:00,9.088,9.175,8.0,8.533,8299.69
2020-12-26 00:00:00,8.533,8.951,8.088,8.71,8719.52
2020-12-26 04:00:00,8.768,8.787,7.763,8.048,6877.75
2020-12-26 08:00:00,8.011,8.315,7.5,8.015,6668.17
2020-12-26 12:00:00,8.102,8.15,7.281,7.596,6548.87
2020-12-26 16:00:00,7.513,8.778,7.357,8.051,52414.64
2020-12-26 20:00:00,7.94,8.143,7.676,7.91,7189.29
2020-12-27 00:00:00,7.91,8.033,7.668,7.851,2954.76
2020-12-27 04:00:00,7.9,8.135,7.851,7.851,5138.19
2020-12-27 08:00:00,7.884,8.065,6.388,6.802,14853.39
2020-12-27 12:00:00,6.75,8.89,6.2,8.775,73665.39
2020-12-27 16:00:00,8.808,9.085,7.761,8.034,27869.93
2020-12-27 20:00:00,8.022,8.022,6.915,7.508,9214.47
2020-12-28 00:00:00,7.664,8.43,7.471,8.4,17092.78
2020-12-28 04:00:00,8.397,8.71,8.151,8.3,3540.5
2020-12-28 08:00:00,8.35,8.967,8.081,8.633,18940.91
2020-12-28 12:00:00,8.632,8.638,8.15,8.223,6706.4
2020-12-28 16:00:00,8.271,8.53,8.005,8.06,4802.64
2020-12-28 20:00:00,8.059,8.286,7.1,7.516,18350.09
2020-12-29 00:00:00,7.556,8.159,6.9,6.9,14478.73
2020-12-29 04:00:00,6.9,7.228,6.343,7.08,14007.19
2020-12-29 08:00:00,7.046,7.376,6.2,6.662,9777.58
2020-12-29 12:00:00,6.669,7.064,5.617,5.617,16372.79
2020-12-29 16:00:00,5.652,6.5,5.333,6.05,25847.66
2020-12-29 20:00:00,6.042,6.38,6.003,6.267,5628.67
2020-12-30 00:00:00,6.317,6.421,5.719,5.81,7620.48
2020-12-30 04:00:00,5.856,5.88,5.522,5.651,8591.19
2020-12-30 08:00:00,5.603,5.915,5.48,5.64,15147.96
2020-12-30 12:00:00,5.689,6.439,5.579,6.386,20778.58
2020-12-30 16:00:00,6.356,6.41,5.77,5.77,14178.71
2020-12-30 20:00:00,5.87,5.887,5.605,5.774,4323.84
2020-12-31 00:00:00,5.744,5.744,5.092,5.154,25197.47
2020-12-31 04:00:00,5.156,5.438,5.143,5.226,14000.4
2020-12-31 08:00:00,5.227,5.842,5.16,5.46,11674.66
2020-12-31 12:00:00,5.384,5.461,4.963,5.23,27101.06
2020-12-31 16:00:00,5.106,5.337,5.085,5.25,28476.51
2020-12-31 20:00:00,5.26,5.433,5.16,5.39,12741.8
2021-01-01 00:00:00,5.353,5.9,5.353,5.661,16045.17
2021-01-01 04:00:00,5.615,6.0,5.553,5.659,35332.53
2021-01-01 08:00:00,5.666,5.993,5.487,5.856,23313.22
2021-01-01 12:00:00,5.9,5.92,5.642,5.807,7122.75
2021-01-01 16:00:00,5.845,6.297,5.63,5.748,36437.3
2021-01-01 20:00:00,5.719,5.873,5.687,5.699,4042.82
2021-01-02 00:00:00,5.614,5.805,5.396,5.779,4890.26
2021-01-02 04:00:00,5.764,5.868,5.663,5.706,7003.51
2021-01-02 08:00:00,5.685,5.722,5.396,5.53,4709.09
2021-01-02 12:00:00,5.579,5.768,5.417,5.44,3461.23
2021-01-02 16:00:00,5.44,5.624,5.251,5.532,24862.6
2021-01-02 20:00:00,5.508,5.586,5.322,5.37,6581.82
2021-01-03 00:00:00,5.335,5.38,5.188,5.208,6829.87
2021-01-03 04:00:00,5.206,5.377,5.122,5.141,13067.58
2021-01-03 08:00:00,5.118,5.914,5.044,5.559,19688.72
2021-01-03 12:00:00,5.559,6.1,5.459,5.694,29904.34
2021-01-03 16:00:00,5.687,6.209,5.687,5.775,42447.03
2021-01-03 20:00:00,5.819,6.1,5.777,5.92,24739.03
2021-01-04 00:00:00,6.061,6.679,6.0,6.475,35960.46
2021-01-04 04:00:00,6.465,7.421,6.137,6.312,54805.85
2021-01-04 08:00:00,6.485,6.567,5.262,5.809,39263.23
2021-01-04 12:00:00,5.828,7.915,5.592,7.207,111175.72
2021-01-04 16:00:00,7.2,8.4,6.526,7.363,207665.63
2021-01-04 20:00:00,7.476,8.547,7.142,8.203,169500.45
2021-01-05 00:00:00,8.212,8.543,6.903,6.937,68748.27
2021-01-05 04:00:00,7.044,8.237,6.709,7.735,41416.24
2021-01-05 08:00:00,7.686,9.879,7.678,9.236,86744.59
2021-01-05 12:00:00,9.247,11.158,8.767,11.147,160280.14
2021-01-05 16:00:00,11.064,13.484,10.335,11.108,209297.95
2021-01-05 20:00:00,11.132,12.22,10.853,11.423,75995.29
2021-01-06 00:00:00,11.699,14.549,11.249,13.67,199164.06
2021-01-06 04:00:00,13.783,21.026,13.003,19.776,412255.4
2021-01-06 08:00:00,19.779,29.504,15.736,28.79,489784.57
2021-01-06 12:00:00,28.792,46.313,26.999,34.368,690470.48
2021-01-06 16:00:00,34.344,36.789,25.661,25.661,225313.42
2021-01-06 20:00:00,25.662,38.0,23.301,36.209,308457.01
2021-01-07 00:00:00,36.374,50.618,33.114,41.501,250018.37
2021-01-07 04:00:00,41.702,42.079,35.206,36.889,71982.13
2021-01-07 08:00:00,36.89,38.633,30.504,33.141,98863.77
2021-01-07 12:00:00,33.153,39.483,32.275,34.471,93140.56
2021-01-07 16:00:00,34.471,35.026,24.475,31.756,94164.31
2021-01-07 20:00:00,31.757,33.085,26.984,29.186,41261.68
2021-01-08 00:00:00,29.302,31.825,19.735,23.5,179448.34
2021-01-08 04:00:00,23.464,31.378,21.49,31.336,96513.29
2021-01-08 08:00:00,31.163,31.917,27.2,27.887,83311.1
2021-01-08 12:00:00,28.0,28.75,23.493,25.079,49545.57
2021-01-08 16:00:00,25.25,27.347,23.103,23.897,31071.8
2021-01-08 20:00:00,24.06,26.8,21.119,25.796,42296.85
2021-01-09 00:00:00,25.796,27.26,22.351,25.372,36712.3
2021-01-09 04:00:00,25.362,25.5,22.627,23.919,49920.88
2021-01-09 08:00:00,23.916,26.623,23.299,24.887,34102.57
2021-01-09 12:00:00,24.887,29.043,24.38,25.668,58138.36
2021-01-09 16:00:00,25.586,28.373,24.688,27.923,26468.03
2021-01-09 20:00:00,28.185,31.009,26.6,27.526,50958.57
2021-01-10 00:00:00,27.542,29.249,26.962,27.121,24160.32
2021-01-10 04:00:00,27.277,30.6,27.022,28.909,27384.33
2021-01-10 08:00:00,28.958,29.2,21.8,22.662,41201.62
2021-01-10 12:00:00,22.553,25.5,21.594,23.555,44978.36
2021-01-10 16:00:00,23.67,24.0,20.5,21.636,41160.84
2021-01-10 20:00:00,21.49,22.998,17.41,21.594,57283.76
2021-01-11 00:00:00,21.49,21.5,11.707,15.278,87010.16
2021-01-11 04:00:00,15.116,16.433,12.563,14.9,80701.6
2021-01-11 08:00:00,14.899,16.961,14.0,14.275,42470.13
