Date,Open,High,Low,Close,Volume
2020-09-11 04:00:00,10.0,10.085,9.909,10.001,51.66
2020-09-11 08:00:00,10.01,10.01,9.86,9.99,98.06
2020-09-11 12:00:00,9.99,10.052,9.952,10.0,94.74
2020-09-11 16:00:00,10.068,10.068,9.772,9.857,81.43
2020-09-11 20:00:00,9.816,9.909,9.794,9.909,262.07
2020-09-12 00:00:00,9.927,9.966,9.814,9.942,256.89
2020-09-12 04:00:00,9.942,9.942,9.942,9.942,0.0
2020-09-12 08:00:00,9.946,9.946,9.946,9.946,10.0
2020-09-12 12:00:00,9.92,10.112,9.894,9.935,147.78
2020-09-12 16:00:00,9.896,9.896,9.293,9.293,466.87
2020-09-12 20:00:00,9.345,9.439,9.326,9.366,641.9
2020-09-13 00:00:00,9.285,9.431,8.842,8.842,447.31
2020-09-13 04:00:00,8.904,9.016,8.904,8.948,364.08
2020-09-13 08:00:00,8.948,9.545,8.948,9.545,8.39
2020-09-13 12:00:00,9.751,10.088,9.658,10.088,957.57
2020-09-13 16:00:00,10.134,10.37,10.113,10.124,863.78
2020-09-13 20:00:00,10.1,10.104,9.989,9.989,216.81
2020-09-14 00:00:00,10.044,10.182,9.813,9.89,1100.39
2020-09-14 04:00:00,9.979,9.979,9.598,9.598,210.58
2020-09-14 08:00:00,9.639,9.956,9.639,9.738,65.35
2020-09-14 12:00:00,9.584,9.738,9.315,9.327,3532.16
2020-09-14 16:00:00,9.327,9.596,9.275,9.596,109.0
2020-09-14 20:00:00,9.431,9.601,9.431,9.601,42.41
2020-09-15 00:00:00,9.516,9.516,9.238,9.332,20.1
2020-09-15 04:00:00,9.414,9.476,9.383,9.476,14.83
2020-09-15 08:00:00,9.438,9.917,9.333,9.354,410.77
2020-09-15 12:00:00,9.366,9.781,9.248,9.771,3014.61
2020-09-15 16:00:00,9.614,9.624,9.614,9.624,25.7
2020-09-15 20:00:00,9.8,9.851,9.617,9.851,127.19
2020-09-16 00:00:00,9.88,10.721,9.88,10.009,185.02
2020-09-16 04:00:00,9.984,9.984,9.689,9.689,287.24
2020-09-16 08:00:00,9.727,9.984,9.727,9.887,90.86
2020-09-16 12:00:00,9.799,9.872,9.799,9.862,1271.31
2020-09-16 16:00:00,9.713,9.807,9.621,9.678,143.7
2020-09-16 20:00:00,9.776,9.776,9.106,9.397,1458.28
2020-09-17 00:00:00,9.122,9.122,8.308,8.831,1994.03
2020-09-17 04:00:00,9.0,9.223,8.873,8.966,1102.53
2020-09-17 08:00:00,9.256,9.5,9.112,9.402,70.43
2020-09-17 12:00:00,9.152,9.36,9.029,9.141,1192.43
2020-09-17 16:00:00,9.144,9.144,8.75,8.875,209.38
2020-09-17 20:00:00,8.848,8.968,8.847,8.968,201.18
2020-09-18 00:00:00,9.02,9.033,8.881,8.881,202.62
2020-09-18 04:00:00,8.866,8.919,8.571,8.628,326.83
2020-09-18 08:00:00,8.719,8.74,8.718,8.739,30.92
2020-09-18 12:00:00,8.796,9.244,8.785,9.111,149.2
2020-09-18 16:00:00,9.246,9.485,9.097,9.236,564.4
2020-09-18 20:00:00,9.193,9.246,9.1,9.246,222.57
2020-09-19 00:00:00,9.206,9.285,9.206,9.28,59.31
2020-09-19 04:00:00,9.28,9.28,9.28,9.28,0.0
2020-09-19 08:00:00,9.344,9.344,8.75,8.75,3179.5
2020-09-19 12:00:00,8.805,9.012,8.658,8.981,1457.39
2020-09-19 16:00:00,8.981,9.109,8.944,9.109,519.98
2020-09-19 20:00:00,9.011,9.011,9.006,9.006,84.5
2020-09-20 00:00:00,9.156,9.156,9.153,9.153,19.2
2020-09-20 04:00:00,9.308,9.308,9.256,9.257,7.43
2020-09-20 08:00:00,9.18,9.197,9.176,9.197,52.2
