Date,Open,High,Low,Close,Volume
2021-09-24 04:00:00,6.107,8.5,6.107,7.406,4337665.1
2021-09-24 08:00:00,7.406,7.406,5.985,6.565,4485407.3
2021-09-24 12:00:00,6.556,7.4,6.273,6.847,3848536.5
2021-09-24 16:00:00,6.85,7.3,6.691,6.865,1111608.6
2021-09-24 20:00:00,6.864,7.596,6.864,7.049,1524500.0
2021-09-25 00:00:00,7.048,7.176,6.506,6.61,963443.1
2021-09-25 04:00:00,6.607,6.709,6.22,6.268,752853.4
2021-09-25 08:00:00,6.266,6.515,6.02,6.331,979346.2
2021-09-25 12:00:00,6.322,6.49,6.102,6.146,799268.0
2021-09-25 16:00:00,6.147,6.17,5.488,5.568,2278371.2
2021-09-25 20:00:00,5.567,5.87,5.166,5.787,1649953.5
2021-09-26 00:00:00,5.784,5.8,5.19,5.37,961678.1
2021-09-26 04:00:00,5.37,5.68,4.686,4.84,1290533.7
2021-09-26 08:00:00,4.843,5.436,4.632,5.196,1932848.1
2021-09-26 12:00:00,5.196,5.7,5.192,5.586,865249.2
2021-09-26 16:00:00,5.591,5.755,5.1,5.192,664274.8
2021-09-26 20:00:00,5.192,5.4,5.0,5.119,522422.5
2021-09-27 00:00:00,5.113,5.63,5.015,5.267,920054.5
2021-09-27 04:00:00,5.269,5.438,5.1,5.18,711775.1
2021-09-27 08:00:00,5.189,5.38,5.181,5.238,495398.3
2021-09-27 12:00:00,5.235,5.253,5.001,5.068,396836.9
2021-09-27 16:00:00,5.062,5.55,5.062,5.423,993094.8
2021-09-27 20:00:00,5.421,5.43,5.172,5.228,372642.3
2021-09-28 00:00:00,5.24,5.5,5.108,5.483,434953.6
2021-09-28 04:00:00,5.483,6.149,5.48,5.73,3137643.7
2021-09-28 08:00:00,5.74,5.988,5.574,5.629,1113290.7
2021-09-28 12:00:00,5.629,5.73,5.418,5.583,800180.6
2021-09-28 16:00:00,5.568,5.79,5.229,5.334,545917.8
2021-09-28 20:00:00,5.339,5.528,5.25,5.375,358717.6
2021-09-29 00:00:00,5.375,6.0,5.37,5.84,1336264.9
2021-09-29 04:00:00,5.84,5.932,5.62,5.923,471210.5
2021-09-29 08:00:00,5.893,5.894,5.57,5.581,574556.3
2021-09-29 12:00:00,5.576,5.815,5.478,5.644,617225.7
2021-09-29 16:00:00,5.632,5.777,5.429,5.502,326757.8
2021-09-29 20:00:00,5.489,5.616,5.438,5.562,233587.6
2021-09-30 00:00:00,5.559,5.845,5.537,5.8,471438.6
2021-09-30 04:00:00,5.799,5.883,5.635,5.746,419295.9
